"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","2_1","2_2","4_1","7_1"
"56ee475",-302.4291398525238,"unknown",-296.42496252059937,-290.90774035453796,0.0,6.209800720214844,6586.949842453003,6592.499648571014,6607.457786560059,6614.654927968979,6636.603590726852,"unknown",6642.664259672165,6649.104528427124,6656.346740484238,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",6662.703982114792,"unknown","unknown",6669.20320558548,"","","",""
"916c172",-12253.716742992401,"unknown",-12247.503783226013,-12240.971593141556,0.0,6.455286026000977,48.29956889152527,54.045475244522095,149.08369088172913,154.9262773990631,584.0641186237335,590.1382758617401,"unknown",596.8570084571838,671.5833444595337,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",678.1548893451691,"unknown","unknown",684.7533919811249,"","","",""
"d9696dd",-31.029367208480835,"unknown",-24.950873613357544,-19.045896768569946,0.0,6.890566110610962,199.1090521812439,204.63445377349854,3566.775668859482,3572.8628618717194,3829.4451591968536,"unknown",3836.620846271515,3842.8772628307343,38400.71218800545,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",38408.079503297806,"unknown","unknown",38413.56282234192,"","","",""
"eff7ebe",-4878.852019309998,"unknown",-4873.001316070557,-4866.279356241226,0.0,6.736223220825195,9.415757894515991,16.056553840637207,23.56197452545166,30.09244990348816,36.06810688972473,42.10758590698242,"unknown",49.09963512420654,57.47078204154968,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.67345356941223,"unknown","unknown",70.95670104026794,"","","",""
"5d4fcbe",-92830.7235763073,"unknown",-92824.93448448181,-92818.48308968544,0.0,6.911181211471558,10.278364419937134,15.84138560295105,17.42634081840515,23.117088794708252,63.23637270927429,69.45074224472046,"unknown",75.64806246757507,78.2623302936554,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",85.01513457298279,"unknown","unknown",91.7638111114502,"","","",""
"170bd80",-50738.627757787704,"unknown",-50732.82749199867,-50727.51664829254,0.0,7.0807225704193115,15.601044178009033,21.55808401107788,34.474151372909546,39.78870964050293,44.5994873046875,"unknown",50.07555437088013,56.616881370544434,58.189855098724365,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",65.21519613265991,"unknown","unknown",70.7257170677185,"","","",""
"7a54533",-105.4966368675232,"unknown",-100.20016717910767,-93.3907265663147,0.0,6.124760627746582,13.63900637626648,19.67158532142639,32.72073674201965,39.88691687583923,44.51581430435181,"unknown",51.687731981277466,58.51876378059387,65.81768298149109,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.68909025192261,"unknown","unknown",78.95344543457031,"","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530",-56538.075751543045,"unknown",-56531.42340135574,-56524.51181221008,0.0,6.269375562667847,10.806976079940796,16.905126333236694,44.19867658615112,51.09838271141052,110.25411748886108,"unknown",116.00800132751465,122.20473623275757,124.15613508224487,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",131.30348777770996,"unknown","unknown",136.88831424713135,"","","",""
"47dcadc",-866.7554142475128,"unknown",-859.9793963432312,-854.4715633392334,0.0,6.131916761398315,21.652843713760376,28.617427349090576,54.99324941635132,62.27070426940918,101.86644291877747,108.47242975234985,"unknown",114.98387885093689,117.10647988319397,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",123.93709349632263,"unknown","unknown",129.69296431541443,"","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-159.38418698310852,"unknown",-152.90938544273376,-145.9559133052826,0.0,5.362698793411255,10.035875082015991,15.380808591842651,27.83247137069702,34.383124113082886,39.67721509933472,45.93734312057495,"unknown",51.59764575958252,63.166544914245605,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.88742232322693,"unknown","unknown",74.94900131225586,"","","",""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f",-57619.9184114933,"unknown",-57613.177099466324,-57606.46377539635,0.0,6.141403436660767,12.90320897102356,18.47584843635559,31.03596067428589,36.89482808113098,52.299909830093384,59.938175678253174,"unknown",65.41703581809998,67.34266495704651,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",74.4912338256836,"unknown","unknown",81.18244862556458,"","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-20521.137469291687,"unknown",-20514.98573946953,-20508.03665280342,0.0,5.33273983001709,10.343044757843018,16.196213722229004,25.41657567024231,31.816908836364746,39.165019035339355,"unknown",45.16421151161194,50.91572856903076,53.14463949203491,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.8090181350708,"unknown","unknown",65.46118378639221,"","","",""
"50a0fdd",-28.633161067962646,"unknown",-22.649704933166504,-15.923592567443848,0.0,6.536485195159912,8.087327241897583,13.845959186553955,26.018804788589478,31.548327922821045,36.12239050865173,42.34867596626282,"unknown",49.24079132080078,50.691853761672974,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",56.12081575393677,"unknown","unknown",61.703885078430176,"","","",""
"b7cec81",-5208.732545852661,"unknown",-5203.2216811180115,-5197.76601600647,0.0,7.124943494796753,11.724483013153076,18.251529693603516,20.529594898223877,26.489962577819824,41.38453030586243,"unknown",47.046302318573,52.914047718048096,55.167624950408936,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.510512351989746,"unknown","unknown",66.38062071800232,"","","",""
