"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","3_1","5_1","2_1"
"56ee475",-9140.503724575043,"unknown",-9133.966486215591,-9126.799151420593,0.0,6.176376819610596,175.8747010231018,184.30085253715515,183149.25260138512,183156.81779694557,183186.08954000473,"unknown",183192.58068561554,183197.90963888168,183199.30636787415,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",183205.65780687332,"unknown","unknown",183211.71107244492,"","",""
"916c172",-8287.344551563263,"unknown",-8280.421847581863,-8274.805992364883,0.0,6.5881383419036865,54.88532018661499,63.27128791809082,9187.620215654373,9193.585633993149,9199.270937919617,"unknown",9205.27557516098,9210.664240598679,9283.267007350922,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",9289.847282886505,"unknown","unknown",9297.027239084244,"","",""
"d9696dd",-3281.125018119812,"unknown",-3274.284704685211,-3267.6510508060455,0.0,7.302230596542358,15.521476984024048,22.51255226135254,43.328322410583496,49.94306039810181,447617.4218752384,447623.4703950882,"unknown",447628.80992007256,447630.66383457184,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",447637.66485214233,"unknown","unknown",447644.67387247086,"","",""
"eff7ebe",-4764.776695489883,"unknown",-4758.018374443054,-4752.579043149948,0.0,7.336706161499023,9.64991044998169,17.025538444519043,34.53191351890564,40.93477916717529,52.521660566329956,"unknown",58.55325245857239,64.1927285194397,66.8184757232666,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",73.9445583820343,"unknown","unknown",80.64386701583862,"","",""
"5d4fcbe",-2850.4329731464386,"unknown",-2843.3362214565277,-2837.468586921692,0.0,6.755441904067993,11.954686880111694,19.127113819122314,39.99426627159119,47.13527750968933,58.11440992355347,"unknown",65.38165783882141,71.69999432563782,78.25869464874268,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",84.58883905410767,"unknown","unknown",89.99869990348816,"","",""
"170bd80",-230882.42855501175,"unknown",-230876.45409727097,-230871.15087509155,0.0,6.776162624359131,9.982155799865723,18.422318696975708,38.1416654586792,44.33505606651306,61.362789154052734,67.99322628974915,"unknown",73.4296886920929,75.50203943252563,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",82.16775918006897,"unknown","unknown",88.14985179901123,"","",""
"7a54533",-30.2294704914093,"unknown",-23.95603370666504,-16.823487281799316,0.0,5.705873727798462,13.047358512878418,20.570873022079468,41.82026505470276,48.13304257392883,53.022112131118774,"unknown",59.51311016082764,66.03444337844849,68.79770183563232,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",75.4008457660675,"unknown","unknown",82.68494391441345,"","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
