"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","3_1"
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",11.11702036857605,"unknown",97.06305623054504,"unknown",118.88848638534546,"unknown","unknown","unknown",134.4553747177124,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"56ee475",-20443.403881311417,"unknown",-20438.014204978943,-20431.871051073074,0.0,5.981337547302246,58.41952896118164,66.22731184959412,75.52154874801636,82.53349590301514,91.22004270553589,"unknown",96.7928535938263,103.40832543373108,105.85070610046387,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",111.40205931663513,"unknown","unknown",118.41341996192932,"",""
"916c172","unknown","unknown","unknown","unknown",0.0,"unknown",121.14061522483826,"unknown",181.56167769432068,"unknown",2288.3808624744415,"unknown","unknown","unknown",2310.1364271640778,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"d9696dd",-150465.48891568184,"unknown",-150448.77239871025,-150417.3957312107,0.0,6.027417898178101,84225.55237698555,84232.9552154541,84235.53823041916,84241.05685639381,84263.36709237099,"unknown",84269.70771861076,84275.66316819191,84277.71031808853,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",84284.11274933815,"unknown","unknown",84291.24883127213,"",""
"eff7ebe",-7453.115648508072,"unknown",-7444.029562473297,-7413.370507717133,0.0,6.723674774169922,9.554187297821045,18.49056124687195,27.332600355148315,33.73926115036011,41.25902462005615,"unknown",47.83269500732422,54.87909483909607,56.99110174179077,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",62.4489312171936,"unknown","unknown",68.09589672088623,"",""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",440.02507519721985,"unknown",458.99327087402344,"unknown",493.7611038684845,"unknown","unknown","unknown",537.7503623962402,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"170bd80",-95957.83264112473,"unknown",-95938.65197443962,-95907.38975095749,0.0,6.749120235443115,13.636505842208862,22.272648334503174,195.6720802783966,203.13233733177185,211.84217929840088,"unknown",217.89440512657166,224.2013864517212,226.96687006950378,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",234.12893223762512,"unknown","unknown",240.77307295799255,"",""
"7a54533","unknown","unknown","unknown","unknown",0.0,"unknown",13.47720193862915,"unknown",32.599143505096436,"unknown",43.298333406448364,"unknown","unknown","unknown",58.184980630874634,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692",-871886.8490376472,"unknown",-871880.6427519321,-871875.2864995003,0.0,7.017343997955322,12.794105291366577,21.282952308654785,39.786850929260254,46.46105432510376,66.63346147537231,"unknown",72.63062191009521,78.20386362075806,81.54265999794006,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",87.29981088638306,"unknown","unknown",93.27665305137634,"",""
"90ccafb",-781245.816537857,"unknown",-781240.5547306538,-781234.9399135113,0.0,5.391055583953857,10.003390550613403,17.806557416915894,28.296951293945312,34.55744004249573,63.22236347198486,69.0786874294281,"unknown",75.15281867980957,78.38501358032227,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",84.03081560134888,"unknown","unknown",90.0587387084961,-677046.9559924603,""
"0327530",-13.490108013153076,"unknown",-7.311220645904541,-1.6363804340362549,0.0,6.538228750228882,15.700307369232178,23.40531015396118,63.48983454704285,70.07803153991699,104.1903784275055,"unknown",109.54477000236511,116.55891227722168,118.39283728599548,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",124.06179738044739,"unknown","unknown",129.92538046836853,"",""
"47dcadc",-2081.6962032318115,"unknown",-2075.7102150917053,-2069.8720333576202,0.0,6.444827318191528,18.827693700790405,26.337862968444824,57.310585737228394,63.72838735580444,117.29000425338745,"unknown",122.90736174583435,128.86735701560974,132.68061995506287,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",138.05907678604126,"unknown","unknown",144.0853672027588,"",""
"233ee90",-148487.20193624496,"unknown",-148481.95580744743,-148474.84592747688,0.0,7.132488012313843,13.765902042388916,20.948439598083496,34.293994426727295,39.597500801086426,933332.5611407757,"unknown",933338.7133684158,933345.6770176888,933348.610306263,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",933354.668132782,"unknown","unknown",933360.0437984467,"",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5",-2360017.346423149,"unknown",-2360010.4649374485,-2359999.22483778,0.0,6.791311979293823,21.88265824317932,30.388180017471313,59.24998760223389,65.34830474853516,98.4767427444458,"unknown",105.39695572853088,111.69802737236023,115.2260754108429,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",120.994065284729,"unknown","unknown",127.88457417488098,"",""
"11892fd",-27927.67591190338,"unknown",-27921.439432144165,-27915.939552545547,0.0,6.758670806884766,44.464218616485596,51.499654054641724,61.76629161834717,68.82068490982056,79.14141535758972,"unknown",84.95149207115173,90.30537343025208,93.44964861869812,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",99.05726385116577,"unknown","unknown",104.95590114593506,"",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-4689.179224729538,"unknown",-4682.930282592773,-4676.187949180603,0.0,5.945900917053223,10.498733520507812,17.98336887359619,25.25672960281372,31.08433485031128,40.501476526260376,"unknown",46.277557373046875,51.901935338974,55.501715421676636,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",61.412700176239014,"unknown","unknown",68.2997510433197,"",""
"ee4b6cd",-1580.82683634758,"unknown",-1575.3329782485962,-1568.997901916504,0.0,6.889743089675903,10.878583431243896,18.917057514190674,34.033159017562866,39.5313355922699,56.99890422821045,64.49628901481628,"unknown",70.28710293769836,72.35637092590332,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",77.8936779499054,"unknown","unknown",83.80679440498352,"",""
