"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","2_2","5_1"
"eb77de6",-209737.6002380848,"unknown",-209730.61513757706,-209724.97714185715,0.0,6.320385694503784,19.24642586708069,26.348333597183228,44.93956637382507,51.50219988822937,93.96622157096863,100.14423203468323,"unknown",106.54719924926758,582.5494298934937,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",588.8214251995087,"unknown","unknown",595.934103012085,"","",""
"8ce483d","unknown","unknown","unknown","unknown",0.0,"unknown",15.125052690505981,"unknown",28.063373804092407,"unknown",38.8930606842041,"unknown","unknown","unknown",52.379751443862915,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",9.042760372161865,"unknown",202.81313514709473,"unknown",218.56255722045898,"unknown","unknown","unknown",234.96294808387756,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"56ee475",-105.58205151557922,"unknown",-100.03715324401855,-93.99000954627991,0.0,5.951659917831421,6356.002717256546,6363.104426860809,6418.75013256073,6425.034688711166,6445.641369819641,"unknown",6451.578696727753,6458.126392364502,6459.740761518478,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",6466.543028116226,"unknown","unknown",6473.387050151825,"","",""
"916c172","unknown","unknown","unknown","unknown",0.0,"unknown",65.32511687278748,"unknown",88.62322854995728,"unknown",109.00590705871582,"unknown","unknown","unknown",127.78711891174316,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"d9696dd","unknown","unknown","unknown","unknown",0.0,"unknown",10.844202280044556,"unknown",30.88150668144226,"unknown",53.57278060913086,"unknown","unknown","unknown",68.98415851593018,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"eff7ebe",-312.3663794994354,"unknown",-306.36320066452026,-300.2594995498657,0.0,5.72698450088501,10.310357093811035,17.596665620803833,28.249582290649414,35.605430126190186,50.95626997947693,"unknown",56.922624349594116,62.48384428024292,64.57437586784363,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",70.68635487556458,"unknown","unknown",76.48083353042603,"","",""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",132720.05535435677,"unknown",132823.82847809792,"unknown",135419.69462013245,"unknown","unknown","unknown",559925.7707903385,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"170bd80",-541066.8378891945,"unknown",-541049.4921224117,-541018.4835455418,0.0,5.748289585113525,7.633662700653076,13.775823831558228,31.85830545425415,37.47904825210571,46.37326145172119,52.61786723136902,"unknown",58.129310846328735,61.10568284988403,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",67.50236177444458,"unknown","unknown",74.56815123558044,"","",""
"7a54533","unknown","unknown","unknown","unknown",0.0,"unknown",12.74004340171814,"unknown",33.71339130401611,"unknown",46.0326042175293,"unknown","unknown","unknown",61.4293737411499,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"d874e84",-1396.8876147270203,"unknown",-1389.6697762012482,-1383.3716037273407,0.0,6.566025018692017,7607.22545170784,7613.518775939941,7641.921982049942,7648.53134560585,7653.051383256912,"unknown",7658.515460968018,7665.711595773697,7666.895900726318,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",7673.303973674774,"unknown","unknown",7678.763188362122,"","",""
"c28b1a9","unknown","unknown","unknown","unknown",0.0,"unknown",393300.29627394676,"unknown",393319.52574396133,"unknown",393331.88659739494,"unknown","unknown","unknown",393346.37475299835,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"7384692",-7306.824281692505,"unknown",-7300.024002075195,-7292.8362720012665,0.0,7.100025415420532,14.010448694229126,20.55204153060913,33.052807092666626,39.69862723350525,49.556623697280884,58.02025866508484,"unknown",65.20829153060913,66.98407626152039,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.76701951026917,"unknown","unknown",80.29710674285889,"","",""
"90ccafb",-368898.8760318756,"unknown",-368893.0604214668,-368887.0492050648,0.0,5.826292276382446,17.032822847366333,23.304646253585815,39.391929149627686,45.034162282943726,55.350040435791016,"unknown",62.24088215827942,69.37744951248169,73.11562371253967,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",80.30315709114075,"unknown","unknown",87.46205234527588,"","",""
"0327530",-201942.2542245388,"unknown",-201936.95505976677,-201930.97340798378,0.0,5.892909049987793,34.249154567718506,40.19857668876648,67.45688557624817,74.05166006088257,94.48312520980835,"unknown",101.60942268371582,106.8922483921051,115.14676713943481,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",121.6679220199585,"unknown","unknown",128.26904344558716,"","",""
"47dcadc","unknown","unknown","unknown","unknown",0.0,"unknown",21.732884645462036,"unknown",133.80416870117188,"unknown",159.20646333694458,"unknown","unknown","unknown",176.83152651786804,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"233ee90",-3544158.2343633175,"unknown",-3544151.014947176,-3544144.937255621,0.0,5.798638343811035,8.753919124603271,14.559521913528442,26.52381157875061,32.4692497253418,54.376285552978516,"unknown",60.773640155792236,67.23597002029419,75.1518816947937,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",81.13398551940918,"unknown","unknown",87.98688077926636,"","",""
"db844b1",-12549364.336744785,"unknown",-12549355.98611927,-12549345.479744673,0.0,6.447999954223633,82.09669899940491,87.8259105682373,101.29375147819519,107.04080271720886,114.19300866127014,"unknown",120.54510116577148,127.5421085357666,129.58250641822815,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",135.81269598007202,"unknown","unknown",142.007253408432,-810169.1000521183,"",""
"e4c0f9c",-10605.247770547867,"unknown",-10598.787504911423,-10592.717022657394,0.0,5.755272626876831,10.535072803497314,16.254075050354004,30.522602558135986,35.89941763877869,41.77809238433838,"unknown",47.53438997268677,53.918620586395264,56.06992197036743,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",61.34079718589783,"unknown","unknown",66.8652355670929,"","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
