"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","x_3","12A","12B","13_1","13_2","13_3","15","2_1"
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-343.39333868026733,-337.09915828704834,-331.0592465400696,-325.2846930027008,0.0,5.609553098678589,9.817908525466919,16.16434121131897,33.24808144569397,40.82391715049744,49.51737022399902,"unknown",56.40590167045593,63.007463216781616,72.59739255905151,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",78.786940574646,"unknown","unknown",84.6190345287323,""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-123.87842798233032,-117.40001845359802,-110.9316029548645,-103.34227919578552,0.0,6.290351867675781,13.794092893600464,20.080613613128662,33.3684618473053,39.94943690299988,77.23179769515991,84.33878254890442,"unknown",91.42929482460022,97.22720432281494,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",102.86272072792053,"unknown","unknown",109.47809362411499,""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba",-490.77451968193054,-484.15839672088623,-476.9345896244049,-471.1448926925659,0.0,6.182079553604126,8.426563739776611,15.443639993667603,404.61458373069763,410.7740046977997,414.9805655479431,"unknown",422.2104949951172,429.3067831993103,430.80136704444885,438.0713589191437,458.289888381958,"unknown",463.671799659729,469.1654918193817,470.5566563606262,"unknown","","unknown","unknown","unknown",476.8288896083832,"unknown",482.63132977485657,""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-451.4111988544464,-444.75669836997986,-439.25269389152527,-433.011953830719,0.0,6.360959529876709,34.01293325424194,41.11458206176758,60.198166847229004,67.38008141517639,74.97163105010986,"unknown",81.19857335090637,87.42327046394348,90.64893674850464,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",97.90272974967957,"unknown","unknown",104.81775760650635,""
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-4039.8914742469788,-4033.60280752182,-4026.662661790848,-4020.2036831378937,0.0,6.301157474517822,65.95912408828735,71.61598634719849,93.96946430206299,100.09095501899719,111.8122911453247,"unknown",118.0483865737915,123.5825662612915,126.2560088634491,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",132.50504660606384,"unknown","unknown",139.319739818573,""
"2dffb9e",-2484.7119722366333,-2477.5231001377106,-2471.6075756549835,-2465.9268379211426,0.0,6.278331518173218,8.802804470062256,15.165356636047363,56.93788027763367,63.694984912872314,70.69178509712219,76.23422980308533,"unknown",82.71118593215942,84.78076958656311,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",92.06780672073364,"unknown","unknown",97.47846794128418,""
"7a35b75",-3338.844979763031,-3332.070604324341,-3325.07364487648,-3317.7699403762817,0.0,6.385606050491333,11.430802345275879,17.101974964141846,59.73441004753113,65.58528161048889,88.96712803840637,95.93674969673157,"unknown",101.4490396976471,103.78853392601013,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",110.73631286621094,"unknown","unknown",116.428466796875,""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-33592.255868434906,-33585.184626579285,-33578.82313609123,-33572.792865753174,0.0,6.965446949005127,9.037514209747314,15.566493034362793,31.34524917602539,38.03721022605896,45.86747479438782,52.786677837371826,"unknown",59.548794746398926,63.96980285644531,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",70.0940306186676,"unknown","unknown",77.08747053146362,""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
