"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-11911.76475572586,-11905.503531694412,-11898.727087020874,-11892.188915252686,0.0,7.363824844360352,10.292162656784058,16.84602403640747,19.011123657226562,24.4689838886261,32.532063722610474,38.13055396080017,"unknown",44.576839447021484,46.53228402137756,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",52.43024039268494,"unknown","unknown",59.13819169998169
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-15393.946492910385,-15387.212378263474,-15380.54977607727,-15374.203007221222,0.0,5.754709959030151,7.7837419509887695,14.52281403541565,19.908801794052124,25.878330945968628,30.654980659484863,36.06132984161377,"unknown",42.59083676338196,44.08482027053833,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",49.54926300048828,"unknown","unknown",55.30562996864319
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac6f3f6",-379.7662971019745,-374.30423188209534,-368.018479347229,-361.58281350135803,0.0,7.065629005432129,10.142197608947754,16.290196180343628,23.584967613220215,29.520621299743652,47.58562970161438,54.36431097984314,"unknown",61.5319242477417,63.92338848114014,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",70.34478807449341,"unknown","unknown",76.08156108856201
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-43394.44900250435,-43388.680451869965,-43383.280005693436,-43377.505846977234,0.0,6.811091899871826,12.259281635284424,19.157254695892334,65.52142024040222,71.14508509635925,161.78172373771667,167.95404052734375,"unknown",173.9656376838684,182.85411953926086,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",188.51294541358948,"unknown","unknown",195.58222770690918
"4e53c5c",-12121.152125597,-12114.550962209702,-12108.143681049347,-12101.697838306427,0.0,6.356327295303345,16.94422221183777,23.063267946243286,60.05799961090088,66.55991458892822,75.59045886993408,80.88796758651733,"unknown",86.305748462677,88.35441493988037,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",94.26063990592957,"unknown","unknown",99.70801854133606
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-28945.209314584732,-28938.00615143776,-28932.195476293564,-28925.836927175522,0.0,6.5691869258880615,16.23595952987671,23.625545740127563,31.940144062042236,37.70773363113403,55.77767515182495,61.50124382972717,"unknown",67.4376802444458,75.79070806503296,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",82.2724187374115,"unknown","unknown",88.68741273880005
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-37005.89070439339,-37000.478971242905,-36994.72621822357,-36988.30706858635,0.0,5.922007083892822,10.30843734741211,16.86775827407837,31.4972403049469,38.84474182128906,48.96680808067322,55.59641194343567,"unknown",60.89581108093262,62.66353678703308,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",69.2976610660553,"unknown","unknown",75.45054626464844
"ea8c0d6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
