"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-8284.696068525314,"unknown",-8278.571120977402,-8272.947617053986,0.0,6.766087532043457,8.564992904663086,14.725926160812378,18.35087752342224,25.556790351867676,39.44340920448303,45.792513608932495,"unknown",52.195895195007324,54.52915573120117,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",61.63344120979309,"unknown","unknown",68.7834689617157
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-42488.523312330246,"unknown",-42482.061819791794,-42475.28223848343,0.0,5.909450054168701,12.425541877746582,18.802865982055664,24.695366144180298,31.118704319000244,42.56088924407959,47.943418979644775,"unknown",54.248255252838135,56.324424505233765,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",63.340468406677246,"unknown","unknown",70.26553058624268
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-29.951807975769043,"unknown",-23.631889820098877,-17.393471002578735,0.0,7.119978904724121,8.602425336837769,15.715187549591064,21.91453242301941,28.715003728866577,36.07113695144653,41.75534749031067,"unknown",47.16694259643555,2916.185483455658,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",2923.636489391327,"unknown","unknown",2930.0610115528107
"ac6f3f6",-3079.983193874359,"unknown",-3073.0015845298767,-3067.662533760071,0.0,6.570876359939575,237.659193277359,243.39176058769226,266.7345516681671,272.8443353176117,280.7739052772522,"unknown",287.2765188217163,293.55590653419495,295.99190044403076,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",302.2195134162903,"unknown","unknown",308.0178134441376
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-6645.106196880341,"unknown",-6639.430066823959,-6632.114018201828,0.0,7.1076061725616455,13.225612878799438,20.272238969802856,37.38242793083191,44.28460741043091,63.018423080444336,"unknown",69.81730604171753,75.17517447471619,79.98213696479797,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",86.26914572715759,"unknown","unknown",92.45006585121155
"4e53c5c",-10707.524462223053,"unknown",-10700.301915168762,-10693.940234661102,0.0,6.019676446914673,12.680773735046387,19.08588457107544,36.31877899169922,42.17728924751282,89.00402164459229,95.25381398200989,"unknown",101.87676763534546,103.6244695186615,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",110.3724684715271,"unknown","unknown",115.9067587852478
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-44213.816751003265,"unknown",-44208.23571920395,-44202.30271959305,0.0,6.611422538757324,9.277729988098145,15.294277906417847,27.77787756919861,34.95504570007324,56.81058216094971,"unknown",63.016608238220215,70.21522974967957,71.87110710144043,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",77.2209119796753,"unknown","unknown",82.55110573768616
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
