"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","3_1","3_2","2_1"
"68c3192","unknown","unknown","unknown","unknown",0.0,"unknown",10.79655647277832,"unknown",27.696368932724,"unknown",59.50552010536194,"unknown","unknown","unknown",72.85897040367126,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"eb77de6",-738.5790755748749,"unknown",-732.7791991233826,-726.0723640918732,0.0,5.729095935821533,37.488338470458984,42.887531042099,61.29466128349304,67.64717268943787,608726.6853408813,"unknown",608733.3523573875,608740.0959353447,608741.5093436241,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",608747.4325699806,"unknown","unknown",608753.4603636265,"","",""
"8ce483d","unknown","unknown","unknown","unknown",0.0,"unknown",10.14559555053711,"unknown",26.0475013256073,"unknown",42.44869542121887,"unknown","unknown","unknown",58.43610239028931,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",9.150485754013062,"unknown",37.22880721092224,"unknown",63.508344411849976,"unknown","unknown","unknown",80.15485739707947,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"56ee475",-1583.065388917923,"unknown",-1576.3015995025635,-1570.0027132034302,0.0,6.401087999343872,9.420591115951538,15.977354288101196,81.49353814125061,87.70238447189331,95.07392621040344,101.74485802650452,"unknown",107.76010346412659,110.96821665763855,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",116.72192192077637,"unknown","unknown",122.61024212837219,"","",""
"916c172","unknown","unknown","unknown","unknown",0.0,"unknown",158.7282841205597,"unknown",209.98370051383972,"unknown",243.90768837928772,"unknown","unknown","unknown",258.1450300216675,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"d9696dd","unknown","unknown","unknown","unknown",0.0,"unknown",11.990739107131958,"unknown",36.14741802215576,"unknown",60.41126608848572,"unknown","unknown","unknown",74.99165391921997,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"eff7ebe",-85376.29285693169,"unknown",-85369.14751172066,-85363.36581277847,0.0,6.826963424682617,11.538394212722778,17.584923028945923,32.40484929084778,39.44540500640869,68.9492118358612,"unknown",74.97997331619263,81.97621941566467,85.79360175132751,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",92.98206067085266,"unknown","unknown",99.15482997894287,"","",""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",9.67566728591919,"unknown",35.34373998641968,"unknown",81.68066477775574,"unknown","unknown","unknown",109.17413711547852,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"170bd80","unknown","unknown","unknown","unknown",0.0,"unknown",11.648582458496094,"unknown",42.45466661453247,"unknown",70.18040752410889,"unknown","unknown","unknown",85.99951791763306,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
