"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"0355f6d","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fa6a8b8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145d339",-13201.114238023758,-13195.560900211334,-13189.553267240524,-13182.679603099823,0.0,5.792343616485596,32.25484776496887,37.601840019226074,49.10995364189148,56.06641936302185,64.94782543182373,"unknown",71.13359260559082,76.8760359287262,78.29173970222473,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",85.17242574691772,"unknown","unknown",91.78137183189392
"e96f42c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f382ec0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"962a7dd","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5c97513","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"acc6118","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d33371d","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d45bd1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfcbc2d","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98ecb86","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7636563",-21.498651266098022,-16.01646900177002,-10.264912128448486,-4.393943548202515,0.0,6.519537448883057,10.809619665145874,16.85113501548767,32.01277017593384,37.90859079360962,42.92592000961304,50.02265787124634,"unknown",56.08315467834473,58.83666634559631,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",65.88428378105164,"unknown","unknown",73.08353805541992
"5d2b358","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d9ae0c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73d4e20","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"be94a32","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9f972fb","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6e93efd","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a4afae","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c34e373","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6bac72b",-3618.781003713608,-3612.9273567199707,-3605.9142813682556,-3599.5228435993195,0.0,6.846781015396118,10.303644895553589,16.657933235168457,29.835256576538086,36.64870595932007,48.13765621185303,"unknown",55.01278781890869,60.5256130695343,62.17531657218933,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",69.15526247024536,"unknown","unknown",76.34361505508423
"c9285e4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd4b2f4",-11953.416022539139,-11947.869637489319,-11941.925102949142,-11936.234559774399,0.0,8.463656425476074,9.997504472732544,16.95089554786682,31.03675603866577,37.11110186576843,48.88392376899719,"unknown",54.59651708602905,61.485636472702026,63.20310068130493,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",71.04986572265625,"unknown","unknown",77.58969187736511
"bd650e8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b81bc6e","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0ff20c2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b0e3caa","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45f7f6c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1df700a","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3a396c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79b129c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d85b5c4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43b56f8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ecbabb","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c9c92b5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f9b9236",-683.7412848472595,-676.9030594825745,-670.8009240627289,-664.8907165527344,0.0,6.289746999740601,10.90714168548584,16.5355064868927,30.92380690574646,36.394975900650024,102.02286648750305,108.86992931365967,"unknown",114.48672151565552,117.1609559059143,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",122.93920516967773,"unknown","unknown",129.82552909851074
"4a0236d","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7a265d","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"912afde","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c97639e","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"af72486","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2517d9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
