"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","x_3","12A","12B","13_1","13_2","13_3","15","3_1","2_1"
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",11.43299150466919,"unknown",34.16085910797119,"unknown",48.69161057472229,"unknown","unknown","unknown",66.47804951667786,"unknown",74.68931770324707,"unknown","unknown","unknown",87.60473871231079,"unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"56ee475",-8442.809322357178,"unknown",-8436.689671516418,-8430.673904657364,0.0,7.352963209152222,4029.386073589325,4036.904477596283,5138.427515506744,5145.795112371445,5158.952062368393,"unknown",5164.713334798813,5171.418721675873,5174.152216434479,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",5181.032730340958,"unknown","unknown",5187.228202581406,"",""
"916c172","unknown","unknown","unknown","unknown",0.0,"unknown",483.2678368091583,"unknown",869.4007496833801,"unknown",902.2931425571442,"unknown","unknown","unknown",916.5542967319489,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"d9696dd",-36678.673191547394,"unknown",-36672.58954501152,-36667.40324187279,0.0,5.533097267150879,130129.52268528938,130136.60622930527,130142.92184948921,130148.74002456665,130188.89382529259,130194.23943138123,"unknown",130200.0433216095,130205.09664130211,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",130211.54873108864,"unknown","unknown",130218.20077705383,"",""
"eff7ebe",-6735.966425418854,"unknown",-6729.273163080215,-6722.154842853546,0.0,6.299829483032227,9.60826587677002,18.203831434249878,34.46645903587341,41.40682244300842,54.81100058555603,"unknown",61.422338008880615,67.76086473464966,69.5142092704773,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",75.68747305870056,"unknown","unknown",82.0177321434021,"",""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",7.547543525695801,"unknown",32.63199234008789,"unknown",45.14412236213684,"unknown","unknown","unknown",59.67996644973755,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"170bd80",-2730.3375804424286,"unknown",-2724.450812101364,-2718.4413216114044,0.0,6.696007966995239,12.020466804504395,19.56744360923767,33.128939151763916,40.47422647476196,62.102415323257446,"unknown",68.47383666038513,75.55672693252563,78.8316855430603,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",85.97125792503357,"unknown","unknown",92.66836524009705,"",""
"7a54533","unknown","unknown","unknown","unknown",0.0,"unknown",12.255103826522827,"unknown",37.440242528915405,"unknown",58.227614641189575,"unknown","unknown","unknown",71.87712955474854,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"d874e84",-455.2333400249481,"unknown",-447.9959502220154,-441.2347023487091,0.0,5.534632444381714,989958.5990321636,989967.4286477566,989978.7488987446,989985.7644329071,990015.2953445911,990020.9612805843,"unknown",990026.4769151211,990029.6375522614,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",990036.6672282219,"unknown","unknown",990041.9619064331,"",""
"c28b1a9",-20832.77468252182,"unknown",-20822.57354092598,-20791.963791370392,0.0,6.749266862869263,15.29334306716919,23.874608755111694,32.74903178215027,38.58061408996582,45.32566261291504,"unknown",51.01255917549133,56.631486654281616,63.85140323638916,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",69.16486048698425,"unknown","unknown",76.54936265945435,"",""
