"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","4_1","2_2"
"8ce483d","unknown","unknown","unknown","unknown",0.0,"unknown",9.546695232391357,"unknown",31.39099097251892,"unknown",43.536377906799316,"unknown","unknown","unknown",57.5549750328064,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",8.060294389724731,"unknown",31.309816598892212,"unknown",78.85935378074646,"unknown","unknown","unknown",94.12283778190613,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"56ee475",-23038.004859924316,"unknown",-23030.998188734055,-23024.455237150192,0.0,6.287515878677368,11.164132118225098,19.1103515625,417.9354259967804,424.5755412578583,460.2522392272949,466.42303252220154,"unknown",472.4324986934662,473.90812134742737,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",480.20887565612793,"unknown","unknown",487.117684841156,"","",""
"916c172","unknown","unknown","unknown","unknown",0.0,"unknown",189.61150336265564,"unknown",424.20838236808777,"unknown",438.4776952266693,"unknown","unknown","unknown",2417.5450150966644,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"d9696dd","unknown","unknown","unknown","unknown",0.0,"unknown",12.971524715423584,"unknown",41.266918420791626,"unknown",65.23317337036133,"unknown","unknown","unknown",94.8405327796936,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"eff7ebe",-26.292208671569824,"unknown",-19.937340259552002,-13.63581395149231,0.0,6.086820602416992,11.531786918640137,18.96712565422058,42.155123472213745,47.83094620704651,58.43252778053284,"unknown",64.37968492507935,70.72945594787598,72.98483610153198,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",79.40261816978455,"unknown","unknown",85.74776983261108,"","",""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",7.5043628215789795,"unknown",28.5067400932312,"unknown",85.62661004066467,"unknown","unknown","unknown",100.98426914215088,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"170bd80","unknown","unknown","unknown","unknown",0.0,"unknown",15.387700080871582,"unknown",47.49305748939514,"unknown",85.72770524024963,"unknown","unknown","unknown",101.23167252540588,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"7a54533","unknown","unknown","unknown","unknown",0.0,"unknown",14.807871580123901,"unknown",41.657084226608276,"unknown",52.95319437980652,"unknown","unknown","unknown",67.23424959182739,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"d874e84",-113.30603218078613,"unknown",-89.98537468910217,-59.2573037147522,0.0,5.501021385192871,13.15988564491272,21.273635149002075,32.691354274749756,39.01134943962097,47.537925481796265,54.685460567474365,"unknown",61.84517860412598,69.19632720947266,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",76.251389503479,"unknown","unknown",82.80144214630127,"","",""
