"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","cont_2","2_1","2_2"
"56ee475",-158225.95049357414,"unknown",-158219.6540915966,-158213.5821018219,0.0,5.758762836456299,157.13854598999023,165.23377227783203,180.59976887702942,187.4834794998169,195.82412123680115,202.17807483673096,"unknown",208.82224345207214,210.75530290603638,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",217.19402599334717,"unknown","unknown",224.16683316230774,"","",""
"916c172",-1774.6456580162048,"unknown",-1764.0701296329498,-1753.0259556770325,0.0,6.691652297973633,10.492512941360474,18.326500177383423,671.0090744495392,677.9950323104858,689.1944124698639,696.4888014793396,"unknown",703.335869550705,2407.165017604828,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",2412.9750592708588,"unknown","unknown",2419.121038913727,"","",""
"d9696dd",-36378.71579003334,"unknown",-36371.86367845535,-36364.9034614563,0.0,5.7397871017456055,8.374585390090942,16.13707685470581,32.19650888442993,38.29734969139099,42.28917217254639,47.700711727142334,"unknown",54.54633331298828,57.39156746864319,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",64.13828921318054,"unknown","unknown",69.64985013008118,"","",""
"eff7ebe",-315.42766404151917,"unknown",-245.61695861816406,-176.6366422176361,0.0,8.008363723754883,12.602567672729492,21.18613576889038,37.44486474990845,43.99181365966797,50.27443838119507,56.10892868041992,"unknown",62.36365604400635,64.54341506958008,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",70.9409487247467,"unknown","unknown",78.03427219390869,"","",""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",9.286999464035034,"unknown",30.600924491882324,"unknown",42.017550230026245,"unknown","unknown","unknown",57.98470878601074,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"170bd80",-291.1446216106415,"unknown",-284.21988916397095,-278.73674273490906,0.0,6.230649471282959,11.922135353088379,19.284908771514893,32.50292634963989,37.76542925834656,48.94941520690918,56.268941164016724,"unknown",63.27545619010925,65.60678672790527,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",72.68621778488159,"unknown","unknown",78.32751202583313,"","",""
"7a54533","unknown","unknown","unknown","unknown",0.0,"unknown",14.581741571426392,"unknown",36.604865074157715,"unknown",46.676844120025635,"unknown","unknown","unknown",64.23465895652771,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
