"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","7_1","3_1"
"5d4fcbe",-360241.1782245636,"unknown",-360234.5808095932,-360227.786714077,0.0,5.271116733551025,6.916273355484009,15.728019714355469,40.77351951599121,47.79685735702515,68.22263288497925,74.32948207855225,"unknown",80.42624139785767,81.70976996421814,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",87.25089836120605,"unknown","unknown",92.85556769371033,-80707.13009142876,"",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-297.05050826072693,"unknown",-291.30035853385925,-285.54062128067017,0.0,6.1917688846588135,11.787538051605225,19.826063632965088,69.3929328918457,74.85355067253113,102.86554002761841,110.13047766685486,"unknown",116.68801474571228,120.94518375396729,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",126.8392903804779,"unknown","unknown",133.7255642414093,"","",""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-23884.099595546722,"unknown",-23878.58057618141,-23871.989181518555,0.0,5.988780498504639,8.762398958206177,18.527682542800903,36.12044930458069,41.646681785583496,50.974119901657104,56.91631102561951,"unknown",63.1297504901886,66.13421297073364,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",71.6438159942627,"unknown","unknown",77.07187056541443,"","",""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81",-6478.209759473801,"unknown",-6471.456032037735,-6465.651204109192,0.0,5.703272342681885,8.581296443939209,16.177649974822998,26.01566433906555,31.86199712753296,41.2577018737793,48.87380313873291,"unknown",55.543315172195435,57.8565514087677,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",63.19055104255676,"unknown","unknown",69.54932117462158,"","",""
"bf983ba",-927.7257051467896,"unknown",-922.0925693511963,-916.8169214725494,0.0,6.02397084236145,8.461023330688477,16.937999725341797,25.107031106948853,30.63969588279724,34.41958498954773,40.14113783836365,"unknown",45.7190580368042,48.3713493347168,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",53.9602587223053,"unknown","unknown",60.93744111061096,"","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-1230.4819750785828,"unknown",-1223.4060974121094,-1217.459736585617,0.0,5.8722429275512695,11.904249906539917,20.180997133255005,36.679423809051514,42.59225106239319,48.7325713634491,55.426247119903564,"unknown",62.720704317092896,66.74384260177612,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",72.62472248077393,"unknown","unknown",79.45715713500977,"","",""
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-4081.234508037567,"unknown",-4074.176985502243,-4068.61354136467,0.0,6.925613641738892,12.043081283569336,19.85382843017578,44.500773906707764,50.092464208602905,54.606781244277954,61.95898246765137,"unknown",67.90633893013,69.959956407547,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",76.47624945640564,"unknown","unknown",83.68136358261108,"","",""
