"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1"
"916c172","unknown","unknown","unknown","unknown",0.0,"unknown",76.63910388946533,"unknown",575.1700618267059,"unknown",732.396008014679,"unknown","unknown","unknown",1589.6033446788788,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"d9696dd",-84842.69151043892,"unknown",-84835.93498182297,-84829.01682901382,0.0,7.267536163330078,108489.54632258415,108495.44780683517,108512.55885457993,108518.96091365814,1323037.6734976768,1323043.1759283543,"unknown",1323049.8611996174,1323051.9131023884,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",1323058.6631581783,"unknown","unknown",1323065.7769563198,""
"eff7ebe",-14470.442783594131,"unknown",-14464.057762622833,-14457.964904546738,0.0,5.788608074188232,10.772703170776367,17.594083786010742,24.022486209869385,29.7216534614563,36.05472207069397,"unknown",42.226269245147705,49.349705934524536,53.28945231437683,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",59.86419367790222,"unknown","unknown",67.12588405609131,""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",9.060548067092896,"unknown",18.73029923439026,"unknown",45.77175712585449,"unknown","unknown","unknown",61.2073609828949,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"170bd80",-15.741173267364502,"unknown",-10.436023950576782,-4.539577484130859,0.0,7.19095253944397,8.619579315185547,14.234495162963867,21.61457109451294,28.821348667144775,34.94700837135315,"unknown",41.44365215301514,48.659395933151245,50.33972787857056,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",55.87909388542175,"unknown","unknown",62.97093677520752,""
"7a54533","unknown","unknown","unknown","unknown",0.0,"unknown",13.143717765808105,"unknown",27.631818056106567,"unknown",80.449392080307,"unknown","unknown","unknown",94.8411009311676,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb",-3313591.027654171,"unknown",-3313584.357417345,-3313577.4057922363,0.0,6.125361442565918,9.442064046859741,16.26333737373352,26.0052592754364,32.303778886795044,41.431965589523315,"unknown",47.72317433357239,53.867852210998535,55.807419538497925,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",61.53762626647949,"unknown","unknown",67.65522742271423,-3044133.0610387325
"0327530",-261.7590570449829,"unknown",-255.93266654014587,-249.9285967350006,0.0,7.34372353553772,14.481768131256104,21.692181825637817,33.39815974235535,39.58430790901184,84.64374828338623,"unknown",90.88394117355347,97.40716886520386,106.55584788322449,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",112.7627739906311,"unknown","unknown",119.21628594398499,""
"47dcadc",-17954.506133556366,"unknown",-17943.81491613388,-17933.080307245255,0.0,5.693914890289307,14.305985689163208,21.575998306274414,45.60911154747009,51.502548933029175,86.42239046096802,"unknown",91.93358588218689,98.2495903968811,100.80603051185608,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",106.61735439300537,"unknown","unknown",113.18036365509033,""
