"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","2_1"
"56ee475",-42652.51764988899,-42646.72442007065,-42639.516870975494,-42632.5211019516,0.0,6.0486602783203125,1929.4719233512878,1937.0261924266815,1963.2433626651764,1968.9703075885773,1988.860160112381,1996.062317609787,"unknown",2003.152687072754,2004.614063501358,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",2010.538232088089,"unknown","unknown",2016.112777709961,""
"916c172",-6145.950812101364,-6140.701651334763,-6134.61182975769,-6129.030328273773,0.0,6.286753177642822,63.26368165016174,70.57066869735718,461.3882713317871,468.02132868766785,478.9062922000885,484.53709650039673,"unknown",491.79228138923645,633.333224773407,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",639.7193822860718,"unknown","unknown",645.5657241344452,""
"d9696dd",-19742.494960784912,-19735.495601177216,-19729.518665790558,-19723.422111034393,0.0,6.943206787109375,4579.004967927933,4586.001875162125,4691.491320848465,4696.911432266235,65509.898376464844,"unknown",65515.56466650963,65521.69803738594,65525.21639204025,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",65532.03241825104,"unknown","unknown",65538.01339745522,""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-2647.1701827049255,-2640.446739435196,-2634.2856748104095,-2625.7068316936493,0.0,5.520570755004883,45.43326497077942,54.606388330459595,49960.67510294914,49967.46902179718,50073.851687669754,"unknown",50080.30871415138,50087.37642598152,50091.80949664116,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",50097.90266418457,"unknown","unknown",50104.45103120804,""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533",-8317.738754987717,-8311.40722823143,-8306.067194223404,-8300.454463481903,0.0,6.196727275848389,13.281246900558472,21.406524896621704,35.59336519241333,42.78414487838745,83.6563286781311,"unknown",90.81670594215393,96.27631211280823,99.91964411735535,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",105.69287300109863,"unknown","unknown",112.21909499168396,""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","",""
