"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","7_1"
"d9696dd",-514567.2517094612,"unknown",-514560.73023700714,-514555.3493142128,0.0,6.967507839202881,21.19022488594055,28.69075632095337,45.46602129936218,52.00158715248108,147229.66089367867,147236.40048909187,"unknown",147241.67298412323,147244.36303424835,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",147250.50035524368,"unknown","unknown",147256.5028629303,""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-200476.3477253914,"unknown",-200470.19145607948,-200464.3341498375,0.0,7.376401662826538,9.13069486618042,16.160900354385376,31.76004910469055,37.29440903663635,56.30710411071777,62.968573331832886,"unknown",69.63339447975159,71.44632411003113,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",76.90866351127625,"unknown","unknown",83.32406258583069,""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-3359.812011241913,"unknown",-3354.129305124283,-3346.758514881134,0.0,6.585837364196777,39.02627396583557,46.986348152160645,77.82792401313782,83.22686767578125,90.64073300361633,97.84790349006653,"unknown",103.37511420249939,107.89279127120972,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",113.89224600791931,"unknown","unknown",119.65268802642822,""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-5528.327381849289,"unknown",-5523.049502372742,-5517.202494859695,0.0,6.2764787673950195,11.360333919525146,19.3870689868927,32.88918495178223,39.93698263168335,44.30525827407837,51.305700063705444,"unknown",56.89812994003296,58.657206296920776,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",65.05716943740845,"unknown","unknown",70.2083899974823,""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81",-34917.06759476662,"unknown",-34910.00975418091,-34903.687067747116,0.0,5.3816142082214355,10.474500179290771,17.653870105743408,27.362371683120728,33.485976219177246,45.58477807044983,52.41382956504822,"unknown",57.78433156013489,59.845571517944336,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",66.65549540519714,"unknown","unknown",72.13762187957764,""
"bf983ba",-1789.6832947731018,"unknown",-1783.7637498378754,-1776.5906381607056,0.0,7.028353452682495,9.889346361160278,18.78180503845215,28.379070520401,35.34082794189453,38.81318426132202,44.893574953079224,"unknown",50.45256567001343,55.283430337905884,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",62.02613854408264,"unknown","unknown",67.32726073265076,""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-8984.08386683464,"unknown",-8978.140086650848,-8971.471904754639,0.0,6.828577518463135,102.4464704990387,111.34497094154358,128.21278142929077,133.6666398048401,140.52541613578796,146.50762248039246,"unknown",153.23601269721985,155.8122091293335,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",163.04962062835693,"unknown","unknown",169.42878246307373,""
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-37.35892939567566,"unknown",-32.10299515724182,-26.12805438041687,0.0,5.881717205047607,7.644162893295288,16.14149045944214,44.21180486679077,50.102179288864136,71.38502168655396,"unknown",78.56167674064636,84.2450041770935,114.94554138183594,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",120.26936459541321,"unknown","unknown",126.03167033195496,""
"2dffb9e",-128.4234972000122,"unknown",-122.98607039451599,-117.12813425064087,0.0,6.420166015625,8.241463661193848,15.165033340454102,41.60666084289551,48.53933000564575,53.15792441368103,58.630478858947754,"unknown",65.00912833213806,67.16287040710449,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.62706899642944,"unknown","unknown",81.21993613243103,""
