"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","cont_2","cont_3","2_1","2_2"
"56ee475",-214509.48491978645,"unknown",-214503.96405553818,-214498.76859855652,0.0,5.510046720504761,7.271312952041626,12.50403904914856,1391.0131545066833,1397.4224195480347,1407.7898259162903,1413.2561492919922,"unknown",1419.5526864528656,1420.994017124176,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",1427.4591608047485,"unknown","unknown",1434.4418201446533,"","","",""
"916c172",-13412.80815076828,"unknown",-13406.54670214653,-13400.523444414139,0.0,5.357416391372681,54.884124755859375,61.21598792076111,97.1427001953125,103.90312647819519,114.60030746459961,120.45193028450012,"unknown",127.17198705673218,128.82171320915222,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",135.30992078781128,"unknown","unknown",142.4317820072174,"","","",""
"d9696dd",-3123.022161245346,"unknown",-3116.076551437378,-3110.5866260528564,0.0,5.268634557723999,74.85529375076294,81.54107928276062,132.14958477020264,139.15741777420044,159.05359268188477,166.05528736114502,"unknown",171.69328904151917,176.00007152557373,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",182.1123983860016,"unknown","unknown",188.30012226104736,"","","",""
"eff7ebe",-8256.387430906296,"unknown",-8250.82082939148,-8244.3109664917,0.0,6.937170743942261,21.08578372001648,26.939355611801147,44.745879888534546,51.1771776676178,61.132450103759766,68.30337309837341,"unknown",74.6064064502716,76.85217452049255,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",83.21240830421448,"unknown","unknown",89.3005039691925,"","","",""
"5d4fcbe",-105.67557334899902,"unknown",-99.5721652507782,-92.91458439826965,0.0,5.98541259765625,8.568686962127686,15.123990058898926,3464292.3891558647,3464299.045961857,3464318.9933030605,3464325.78737998,"unknown",3464332.84762764,3464337.0603871346,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",3464343.383285761,"unknown","unknown",3464349.238469124,"","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533",-3169.786388158798,"unknown",-3162.783260345459,-3156.3023767471313,0.0,6.2002036571502686,13.345219373703003,19.541661977767944,37.98191976547241,43.90240478515625,59.14477062225342,65.89294576644897,"unknown",71.82213830947876,73.38662028312683,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",79.63025832176208,"unknown","unknown",85.60653185844421,"","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530",-364413.8808646202,"unknown",-364407.8101503849,-364402.1699631214,0.0,6.760016679763794,12.193215608596802,17.771409511566162,49.878066539764404,56.53492307662964,75.19227337837219,81.53796434402466,"unknown",88.77752327919006,91.30395603179932,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",96.99491357803345,"unknown","unknown",102.50085139274597,"","","",""
"47dcadc",-341772.6070752144,"unknown",-341765.502961874,-341760.159034729,0.0,6.227336168289185,15.108708620071411,20.997684001922607,83.79748582839966,90.0081377029419,154.33744382858276,160.3041889667511,"unknown",166.45274472236633,168.77150464057922,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",175.2609691619873,"unknown","unknown",181.4954812526703,"","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-6166.527984619141,"unknown",-6159.737832784653,-6154.211262226105,0.0,7.056970119476318,10.142285585403442,17.07041835784912,1684511.0104079247,1684516.491922617,1684576.455610752,"unknown",1684582.26454854,1684589.279118538,1684591.637074232,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",1684596.936961174,"unknown","unknown",1684603.3892216682,"","","",""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f",-168078.82142925262,"unknown",-168071.9942831993,-168065.33574795723,0.0,5.8409998416900635,12.752806425094604,18.75265622138977,44.74258899688721,50.33029556274414,64.30555462837219,71.25787162780762,"unknown",78.07584309577942,81.40576720237732,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",88.0947732925415,"unknown","unknown",93.4924430847168,"","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-2850.3780088424683,"unknown",-2844.8410365581512,-2837.840559720993,0.0,7.069340944290161,11.742494583129883,17.536684036254883,32.864803075790405,39.82725667953491,51.14101719856262,57.5658597946167,"unknown",64.76156759262085,67.44751954078674,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.4026460647583,"unknown","unknown",78.6600444316864,"","","",""
"50a0fdd",-23.992090940475464,"unknown",-17.58427095413208,-11.725987434387207,0.0,5.843322038650513,19.92594289779663,26.059629440307617,41.041393995285034,47.96208691596985,83.4470272064209,89.33563947677612,"unknown",94.61573958396912,98.54976010322571,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",104.66413760185242,"unknown","unknown",110.7328155040741,"","","",""
"b7cec81",-14534.192393541336,"unknown",-14526.908675909042,-14520.443394422531,0.0,5.773671865463257,9.433927297592163,15.529300928115845,26.663779497146606,33.43249583244324,50.28797626495361,57.07548141479492,"unknown",62.38232779502869,66.18521165847778,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",71.934250831604,"unknown","unknown",78.65669536590576,"","","",""
"bf983ba",-196.46706342697144,"unknown",-188.21296644210815,-181.37106776237488,0.0,6.547401428222656,14.758928775787354,22.133448839187622,35.14993214607239,42.505231857299805,49.66277813911438,56.43243455886841,"unknown",63.679123878479004,68.0940752029419,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",74.80595064163208,"unknown","unknown",81.38475751876831,"","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
