"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","5_1"
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-2968.228772878647,"unknown",-2961.09041428566,-2954.6614379882812,0.0,6.00641942024231,9.969998836517334,16.780789852142334,34.34328770637512,41.12087678909302,1439036.1577429771,"unknown",1439043.16676116,1439048.8698415756,1439051.1281540394,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",1439057.5836968422,"unknown","unknown",1439063.9002707005,"",1437729.2414650917
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-24111.76220035553,"unknown",-24105.229041814804,-24099.941426992416,0.0,6.790146827697754,20.080056190490723,28.48070001602173,40.07524013519287,46.50262498855591,446.7341547012329,"unknown",454.19717240333557,459.5891945362091,470.19883012771606,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",476.2650032043457,"unknown","unknown",481.98092555999756,"",""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-3933.424167871475,"unknown",-3926.288254261017,-3919.836409330368,0.0,5.866385221481323,8.963899612426758,16.645567417144775,28.37916111946106,34.29310059547424,60.53351140022278,"unknown",67.16433024406433,73.67959523200989,75.48216462135315,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",81.13053870201111,"unknown","unknown",87.77122139930725,"",""
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-29.116089344024658,"unknown",-23.168891429901123,-17.31231427192688,0.0,6.869427919387817,8.300530195236206,15.223305940628052,29.28432559967041,35.17250299453735,42.91844391822815,48.741621255874634,"unknown",55.67798852920532,59.43563413619995,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",65.10157227516174,"unknown","unknown",72.39109206199646,"",""
"2dffb9e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a35b75",-5116176.171759605,"unknown",-5116169.827166557,-5116163.1471636295,0.0,6.445406675338745,11.791438102722168,20.35424041748047,42.292065382003784,49.11280870437622,60.13934516906738,66.3297483921051,"unknown",72.23858451843262,74.04230380058289,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",79.64638376235962,"unknown","unknown",86.26120781898499,"",""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-54831.91940665245,"unknown",-54825.49088525772,-54819.946328639984,0.0,6.975884675979614,10.342817544937134,18.035571336746216,30.20433807373047,36.68645477294922,67.12896871566772,72.54595828056335,"unknown",78.66360855102539,80.98172974586487,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",86.56203818321228,"unknown","unknown",92.14763617515564,"",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ec15bc",-13588.399327516556,"unknown",-13582.25646352768,-13576.274624586105,0.0,6.108768939971924,12.258163213729858,19.7771475315094,29.892654180526733,36.797510862350464,56.1304132938385,63.37454605102539,"unknown",69.79257702827454,77.45623993873596,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",83.31682562828064,"unknown","unknown",90.43033051490784,"",""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7bb45d3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07ff49d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ad2fc5b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-55.129188537597656,"unknown",-48.3209547996521,-42.27531313896179,0.0,5.695494651794434,10.993649959564209,18.99312925338745,31.352284908294678,37.75352430343628,105.31065011024475,"unknown",111.35532307624817,117.1770269870758,133.78809142112732,140.28866314888,153.17772936820984,159.19642972946167,"unknown",165.1015591621399,167.7471125125885,"unknown","unknown","unknown","unknown",173.44110774993896,"unknown",180.04404306411743,"",""
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-9825.000813007355,"unknown",-9818.731335401535,-9813.412456989288,0.0,5.6362738609313965,10.843144178390503,18.15066933631897,29.968836784362793,36.15918254852295,41.027931451797485,"unknown",46.6789824962616,53.802531719207764,55.73187255859375,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",62.61630988121033,"unknown","unknown",68.14379453659058,"",""
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ee7f92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89d63ed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c0a644e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80f558b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87e4f18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0186834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0355f6d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fa6a8b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145d339",-5343.239430189133,"unknown",-5336.318892240524,-5329.280913591385,0.0,6.325571298599243,8.523335933685303,16.991705417633057,35.53503942489624,41.9864444732666,51.22441744804382,58.6334969997406,"unknown",65.74297404289246,67.83731651306152,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.87816977500916,"unknown","unknown",80.6859245300293,"",""
"e96f42c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f382ec0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"962a7dd",-459.88102412223816,"unknown",-454.3188216686249,-448.8134982585907,0.0,5.974045991897583,10.852418899536133,19.45630717277527,39.98620915412903,46.72514271736145,63.076202154159546,"unknown",68.55139875411987,75.16811394691467,77.41101789474487,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",83.33639550209045,"unknown","unknown",90.3643524646759,"",""
"5c97513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"acc6118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d33371d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d45bd1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfcbc2d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98ecb86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7636563",-6236.350510835648,"unknown",-6229.599034786224,-6223.362945556641,0.0,5.428483724594116,7.9189770221710205,16.43068218231201,35.22301268577576,42.13695502281189,74.39824748039246,"unknown",80.01433062553406,86.60406017303467,88.78335356712341,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",94.81068706512451,"unknown","unknown",100.90074276924133,"",""
"5d2b358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d9ae0c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73d4e20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"be94a32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9f972fb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6e93efd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a4afae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c34e373","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6bac72b",-170.79896450042725,"unknown",-164.56803107261658,-158.93487167358398,0.0,6.055813789367676,8.8440580368042,16.87875986099243,30.491060972213745,36.84742617607117,46.59805750846863,"unknown",52.882840633392334,60.08087992668152,61.697356939315796,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",67.70782923698425,"unknown","unknown",74.23053526878357,"",""
"c9285e4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
