"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-4087.078677892685,"unknown",-4081.5368287563324,-4074.4864354133606,0.0,7.2623374462127686,22.105907440185547,29.33351159095764,33.95701861381531,41.02901482582092,78.93868255615234,85.83176565170288,"unknown",92.7369704246521,96.76059150695801,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",102.60353493690491,"unknown","unknown",109.10512971878052
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-18849.49084353447,"unknown",-18843.16115784645,-18837.601704597473,0.0,6.7791242599487305,17.801475286483765,24.544341325759888,29.630558490753174,36.10222029685974,50.54468631744385,57.250812292099,"unknown",62.58138108253479,69.6958532333374,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",75.36868476867676,"unknown","unknown",81.15997672080994
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac6f3f6",-9041.381687641144,"unknown",-9035.874425888062,-9030.385948896408,0.0,7.436527967453003,9.832792282104492,16.484214782714844,19.02626371383667,25.607177019119263,66.38564968109131,73.21055555343628,"unknown",78.8651602268219,87.34873723983765,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",93.1959285736084,"unknown","unknown",98.84470868110657
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-14933.476302146912,"unknown",-14926.414852619171,-14920.999764204025,0.0,6.315554618835449,12.310547351837158,18.205005884170532,43.84257173538208,51.029799461364746,92.6966507434845,"unknown",99.83867764472961,105.13667511940002,113.50561833381653,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",119.69513988494873,"unknown","unknown",125.64535403251648
"4e53c5c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-1862.4081299304962,"unknown",-1856.4887385368347,-1851.2844665050507,0.0,5.538072109222412,10.072078704833984,15.778037548065186,17.48756217956543,23.398205518722534,47.425641775131226,54.00857734680176,"unknown",59.75000047683716,61.103835344314575,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",66.58244252204895,"unknown","unknown",71.79856824874878
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-6321.683546304703,"unknown",-6315.811876773834,-6310.495433330536,0.0,5.748404026031494,8.304490327835083,15.327675580978394,21.897989988327026,27.965542793273926,34.47653031349182,"unknown",39.98595976829529,46.56326389312744,59.29038858413696,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",66.1265389919281,"unknown","unknown",73.26233911514282
"ea8c0d6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
