"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-29042.244782209396,-29035.825996160507,-29029.094634771347,-29022.518199920654,0.0,6.401355981826782,9.275677680969238,14.599761724472046,25.470239639282227,31.546491622924805,51.84550213813782,"unknown",58.45630383491516,64.87112236022949,66.58109664916992,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.48353433609009,"unknown","unknown",79.17402291297913
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-8436.658822059631,-8255.417211294174,-8072.124844312668,-7925.809633255005,0.0,6.244969367980957,9.084938287734985,14.430506229400635,22.590354681015015,29.159838914871216,37.88469910621643,43.61334180831909,"unknown",49.640852212905884,51.677175998687744,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",57.74121308326721,"unknown","unknown",64.14206910133362
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-60017.08757185936,-60011.353090047836,-60005.83072566986,-60000.09388208389,0.0,6.499582290649414,7.770087003707886,14.47782826423645,15.775222301483154,22.90012812614441,35.74205446243286,"unknown",41.82433748245239,49.133341789245605,54031.73671102524,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",54038.55419588089,"unknown","unknown",54043.8504178524
"ac6f3f6",-30187.835468769073,-30181.66266155243,-30175.9019343853,-30169.102538108826,0.0,5.45432448387146,7.313737869262695,13.984320878982544,17.314412832260132,23.876818418502808,29.300439834594727,"unknown",36.46237921714783,42.510502338409424,45.39315056800842,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",51.56632900238037,"unknown","unknown",56.88162708282471
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-18394.977687120438,-18389.58972144127,-18384.056609630585,-18376.964148283005,0.0,6.368584632873535,9.981943845748901,16.91017174720764,59.27342939376831,65.37085843086243,74.73038244247437,"unknown",80.36671590805054,87.14402627944946,102.041188955307,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",108.88924169540405,"unknown","unknown",116.39647912979126
"4e53c5c",-115.06927156448364,-109.16394805908203,-102.34002637863159,-96.5203914642334,0.0,5.334394931793213,12.502199411392212,18.68382740020752,31.771199226379395,38.2471284866333,46.25950527191162,"unknown",53.2016875743866,59.1426215171814,60.725122690200806,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",67.64185357093811,"unknown","unknown",73.58688044548035
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-325.6846435070038,-320.24748277664185,-313.28898453712463,-306.0902531147003,0.0,7.276366949081421,9.314832210540771,16.44201397895813,29.893798828125,36.349921464920044,46.54794502258301,"unknown",53.88498044013977,60.93178415298462,63.43567514419556,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.19092726707458,"unknown","unknown",76.40489745140076
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","",""
