"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","3_1"
"518e9b8",-15337.056059122086,"unknown",-15330.308489322662,-15323.51538348198,0.0,6.161579132080078,9.44999885559082,14.790106773376465,29.39410376548767,35.240920066833496,51.396363258361816,"unknown",57.25665879249573,63.80241894721985,67.42185592651367,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.41921639442444,"unknown","unknown",79.75164031982422,"",""
"b5edd3c",-27244.157871484756,"unknown",-27237.922795772552,-27232.274809598923,0.0,5.726345777511597,8.841716527938843,15.770461559295654,36.96327090263367,42.88314890861511,55.24341797828674,61.0674889087677,"unknown",67.1595139503479,69.15768623352051,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",75.95487809181213,"unknown","unknown",82.69689607620239,"",""
"374ecf8",-4357.075523853302,"unknown",-4350.201544523239,-4343.52007317543,0.0,6.608048439025879,12.575250148773193,19.216192722320557,47.418498039245605,53.86240315437317,74.69900870323181,"unknown",80.20309853553772,86.95624995231628,88.35273241996765,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",95.33523440361023,"unknown","unknown",101.60374331474304,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",26.944347620010376,"unknown",57.36459493637085,"unknown",73.54117965698242,"unknown","unknown","unknown",87.92321586608887,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-10624.705552101135,"unknown",-10618.583399295807,-10611.540670633316,0.0,5.951027870178223,9.036784410476685,16.27909779548645,30.936375617980957,36.80282425880432,50.245545625686646,56.926809549331665,"unknown",64.2519211769104,66.47177076339722,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",72.02808833122253,"unknown","unknown",79.14719843864441,"",""
"2541155",-6191.13866353035,"unknown",-6185.244240522385,-6179.446303844452,0.0,7.579619646072388,9.366794347763062,16.191086530685425,32.158552169799805,39.373586654663086,45.91887140274048,"unknown",51.82331132888794,58.116650342941284,79.37872529029846,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",84.8441321849823,"unknown","unknown",91.68295121192932,"",""
"ac6f3f6",-71666.66858673096,"unknown",-71660.95303344727,-71654.94103097916,0.0,5.707628965377808,12.688831090927124,19.632126092910767,46.89517068862915,53.16635036468506,74.24244546890259,80.7364649772644,"unknown",86.24394392967224,88.84521555900574,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",94.6571912765503,"unknown","unknown",100.96744656562805,"",""
"62447b9",-897308.2859661579,"unknown",-897302.8773021698,-897295.7868204117,0.0,5.627386808395386,10.178115844726562,16.332556009292603,55.02084827423096,61.687488317489624,110.22535705566406,"unknown",116.76537704467773,122.14848899841309,125.49520015716553,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",131.8448932170868,"unknown","unknown",137.8514142036438,"",""
"20f3e2e",-2295.0030715465546,"unknown",-2287.961217880249,-2280.798341989517,0.0,6.4156105518341064,17.523061275482178,23.950169801712036,63.59896779060364,70.35302186012268,90.25973391532898,"unknown",97.39495587348938,103.1104109287262,104.97584867477417,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",111.44767427444458,"unknown","unknown",118.270592212677,"",""
"4e53c5c",-382185.77204084396,"unknown",-382178.606292963,-382173.1567399502,0.0,6.954066038131714,23.16092872619629,30.114468574523926,70.8662600517273,77.91053104400635,104.368319272995,110.08582258224487,"unknown",117.28732490539551,119.93973398208618,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",126.93223237991333,"unknown","unknown",132.839688539505,"",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-20923.988823652267,"unknown",-20917.710464954376,-20911.867471456528,0.0,5.594886779785156,15.676467418670654,22.376957893371582,52.81549572944641,58.27928185462952,65.9860520362854,"unknown",71.98585414886475,78.50780582427979,82.33187007904053,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",87.63531684875488,"unknown","unknown",94.26464414596558,"",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-9872.395748853683,"unknown",-9866.516819000244,-9861.072801351547,0.0,6.139803886413574,16.156232833862305,22.738663911819458,39.4263551235199,44.8774995803833,55.86265015602112,"unknown",61.475178480148315,67.29905462265015,70.38859724998474,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",77.04302668571472,"unknown","unknown",83.89516019821167,"",""
"ea8c0d6",-93.56042671203613,"unknown",-87.02096629142761,-81.6352846622467,0.0,5.789302825927734,9.703653573989868,16.136180877685547,425.87586641311646,432.1124818325043,440.77121925354004,447.0059621334076,"unknown",452.9789402484894,459.591849565506,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",465.5939042568207,"unknown","unknown",472.3045060634613,"",""
"7cf831f",-910.7278575897217,"unknown",-904.9683423042297,-899.3011267185211,0.0,6.114696979522705,12.475700855255127,19.713406324386597,57.884389877319336,64.36060953140259,97.23597407341003,104.12298679351807,"unknown",111.26520586013794,114.72418117523193,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",121.52829599380493,"unknown","unknown",128.95804452896118,"",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-353.5341730117798,"unknown",-347.747599363327,-342.23298954963684,0.0,6.481905698776245,272937.472271204,272943.17546606064,272969.5039460659,272975.55549168587,272989.62414598465,272996.44317269325,"unknown",273002.55802583694,273005.1007063389,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",273010.9466750622,"unknown","unknown",273016.268219471,"",""
"56ee475",-9063.71210193634,"unknown",-9057.383628368378,-9051.818437337875,0.0,6.519122838973999,10.310756921768188,15.6450035572052,29.315422773361206,35.25634741783142,93.20943260192871,"unknown",100.085529088974,106.70937609672546,109.3410472869873,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",116.60794568061829,"unknown","unknown",123.6610176563263,"",""
"916c172",-382.8814196586609,"unknown",-376.2451832294464,-369.40069007873535,0.0,7.015551567077637,11.909161806106567,17.296363830566406,27.456932306289673,33.70036697387695,40.0415415763855,"unknown",45.62633013725281,51.67177176475525,53.4277617931366,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",59.517637491226196,"unknown","unknown",65.76206612586975,"",""
"d9696dd",-119269.1000547409,"unknown",-119263.08133339882,-119256.36080265045,0.0,8.169477224349976,279245.84768509865,279252.0078229904,279294.03160214424,279299.7989885807,279309.10831809044,"unknown",279316.5547504425,279322.7708363533,621754.4866435528,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",621761.2169411182,"unknown","unknown",621767.8208165169,"",""
"eff7ebe",-4029.2864332199097,"unknown",-4022.9883999824524,-4016.189692258835,0.0,5.735769987106323,8.02584981918335,13.970452070236206,33.1699104309082,39.21737790107727,60.06436371803284,"unknown",66.78581166267395,72.34832382202148,74.49923276901245,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",82.12366771697998,"unknown","unknown",87.76781868934631,"",""
"5d4fcbe",-18.075154304504395,"unknown",-11.771989107131958,-5.690855979919434,0.0,5.520798683166504,9.410333395004272,14.933696269989014,41.63886570930481,47.149593114852905,58.731863021850586,64.85487627983093,"unknown",71.85579752922058,77.58973860740662,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",83.79279112815857,"unknown","unknown",89.88071203231812,"",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533",-961.9178738594055,"unknown",-955.5320699214935,-949.5538055896759,0.0,5.746747970581055,12.985000848770142,19.19972562789917,38.799439668655396,44.45535063743591,58.47604560852051,64.75812602043152,"unknown",71.71468591690063,85.68176746368408,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",91.5013632774353,"unknown","unknown",97.5055320262909,"",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530",-354392.3141231537,"unknown",-354322.2178514004,-354254.5811789036,0.0,5.525282382965088,11.697282314300537,17.795089960098267,47.14153170585632,53.32261371612549,84.45601963996887,91.03857445716858,"unknown",97.55087280273438,109.11304903030396,115.72795987129211,131.42810583114624,"unknown",136.74498748779297,143.55476450920105,146.09963750839233,"unknown","unknown","unknown","unknown",153.31676268577576,"unknown",158.77620148658752,"",""
