"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-31.281195402145386,"unknown",-24.708170652389526,-18.66944670677185,0.0,6.8365159034729,13.608958721160889,21.058252334594727,31.639482498168945,38.81972789764404,47.734604358673096,"unknown",53.27064919471741,60.31203079223633,63.78716731071472,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",69.19621181488037,"unknown","unknown",76.20503354072571
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-8308.869145154953,"unknown",-8302.427508831024,-8296.415973186493,0.0,5.5074121952056885,10.978325128555298,18.97831106185913,27.989121198654175,35.02651023864746,41.41729974746704,"unknown",47.27272081375122,53.37488341331482,59.83717083930969,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",65.43332648277283,"unknown","unknown",72.28830361366272
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-670.4001443386078,"unknown",-663.2991034984589,-657.0573306083679,0.0,6.478992462158203,8.406596660614014,15.701456785202026,18.467708587646484,25.351481437683105,27.797550916671753,"unknown",33.39015793800354,38.68588089942932,46.49607229232788,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",53.46072244644165,"unknown","unknown",59.85475492477417
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-680822.0627784729,"unknown",-680816.4828231335,-680810.4915411472,0.0,6.139825820922852,7.986867427825928,15.990513563156128,29.53889560699463,35.69682717323303,40.22437000274658,47.162283420562744,"unknown",53.46895885467529,67.22281956672668,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.60105204582214,"unknown","unknown",78.54061126708984
"2dffb9e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a35b75",-25.60424494743347,"unknown",-18.57972264289856,-12.870691537857056,0.0,7.045249938964844,13.961448431015015,23.228670597076416,32.92615818977356,39.55517506599426,45.80564641952515,51.82913112640381,"unknown",59.12980890274048,74.42756032943726,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",80.30364871025085,"unknown","unknown",86.80748701095581
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-16.94865083694458,"unknown",-10.356224298477173,-3.515780448913574,0.0,5.326374292373657,9.524245500564575,16.550626039505005,23.372857809066772,28.86384868621826,32.30722761154175,"unknown",37.96788311004639,43.71310997009277,45.76653790473938,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",52.752023696899414,"unknown","unknown",59.986772298812866
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ec15bc",-8064.606985092163,"unknown",-8058.5424427986145,-8052.599743127823,0.0,7.112959384918213,9.634907484054565,18.02852463722229,32.343908071517944,37.763240575790405,46.34795641899109,52.861379861831665,"unknown",60.27183508872986,63.01412343978882,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.47191977500916,"unknown","unknown",75.71753239631653
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7bb45d3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07ff49d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ad2fc5b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-2298.1909778118134,"unknown",-2291.5165634155273,-2286.2011439800262,0.0,6.351989269256592,8.712696313858032,15.460302114486694,26.444095849990845,32.39859175682068,42.43206000328064,"unknown",47.73338961601257,53.186678886413574,56.280505657196045,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.03447699546814,"unknown","unknown",69.36054182052612
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-8632.626555919647,"unknown",-8626.84941482544,-8621.423629760742,0.0,5.453921318054199,22.574628353118896,29.4888436794281,41.49894332885742,47.32355761528015,66.1924569606781,"unknown",73.06384253501892,78.64451360702515,81.09592795372009,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",87.54584431648254,"unknown","unknown",94.53347158432007
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ee7f92","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89d63ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c0a644e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80f558b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87e4f18","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0186834","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0355f6d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fa6a8b8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145d339",-3394.8074173927307,"unknown",-3388.120243549347,-3382.497173309326,0.0,7.180028438568115,8.813516855239868,16.69327473640442,34.56117391586304,40.18605613708496,45.967832803726196,"unknown",51.51103591918945,57.514766454696655,59.09315848350525,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.45485830307007,"unknown","unknown",70.83920884132385
"e96f42c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f382ec0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"962a7dd",-1057806.2962594032,"unknown",-1057799.4678194523,-1057792.9745857716,0.0,5.338925361633301,10.259272813796997,18.539705753326416,45.420085191726685,51.333277225494385,67.44174027442932,"unknown",73.88503789901733,80.23694229125977,83.493896484375,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",89.05145168304443,"unknown","unknown",94.52778148651123
"5c97513","","","","","","","","","","","","","","","","","","","","","","","","","",""
"acc6118","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d33371d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d45bd1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfcbc2d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98ecb86","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7636563",-408.6015911102295,"unknown",-402.7028338909149,-397.1494014263153,0.0,6.018852233886719,9.66031002998352,17.308050632476807,29.549440145492554,36.04112005233765,101.5167989730835,107.6433756351471,"unknown",114.49694776535034,115.93224358558655,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",121.70295524597168,"unknown","unknown",128.19624590873718
"5d2b358","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d9ae0c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73d4e20","","","","","","","","","","","","","","","","","","","","","","","","","",""
"be94a32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9f972fb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6e93efd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a4afae","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c34e373","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6bac72b",-1640.2852087020874,"unknown",-1633.4992866516113,-1627.962379693985,0.0,6.503619432449341,9.092308282852173,16.652466297149658,24.781455039978027,31.524054527282715,36.147244691848755,43.34688377380371,"unknown",50.46553349494934,52.25306820869446,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",58.57362365722656,"unknown","unknown",63.80747318267822
"c9285e4","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd4b2f4",-5996.509715557098,"unknown",-5989.752051115036,-5983.002689361572,0.0,7.042320251464844,22.83851718902588,31.180091381072998,40.668498039245605,48.29449987411499,59.55744171142578,65.44346141815186,"unknown",71.51090788841248,73.90836191177368,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",81.07258749008179,"unknown","unknown",88.01549315452576
"bd650e8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b81bc6e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0ff20c2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b0e3caa","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45f7f6c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1df700a","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3a396c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79b129c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d85b5c4","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43b56f8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ecbabb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c9c92b5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f9b9236",-1466.2022392749786,"unknown",-1460.6691620349884,-1453.676617860794,0.0,6.955003499984741,12.448334455490112,19.36641001701355,34.155906200408936,39.87015461921692,48.85334634780884,"unknown",54.716803550720215,61.12896466255188,63.41634726524353,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",69.39287853240967,"unknown","unknown",75.12184619903564
"4a0236d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7a265d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"912afde","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c97639e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"af72486","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2517d9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1e88a68","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9d97673","","","","","","","","","","","","","","","","","","","","","","","","","",""
"aa07d95",-5276.950158119202,"unknown",-5270.623744249344,-5264.85783290863,0.0,7.17885684967041,8.542961120605469,16.193411827087402,22.933743476867676,28.729534149169922,39.13005471229553,"unknown",44.38627052307129,51.22109603881836,52.51104712486267,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",58.02184844017029,"unknown","unknown",64.32970809936523
"d27b032","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38c4951","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13dba9e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e6d310e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8c74aa5",-49.10149312019348,"unknown",-42.3797562122345,-36.609291315078735,0.0,6.468028783798218,10.791269302368164,18.58723211288452,27.09670901298523,34.030853271484375,38.282662868499756,44.67227649688721,"unknown",50.882938623428345,52.80224657058716,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.75830960273743,"unknown","unknown",65.61979675292969
"679fa36","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b164bf7","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7e62763","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c7a7d85","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3b7f267","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fa1efad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ae58bf1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"492238f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43c977d",-226.12416982650757,"unknown",-220.2185821533203,-214.21815252304077,0.0,7.152545928955078,178.16485738754272,187.06657648086548,215.42464017868042,221.86796355247498,227.60435223579407,"unknown",234.72602534294128,241.18647384643555,242.84494996070862,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",249.3537802696228,"unknown","unknown",255.43171310424805
"4eff6be","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e1b193b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1415cd3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2953e33","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a540012","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dd88e0f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d135983","","","","","","","","","","","","","","","","","","","","","","","","","",""
"814517e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53deb5c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4cf342","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c1a9909","","","","","","","","","","","","","","","","","","","","","","","","","",""
"844ab34","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fc2538d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c228f6",-52.89127326011658,"unknown",-47.06134009361267,-40.03965163230896,0.0,7.149939775466919,19.554226636886597,26.9521541595459,56.46550464630127,63.3761785030365,76.51897430419922,83.61231923103333,"unknown",89.58308148384094,297.35374569892883,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",303.73380851745605,"unknown","unknown",310.37329173088074
"747ce5f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ab42f2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41f2447",-41468.38559150696,"unknown",-41461.54111266136,-41455.78282880783,0.0,5.805521249771118,9.690793991088867,17.1656174659729,30.03608226776123,37.348732709884644,50.348703145980835,56.20805859565735,"unknown",62.49971318244934,64.34848427772522,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.49369263648987,"unknown","unknown",76.28080630302429
"5bf619a","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a123713","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4997357","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5455b1d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f52861b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"466a0ab","","","","","","","","","","","","","","","","","","","","","","","","","",""
