"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","2_1"
"5d4fcbe",-99737.93362498283,"unknown",-99732.25806450844,-99726.84843182564,0.0,6.719217777252197,8.207207918167114,16.390936136245728,24.110017776489258,31.08846378326416,58.50746965408325,"unknown",65.45834875106812,71.71278381347656,639.1466860771179,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",646.1153192520142,"unknown","unknown",651.9161880016327,""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-9579.116601467133,"unknown",-9573.258016824722,-9567.21116733551,0.0,5.616644620895386,11.796764135360718,19.317006826400757,28.911759614944458,35.12217402458191,40.870105266571045,"unknown",46.79586625099182,53.831103801727295,56.532883167266846,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",62.779463052749634,"unknown","unknown",69.81044554710388,""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-19771.045372247696,"unknown",-19764.20784664154,-19757.556524276733,0.0,6.61560845375061,21.973588943481445,30.61570978164673,51.04338312149048,56.970442056655884,62.29174304008484,"unknown",68.48911690711975,75.37973737716675,77.90931606292725,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",83.49251222610474,"unknown","unknown",89.66083335876465,""
