"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","x_3","12A","12B","13_1","13_2","13_3","15","2_1","5_1"
"916c172","unknown","unknown","unknown","unknown",0.0,"unknown",506.816956281662,"unknown",2211.8370912075043,"unknown",2838.3905930519104,"unknown","unknown","unknown",2873.202965259552,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"d9696dd",-201141.23558926582,"unknown",-201134.9984881878,-201128.83083081245,0.0,6.5844714641571045,61936.83017683029,61942.73059272766,61969.89158344269,61975.65836763382,61993.20764017105,"unknown",61999.918281793594,62005.40976476669,62008.32481837273,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",62013.70447802544,"unknown","unknown",62020.49247121811,"",""
"eff7ebe",-2774.950877904892,"unknown",-2768.2565405368805,-2761.975855112076,0.0,6.508250713348389,8.66702151298523,15.825863122940063,32.917646646499634,39.61479902267456,54.34193468093872,"unknown",61.6521942615509,68.71580100059509,134.75230312347412,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",141.56195616722107,"unknown","unknown",147.27050304412842,"",""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",8.253731966018677,"unknown",36.447746992111206,"unknown",86.33966159820557,"unknown","unknown","unknown",102.07515406608582,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"170bd80",-690.8810768127441,"unknown",-684.9694290161133,-678.4620537757874,0.0,6.722526788711548,13.563400030136108,19.737975120544434,44.18428921699524,49.83988285064697,71.49552369117737,"unknown",78.21211576461792,84.16582226753235,88.61813521385193,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",94.26349997520447,"unknown","unknown",100.77556943893433,"",""
"7a54533","unknown","unknown","unknown","unknown",0.0,"unknown",11.72157907485962,"unknown",51.809136152267456,"unknown",68.49571394920349,"unknown","unknown","unknown",83.25336980819702,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692",-806922.971991539,"unknown",-806915.8741714954,-806908.7066648006,0.0,5.453389644622803,19.499042987823486,25.772361516952515,45.44884133338928,51.77354574203491,86.01809740066528,"unknown",93.2971453666687,100.06319785118103,102.23503708839417,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",107.54475998878479,"unknown","unknown",112.8627655506134,"",""
"90ccafb",-1730261.6597192287,"unknown",-1730256.2014820576,-1730249.4823009968,0.0,7.228770971298218,171.20995712280273,177.06390023231506,192.86960101127625,199.01131653785706,214.87512302398682,"unknown",222.19385480880737,229.19406747817993,233.25718712806702,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",240.41860461235046,"unknown","unknown",245.91873955726624,"",""
"0327530",-40834.67159032822,"unknown",-40829.021060705185,-40822.403529405594,0.0,5.5362701416015625,12.251047372817993,17.884562492370605,44.238627433776855,51.66067147254944,86.84324312210083,"unknown",93.52531886100769,100.29752993583679,102.19739747047424,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",108.8366150856018,"unknown","unknown",115.14460706710815,"",""
"47dcadc",-14733.794962644577,"unknown",-14727.806322574615,-14722.623787403107,0.0,6.608088970184326,17.179001569747925,23.269976377487183,61.46749925613403,68.574147939682,155.29224061965942,"unknown",160.8088572025299,166.4055495262146,168.70129346847534,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",174.02399373054504,"unknown","unknown",179.84464359283447,"",""
"233ee90",-738066.5788929462,"unknown",-738059.8913228512,-738052.8038189411,0.0,6.387850522994995,9.475448608398438,15.127500772476196,36.40615439414978,42.16585826873779,76.65934538841248,"unknown",82.76891732215881,89.27122211456299,91.13838934898376,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",98.2568416595459,"unknown","unknown",104.77484154701233,"",""
