"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-4523.035324335098,"unknown",-4516.028254270554,-4510.510416030884,0.0,6.91922926902771,80.72916865348816,89.6370153427124,112.2066957950592,119.57731461524963,127.54105019569397,"unknown",133.2944211959839,138.91575026512146,140.64087533950806,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",146.2040138244629,"unknown","unknown",153.2096450328827
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-69917.45321750641,"unknown",-69911.96702957153,-69906.46795582771,0.0,5.669686555862427,46.949990034103394,55.580572843551636,88.91533041000366,95.45392394065857,112.88130068778992,"unknown",119.91166591644287,126.95541429519653,613.7701761722565,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",619.7576103210449,"unknown","unknown",625.2399945259094
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-77411.97768211365,"unknown",-77405.83617520332,-77399.82551407814,0.0,5.9937028884887695,26.92574143409729,35.5247323513031,56.35202622413635,63.143940687179565,68.78518223762512,75.6880624294281,"unknown",82.42539858818054,98.23195242881775,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",105.41024661064148,"unknown","unknown",111.38878154754639
"ac6f3f6",-16.610334396362305,"unknown",-10.264840841293335,-3.1191627979278564,0.0,6.027273416519165,37.313191175460815,45.97224736213684,50.29200196266174,56.60578894615173,68.28677034378052,75.51516437530518,"unknown",82.41456437110901,98.6007673740387,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",105.59447312355042,"unknown","unknown",111.76083040237427
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-17460.489315271378,"unknown",-17453.247155427933,-17447.539576530457,0.0,6.846679210662842,15.870174407958984,24.24850106239319,111.73397374153137,117.34581327438354,127.07578730583191,"unknown",133.2825129032135,138.99200057983398,145.50876355171204,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",151.82171535491943,"unknown","unknown",157.53200340270996
"4e53c5c",-397.3284583091736,"unknown",-391.623806476593,-385.1996121406555,0.0,6.158902645111084,12.293062210083008,19.967143535614014,45.37893033027649,51.7671000957489,57.43174982070923,64.37369513511658,"unknown",69.66307425498962,71.8092110157013,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",77.56611752510071,"unknown","unknown",82.96381163597107
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-10356.95080447197,"unknown",-10351.397082090378,-10345.27603006363,0.0,7.040786504745483,21.748897314071655,30.307440519332886,56.6696343421936,62.53251600265503,73.75378775596619,"unknown",79.47316122055054,85.1134603023529,87.16364574432373,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",93.93695116043091,"unknown","unknown",100.1400637626648
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","",""
