"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","4_1"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-11779.814155817032,"unknown",-11773.889967918396,-11766.803184270859,0.0,6.210632562637329,8.489804029464722,15.706544399261475,27.450037717819214,33.070746421813965,46.36769890785217,"unknown",53.05660843849182,58.68595218658447,61.782084226608276,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",67.34350061416626,"unknown","unknown",73.28262948989868,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-4467.201270341873,"unknown",-4461.487955331802,-4455.034740686417,0.0,6.7708845138549805,12.494285821914673,20.881720304489136,32.88149547576904,39.45797371864319,77.64213395118713,83.18692255020142,"unknown",90.15116477012634,93.67760992050171,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",99.28339052200317,"unknown","unknown",105.70499038696289,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-18.472318172454834,"unknown",-11.731539249420166,-5.886310338973999,0.0,6.230679035186768,343.18362045288086,351.5550434589386,367.0170919895172,372.6414222717285,386.85094833374023,"unknown",394.3632709980011,400.8392970561981,432.42695808410645,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",439.8300111293793,"unknown","unknown",445.5721037387848,""
"ac6f3f6",-20355.75248813629,"unknown",-20349.685264348984,-20343.584782361984,0.0,5.554929256439209,9.324110507965088,17.077268600463867,29.361616373062134,35.31534957885742,43.33527660369873,49.25860834121704,"unknown",55.23186802864075,57.504727840423584,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.72175431251526,"unknown","unknown",70.29077410697937,""
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-439.903254032135,"unknown",-434.32453870773315,-428.86939692497253,0.0,7.049491882324219,12.328587055206299,20.118070125579834,42.140820026397705,47.787389278411865,57.86557674407959,"unknown",64.00188040733337,69.69423985481262,75.18179297447205,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",80.89794397354126,"unknown","unknown",87.10826635360718,""
"4e53c5c",-12666.44190120697,"unknown",-12659.867355108261,-12652.910672426224,0.0,5.592884302139282,13.644121646881104,20.80087947845459,38.809157371520996,44.4259467124939,70.31080198287964,76.79598140716553,"unknown",83.86185026168823,86.15194153785706,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",91.42542767524719,"unknown","unknown",96.78090071678162,""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-533.0732502937317,"unknown",-527.8727014064789,-521.3020350933075,0.0,6.560041427612305,13.590978622436523,20.87386417388916,2262609.996003628,2262616.522149086,2262711.6387195587,2262717.5302562714,"unknown",2262723.3975658417,2262725.3335802555,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",2262731.6702046394,"unknown","unknown",2262737.843492508,2256355.3649053574
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","",""
