"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1"
"518e9b8",-23790.717322587967,"unknown",-23784.76582622528,-23778.215701580048,0.0,6.7624053955078125,13.113883256912231,19.954654455184937,28.7374427318573,35.519203186035156,45.40407609939575,51.6020188331604,"unknown",58.92323613166809,62.868298053741455,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",68.50767612457275,"unknown","unknown",75.4795138835907,""
"b5edd3c",-15982.85333943367,"unknown",-15975.723556995392,-15969.816637277603,0.0,5.543314695358276,9.58251428604126,18.019152402877808,24.726574659347534,31.547791242599487,35.20550274848938,"unknown",41.26967263221741,46.95484495162964,49.174087047576904,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",54.54969048500061,"unknown","unknown",60.744388818740845,""
"374ecf8",-1169.725111246109,"unknown",-1163.7977294921875,-1156.7269315719604,0.0,7.181115627288818,47054.795289993286,47062.36615085602,47069.50065946579,47076.25292658806,47084.28187775612,47091.079144239426,"unknown",47097.333434820175,47105.32277274132,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",47110.84041714668,"unknown","unknown",47116.14548444748,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",8.805018663406372,"unknown",24.517343759536743,"unknown",40.81979155540466,"unknown","unknown","unknown",55.886289834976196,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-53217.89790916443,"unknown",-53210.79494857788,-53202.75695681572,0.0,6.992145776748657,14.132463216781616,22.79100465774536,50.02125954627991,57.11914849281311,63.91455841064453,"unknown",71.0670690536499,77.77722454071045,79.7558081150055,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",86.49127388000488,"unknown","unknown",93.10022687911987,""
"2541155",-7256.267676115036,"unknown",-7249.9278819561005,-7243.326678991318,0.0,5.223376512527466,7.209357738494873,15.370408773422241,23.68888759613037,29.12351393699646,34.515419721603394,"unknown",40.364635944366455,46.21372699737549,47.88305115699768,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",54.10853385925293,"unknown","unknown",59.590800285339355,""
"ac6f3f6",-1379.7934963703156,"unknown",-1374.098340511322,-1367.625986814499,0.0,5.403981924057007,158.75397181510925,165.72045230865479,170.50233483314514,175.86226606369019,197.37980461120605,203.8817663192749,"unknown",210.65081691741943,212.91843628883362,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",218.47995233535767,"unknown","unknown",224.4813129901886,""
"62447b9",-172830.18867754936,"unknown",-172823.45266604424,-172816.37838315964,0.0,5.741141319274902,10.499497890472412,18.199681282043457,37.20100140571594,42.97641038894653,110.96507740020752,"unknown",117.63848805427551,123.64805197715759,125.94579124450684,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",133.11199235916138,"unknown","unknown",140.21026730537415,""
"20f3e2e",-12671.96881222725,"unknown",-12665.534792661667,-12659.095056533813,0.0,6.192809581756592,14.069122552871704,21.61776065826416,72.20860719680786,79.45587134361267,101.37053155899048,"unknown",107.10481119155884,113.62459945678711,116.81081652641296,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",123.57987546920776,"unknown","unknown",129.77102851867676,""
