"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","x_3","12A","12B","13_1","13_2","13_3","15","2_1","5_1","4_1","4_2"
"8ce483d","unknown","unknown","unknown","unknown",0.0,"unknown",10.765195846557617,"unknown",36.103328466415405,"unknown",49.97408604621887,"unknown","unknown","unknown",67.10584950447083,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",8.526118993759155,"unknown",26.13750648498535,"unknown",48.12803673744202,"unknown","unknown","unknown",64.33980751037598,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"56ee475",-539684.009770155,"unknown",-539677.6388249397,-539671.3119699955,0.0,7.250485181808472,11.129791498184204,16.714460134506226,27.235597372055054,33.73664426803589,43.35164523124695,"unknown",49.20235633850098,55.13261151313782,57.60450768470764,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",63.61674952507019,"unknown","unknown",68.87750673294067,"","","",""
"916c172","unknown","unknown","unknown","unknown",0.0,"unknown",20.539774656295776,"unknown",1360.9133005142212,"unknown",1458.643916130066,"unknown","unknown","unknown",1571.872822523117,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"d9696dd",-8881.496741056442,"unknown",-8876.156921863556,-8869.459463119507,0.0,7.579826831817627,55.05268049240112,60.46927881240845,113.3083291053772,118.99249505996704,163.96230220794678,"unknown",170.3802433013916,176.57805180549622,178.73680639266968,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",185.81248569488525,"unknown","unknown",191.31656527519226,"","","",""
"eff7ebe",-33.97691059112549,"unknown",-28.658272981643677,-22.841691970825195,0.0,5.6200878620147705,8.819152593612671,14.543574571609497,24.522127866744995,30.62275791168213,49.82720994949341,"unknown",55.11227512359619,61.52990794181824,63.52655100822449,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",70.52686715126038,"unknown","unknown",77.39963054656982,"","","",""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",9.6961030960083,"unknown",32.37832474708557,"unknown",67.04911017417908,"unknown","unknown","unknown",84.50561618804932,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"170bd80",-1888.8601505756378,"unknown",-1883.489453792572,-1876.3806223869324,0.0,5.860796213150024,12.251965999603271,19.42641043663025,39.60144639015198,46.20360827445984,57.88179540634155,"unknown",63.53250503540039,69.84874057769775,73.82016134262085,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",80.39855599403381,"unknown","unknown",87.328533411026,"","","",""
"7a54533","unknown","unknown","unknown","unknown",0.0,"unknown",16.273361682891846,"unknown",40.92149782180786,"unknown",56.23449444770813,"unknown","unknown","unknown",70.26555061340332,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9",-992804.6945841312,"unknown",-449954.40817523,-449769.47247719765,0.0,5.908306121826172,13.779301643371582,18.96668314933777,33.710444927215576,39.4875168800354,50.76089286804199,"unknown",57.846535205841064,64.34144878387451,66.49116849899292,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",73.29574394226074,"unknown","unknown",78.44381499290466,"","","",""
"7384692",-3723768.675538063,"unknown",-3723756.0959677696,-3723737.6393892765,0.0,7.373047828674316,14.73050332069397,21.815279006958008,32.220030546188354,38.67535710334778,53.575042724609375,"unknown",58.98427748680115,65.02572703361511,67.70212173461914,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",74.258131980896,"unknown","unknown",81.15518760681152,"","","",""
"90ccafb",-630923.4041492939,"unknown",-630916.9933354855,-630910.6929759979,0.0,5.6114113330841064,11.367838859558105,17.664193630218506,27.84699845314026,34.833683013916016,65.40542459487915,71.26876878738403,"unknown",77.99465084075928,79.86897039413452,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",85.87492895126343,"unknown","unknown",92.39717245101929,"","","",""
"0327530",-149106.4528503418,"unknown",-149099.8347914219,-149094.0906636715,0.0,7.216314315795898,19.62894105911255,25.52230405807495,41.18169832229614,46.40857243537903,66.19542288780212,71.75204873085022,"unknown",78.61490535736084,80.12397241592407,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",85.73381924629211,"unknown","unknown",91.51941728591919,"","","",""
"47dcadc","unknown","unknown","unknown","unknown",0.0,5.465385437011719,18.60378384590149,25.471646070480347,58.6040997505188,66.16431760787964,111.0460798740387,"unknown",116.54826164245605,123.08224368095398,134.0624885559082,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",140.540278673172,"unknown","unknown",146.08053874969482,"","","",""
"233ee90",-436383.30241537094,"unknown",-436377.82325839996,-436372.5767092705,0.0,6.4991326332092285,32.27532076835632,38.429298877716064,50.136770248413086,55.542608976364136,82.2354507446289,"unknown",89.0655505657196,95.69105911254883,99.58696794509888,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",106.75206303596497,"unknown","unknown",112.30466294288635,"","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2",-62793.936115026474,"unknown",-62786.898564100266,-62780.50108838081,0.0,6.449148416519165,10.110845565795898,15.847864389419556,24.981796979904175,30.473624229431152,45.08021879196167,52.36112570762634,"unknown",57.981603145599365,61.48652958869934,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",68.20729637145996,"unknown","unknown",74.33376550674438,"","","",""
"50ec1c5",-522.5185132026672,"unknown",-516.3573205471039,-510.0129542350769,0.0,5.835314035415649,16.365580081939697,22.187116384506226,48.023253202438354,54.59459662437439,5194620.559211016,"unknown",5194628.8295555115,5194647.41749835,5194664.212073088,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",5194689.709480524,"unknown","unknown",5194707.1248703,"",5194521.270968914,"",""
"11892fd",-249.8431215286255,"unknown",-244.51289772987366,-237.65479445457458,0.0,5.577526807785034,9.824402809143066,16.628318309783936,30.348392248153687,36.231852293014526,45.4643714427948,"unknown",52.49744486808777,57.95028042793274,73.51139545440674,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",78.95595145225525,"unknown","unknown",84.8400707244873,"","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-1448.0190069675446,"unknown",-1442.3361089229584,-1435.1763226985931,0.0,5.685807228088379,10.912320613861084,17.871134757995605,26.95683193206787,32.429935932159424,43.3753457069397,50.33099675178528,"unknown",57.45032620429993,59.8935980796814,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",65.24589681625366,"unknown","unknown",71.8490059375763,"","","",""
"ee4b6cd",-2755.2405738830566,"unknown",-2749.030345916748,-2743.5593950748444,0.0,6.947256565093994,12.831930875778198,19.160263299942017,37.21618723869324,42.927305459976196,73.33131980895996,"unknown",79.31831407546997,86.23515510559082,88.20321726799011,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",93.96563935279846,"unknown","unknown",99.76299405097961,"","","",""
"f2291ba",-114946.10162782669,"unknown",-114939.49429249763,-114934.09283828735,0.0,6.240315675735474,14.057153701782227,19.765079259872437,33.34049844741821,39.2591335773468,67.50212526321411,74.19264149665833,"unknown",81.15832090377808,83.64104914665222,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",90.35931634902954,"unknown","unknown",97.30636668205261,"","","",""
"fb6ca94",-153821.90060782433,"unknown",-153815.2440559864,-153809.07094478607,0.0,6.409200429916382,19.915751934051514,26.05124282836914,43.78313159942627,50.65900993347168,65.90103054046631,"unknown",72.47832369804382,79.40252661705017,80.834312915802,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",87.98538827896118,"unknown","unknown",94.60782551765442,"","","",""
"516417f",-60295.43214511871,"unknown",-60289.72708106041,-60282.688562870026,0.0,5.46244740486145,15.072510957717896,21.26407527923584,37.66050982475281,43.94506096839905,62.64551115036011,69.4534239768982,"unknown",75.79491996765137,79.43894481658936,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",85.3685553073883,"unknown","unknown",91.18718886375427,"","","",""
"7a0eabe",-472.95157647132874,"unknown",-467.1800127029419,-460.0482442378998,0.0,6.758199453353882,13.630208015441895,20.027507781982422,34.264538526535034,40.62525415420532,57.06707239151001,"unknown",64.34294700622559,70.92151522636414,77.50460195541382,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",83.36872148513794,"unknown","unknown",89.28642320632935,"","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-11543.816106557846,"unknown",-11537.4617664814,-11531.259184837341,0.0,5.641964435577393,14.54884147644043,21.634130001068115,33.708563566207886,40.19718647003174,49.25574469566345,56.563849687576294,"unknown",62.5710883140564,64.53423309326172,70.50524425506592,75.81200790405273,82.84426188468933,"unknown",88.73751711845398,91.26245999336243,96.54035592079163,102.4984176158905,"unknown",109.61680436134338,"unknown","unknown",115.39665579795837,121.86436581611633,"","","",""
"50a0fdd",-4385.5221428871155,"unknown",-4378.840317249298,-4373.400953292847,0.0,6.865257263183594,14.983489274978638,21.358880043029785,42.06560230255127,48.12562298774719,89.52516269683838,96.30806636810303,"unknown",103.33277606964111,163.07927703857422,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",168.67585587501526,"unknown","unknown",175.03076601028442,"","","",""
"b7cec81",-47386.59790158272,"unknown",-47380.08879113197,-47373.3652215004,0.0,7.249878883361816,13.680759191513062,19.365657806396484,39.06177878379822,45.40877723693848,94.93288230895996,102.15924048423767,"unknown",108.4636390209198,110.38033628463745,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",116.49132227897644,"unknown","unknown",123.7235381603241,"","","",""
"bf983ba",-739.5374534130096,"unknown",-733.8942811489105,-727.6907517910004,0.0,5.378262281417847,12.687798261642456,19.225133180618286,25.431884288787842,32.644991874694824,583.115879535675,"unknown",588.556991815567,594.3139114379883,823.674807548523,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",830.5383043289185,"unknown","unknown",836.9215784072876,"","","",""
"b53b559",-9997.80169415474,"unknown",-9991.006571769714,-9983.814475774765,0.0,6.484002113342285,22.21263599395752,28.34707260131836,42.66482877731323,49.13189673423767,209.18172335624695,214.5564877986908,"unknown",220.2182903289795,221.66506004333496,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",228.9554090499878,"unknown","unknown",236.04920029640198,"","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004",-923.7784519195557,"unknown",-917.8812022209167,-912.1813979148865,0.0,6.0758843421936035,10.611313819885254,17.669488430023193,26.538031339645386,33.095741510391235,35.84469985961914,"unknown",41.995107889175415,47.88145136833191,50.41040873527527,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",56.374101877212524,"unknown","unknown",62.08082175254822,"","","",""
"7b3c431",-964672.7864701748,"unknown",-964667.3087265491,-964660.3557360172,0.0,5.854349136352539,11.696912050247192,18.09399724006653,29.05569291114807,35.65227007865906,48.83490467071533,54.77307391166687,"unknown",60.72416162490845,62.791382789611816,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",70.0086452960968,"unknown","unknown",76.80870866775513,"","","",""
"2457ed6",-26069.902698278427,"unknown",-26063.163384199142,-26057.39968395233,0.0,6.265027284622192,13.57977294921875,20.685319900512695,34.974299907684326,41.05172562599182,69.94844484329224,75.48978519439697,"unknown",82.18236637115479,84.41675448417664,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",90.17824792861938,"unknown","unknown",97.16905760765076,"","","",""
"c4bba29",-16.615737915039062,"unknown",-10.40233063697815,-3.3491344451904297,0.0,5.751737117767334,10.91690182685852,17.335305213928223,41.68738913536072,47.364500761032104,84.72983264923096,90.28106570243835,"unknown",97.26471853256226,99.94376039505005,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",106.48975849151611,"unknown","unknown",112.2010657787323,"","","",""
"2dffb9e",-15.772363662719727,"unknown",-8.661193370819092,-2.6747312545776367,0.0,5.871363639831543,8.058088064193726,13.990590333938599,23.612902402877808,30.462429523468018,42.310457944869995,"unknown",47.99227714538574,54.388283014297485,56.723512411117554,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",63.49746561050415,"unknown","unknown",70.02185320854187,"","","",""
"7a35b75",-11354.76955652237,"unknown",-11349.067097187042,-11341.8515021801,0.0,6.083440542221069,20.434963941574097,27.392832040786743,41.132657289505005,48.12255549430847,60.88364934921265,"unknown",68.1063506603241,74.22040486335754,76.1674747467041,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",81.97108101844788,"unknown","unknown",88.66154885292053,"","","",""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f",-25482.77697110176,"unknown",-25475.519807338715,-25469.996938943863,0.0,5.609600305557251,16.5335054397583,23.935465574264526,38.917051553726196,45.29422903060913,58.99912190437317,"unknown",65.57014083862305,72.33372139930725,74.09609007835388,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",80.22191452980042,"unknown","unknown",86.80245637893677,"","","",""
"58b1c8e",-115.94955492019653,"unknown",-109.12067008018494,-103.31111240386963,0.0,5.811082363128662,66.50825452804565,71.88684725761414,93.69634056091309,99.80704045295715,129.0283064842224,"unknown",135.45970940589905,141.41988968849182,143.67879986763,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",150.7107286453247,"unknown","unknown",157.30944442749023,"","","",""
"bf3dfcf",-10821.868200302124,"unknown",-10815.799887657166,-10809.456631422043,0.0,5.3134925365448,19.318882703781128,25.469518899917603,35.88863563537598,41.95763850212097,53.38703751564026,"unknown",59.30728554725647,65.31154990196228,66.91570210456848,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",73.13744807243347,"unknown","unknown",80.4056043624878,"","","",""
"80e625f",-286743.3214318752,"unknown",-286736.3599867821,-286730.84178233147,0.0,7.107909202575684,13.070957660675049,18.692917823791504,28.858039140701294,35.702895164489746,55.26940679550171,"unknown",62.4682092666626,68.14927554130554,69.77633881568909,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",75.71135520935059,"unknown","unknown",81.2702431678772,"","","",""
