"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","2_1"
"916c172",-103.71436405181885,"unknown",-98.11628556251526,-90.7938871383667,0.0,6.354648113250732,112.9243700504303,123.9902970790863,158.4942238330841,164.86820197105408,170.72927713394165,177.91256666183472,"unknown",183.8579399585724,9425.9129550457,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",9432.018973827362,"unknown","unknown",9438.624578475952,""
"d9696dd",-380777.51738238335,"unknown",-380771.5119109154,-380764.3945455551,0.0,6.688291072845459,15.17835545539856,22.25264811515808,38.924267292022705,44.98832321166992,64.40559816360474,"unknown",70.55231022834778,77.76701951026917,81182.38930344582,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",81188.65174484253,"unknown","unknown",81196.0194952488,""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-544.2055394649506,"unknown",-538.2346084117889,-532.8025360107422,0.0,5.8761632442474365,26.022913694381714,33.7763307094574,107.10299158096313,114.59208035469055,123.58509230613708,"unknown",129.8154113292694,136.42533826828003,139.70410203933716,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",145.206866979599,"unknown","unknown",151.30501461029053,""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533",-88344.3764371872,"unknown",-88337.25597167015,-88331.273665905,0.0,6.950878858566284,13.631010055541992,21.584470748901367,42.60619020462036,48.53897047042847,60.82300662994385,"unknown",67.83985924720764,73.79778838157654,76.48383164405823,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",82.16222476959229,"unknown","unknown",88.18889355659485,""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530",-121853.82996201515,"unknown",-121846.66525769234,-121839.55931591988,0.0,7.082320690155029,11.37396788597107,19.072040557861328,44.68149471282959,51.562612533569336,64.53703808784485,"unknown",70.50561928749084,76.87352848052979,79.14225506782532,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",85.86645913124084,"unknown","unknown",92.99934029579163,""
"47dcadc",-1487.2761676311493,"unknown",-1481.5521264076233,-1475.691168308258,0.0,6.734803199768066,22.913882732391357,29.902235984802246,48.0843243598938,54.55236864089966,82.46162843704224,"unknown",88.54668140411377,94.32599210739136,97.17098140716553,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",102.58846545219421,"unknown","unknown",109.25773286819458,""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-163.06290006637573,"unknown",-155.91528034210205,-150.5822684764862,0.0,6.04761004447937,32.29859685897827,40.4558961391449,51.86356973648071,59.15265130996704,84.24184727668762,90.62205576896667,"unknown",96.8491005897522,103.23518085479736,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",109.08333230018616,"unknown","unknown",114.67746663093567,""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","",""
