"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_3","otro_final"
"4a60a56","","","","","","",""
"02b634c","A","","A","A","","","A"
"37674f9","B","","B","A","","","A"
"5bf619a","A","","A","C","","","C"
"ff10184","A","","A","A","","","A"
"ee4b6cd","B","","B","A","","","A"
"8ce483d","A","","A","A","","","A"
"85ba0bb","","","","","","",""
"07efbd5","","","","","","",""
"f476f5b","","","","","","",""
"8a1ecd0","C","","C","C","","","C"
"2f80631","","","","","","",""
"34d8485","A","","A","A","","","A"
"2953e33","A","","A","A","","","A"
"8d2da97","A","","A","A","","","A"
"2afa0a3","","","","","","",""
"0355f6d","B","","B","B","","","B"
"43bae5c","B","","B","B","","","B"
"bae1726","","","","","","",""
"8e2b1f9","","","","","","",""
"b06ee97","C","","C","A","","","A"
"b92dee2","B","","B","C","","","C"
"061aed4","","","","","","",""
"537189f","C","","C","C","","","C"
"cae6014","","","","","","",""
"49db8c4","C","","C","A","","","A"
"2ee7f92","A","","A","A","","","A"
"ce57d54","","","","","","",""
"b67425b","A","","A","A","","","A"
"ba03ed9","","","","","","",""
"e23561c","","","","","","",""
"f5a2bd5","","","","","","",""
"8f10453","","","","","","",""
"d09321f","A","","A","A","","","A"
"3894348","","","","","","",""
"1fa4263","","","","","","",""
"abc9ab4","","","","","","",""
"877fb69","A","","A","C","","","C"
"3226bb3","A","","A","A","","","A"
"a9b4533","A","","A","B","","","B"
"c4bba29","C","","C","A","","","A"
"f2291ba","B","","B","A","","","A"
"d925650","B","","B","A","","","A"
"1a8e45b","A","","A","A","","","A"
"48598f1","","","","","","",""
"5f2a1aa","B","","B","A","","","A"
"b7cec81","A","","A","B","","","B"
"e2738b5","C","","C","A","","","A"
"52ac937","","","","","","",""
"3218556","B","","B","A","","","A"
"3e625ac","B","","B","A","","","A"
"70405ea","B","","B","A","","","A"
"4a9b689","","","","","","",""
"105aa8d","","","","","","",""
"c02668d","C","","C","B","","","B"
"fafded6","","","","","","",""
"fbd29ce","","","","","","",""
"b987d82","","","","","","",""
"e65bef7","B","","B","A","","","A"
"1ed3221","","","","","","",""
"4b70ed3","A","","A","A","","","A"
"56bae3a","B","","B","A","","","A"
"49f21e0","C","","C","C","","","C"
"e4cf342","B","","B","C","","","C"
"92db041","B","","B","C","","","C"
"dbe98d3","","","","","","",""
"9e9a81e","B","","B","B","","","B"
"90434eb","A","B","B","B","","","B"
"b11e6db","","","","","","",""
"402df77","","","","","","",""
"b1b2943","","","","","","",""
"2feab0e","","","","","","",""
"0f91d63","B","","B","B","","","B"
"9ad2396","","","","","","",""
"ae58bf1","B","","B","B","","","B"
"ffa62f5","","","","","","",""
"a289cae","","","","","","",""
"2b5182a","","","","","","",""
"6dcaf4a","","","","","","",""
"0186834","A","","A","A","","","A"
"233ee90","A","","A","B","","","B"
"6e93efd","A","","A","A","","","A"
"b901eca","","","","","","",""
"c94e42e","C","","C","C","","","C"
"e96f42c","C","","C","C","","","C"
"7a35b75","B","","B","A","","","A"
"cb521fc","","","","","","",""
"0a19c7c","","","","","","",""
"f42c435","","","","","","",""
"f70e5cf","","","","","","",""
"1db8420","A","","A","B","","","B"
"01baaf6","","","","","","",""
"c3db77a","A","","A","B","","","B"
"41617bd","","","","","","",""
"0fa3d65","","","","","","",""
"1df700a","B","","B","A","","","A"
"50a0fdd","B","","B","A","","","A"
"c98ae69","","","","","","",""
"af72486","A","","A","A","","","A"
"0eb7fba","","","","","","",""
"1288ac2","A","","A","A","","","A"
"802d704","C","","C","A","","","A"
"97879de","","","","","","",""
"6568ea1","B","","B","C","","","C"
"2cd7961","","","","","","",""
"ca96db9","","","","","","",""
"c1a9909","B","","B","A","","","A"
"acc6118","B","","B","C","","","C"
"2f5762a","A","","A","C","","","C"
"399b994","B","","B","A","","","A"
"b16e558","","","","","","",""
"4c072d3","B","","B","B","","","B"
"1e88a68","C","","C","A","","","A"
"62447b9","B","","B","B","","","B"
"5455b1d","A","","A","A","","","A"
"220d07a","","","","","","",""
"8a2ad40","","","","","","",""
