"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_final"
"2afa0a3","","","","","",""
"0355f6d","C","","C","B","","B"
"43bae5c","","","","","",""
"bae1726","","","","","",""
"8e2b1f9","","","","","",""
"b06ee97","","","","","",""
"b92dee2","C","","C","C","","C"
"061aed4","","","","","",""
"537189f","C","","C","C","","C"
"cae6014","","","","","",""
"49db8c4","C","","C","B","","B"
"2ee7f92","B","","B","B","","B"
"ce57d54","","","","","",""
"b67425b","B","","B","A","","A"
"ba03ed9","","","","","",""
"e23561c","","","","","",""
"f5a2bd5","","","","","",""
"8f10453","","","","","",""
"d09321f","B","","B","B","","B"
"3894348","","","","","",""
"1fa4263","","","","","",""
"abc9ab4","","","","","",""
"877fb69","C","","C","A","","A"
"3226bb3","B","","B","A","","A"
"a9b4533","B","","B","B","","B"
"c4bba29","A","","A","A","","A"
"f2291ba","C","","C","A","","A"
"d925650","B","","B","C","","C"
"1a8e45b","B","","B","B","","B"
"48598f1","","","","","",""
"5f2a1aa","C","","C","A","","A"
"b7cec81","C","","C","C","","C"
"e2738b5","","","","","",""
"52ac937","","","","","",""
"3218556","","","","","",""
"3e625ac","B","","B","B","","B"
"70405ea","","","","","",""
"4a9b689","","","","","",""
"105aa8d","","","","","",""
"c02668d","","","","","",""
"fafded6","","","","","",""
"fbd29ce","","","","","",""
"b987d82","","","","","",""
"e65bef7","","","","","",""
"1ed3221","","","","","",""
"4b70ed3","C","","C","C","","C"
"56bae3a","A","","A","A","","A"
"49f21e0","B","","B","C","","C"
"e4cf342","","","","","",""
"92db041","C","","C","C","","C"
"dbe98d3","","","","","",""
"9e9a81e","C","","C","C","","C"
"90434eb","B","","B","C","","C"
"b11e6db","","","","","",""
"402df77","","","","","",""
"b1b2943","","","","","",""
"2feab0e","","","","","",""
"0f91d63","B","C","C","C","","C"
"9ad2396","","","","","",""
"ae58bf1","C","","C","C","","C"
"ffa62f5","","","","","",""
"a289cae","","","","","",""
"2b5182a","","","","","",""
"6dcaf4a","","","","","",""
"0186834","C","","C","A","","A"
"233ee90","B","","B","A","","A"
"6e93efd","C","","C","B","","B"
"b901eca","","","","","",""
"c94e42e","C","","C","C","","C"
"e96f42c","C","","C","C","","C"
"7a35b75","C","","C","C","","C"
"cb521fc","","","","","",""
"0a19c7c","","","","","",""
"f42c435","","","","","",""
"f70e5cf","","","","","",""
"1db8420","A","","A","C","","C"
"01baaf6","","","","","",""
"c3db77a","A","","A","A","B","B"
"41617bd","","","","","",""
"0fa3d65","","","","","",""
"1df700a","C","","C","B","","B"
"50a0fdd","B","","B","A","","A"
"c98ae69","","","","","",""
"af72486","C","","C","C","","C"
"0eb7fba","","","","","",""
"1288ac2","","","","","",""
"802d704","C","","C","C","","C"
"97879de","","","","","",""
"6568ea1","C","","C","C","","C"
"2cd7961","","","","","",""
"ca96db9","","","","","",""
"c1a9909","C","","C","C","","C"
"acc6118","C","B","B","A","","A"
"2f5762a","C","","C","C","","C"
"399b994","C","","C","C","","C"
"b16e558","","","","","",""
"4c072d3","C","","C","C","","C"
"1e88a68","C","","C","C","","C"
"62447b9","C","","C","C","","C"
"5455b1d","B","","B","B","","B"
"220d07a","","","","","",""
"8a2ad40","","","","","",""
"5c97513","C","","C","C","","C"
"bf71578","","","","","",""
"f799335","","","","","",""
"ef7d623","C","","C","C","","C"
"6412561","","","","","",""
"48ce715","","","","","",""
"4aabc57","","","","","",""
"daa0e98","","","","","",""
"f8a30f5","","","","","",""
"87007b4","","","","","",""
"5e09b84","C","","C","C","","C"
"48ba4ef","","","","","",""
"2541155","B","","B","A","","A"
"6289e6c","C","","C","C","","C"
"db046f2","C","","C","C","B","B"
"d2678bc","","","","","",""
"741ef32","C","","C","C","","C"
"7b3c431","C","","C","A","","A"
"bd650e8","B","","B","A","","A"
"79da67a","","","","","",""
"52d61f6","C","","C","C","","C"
"d91bf84","C","","C","C","","C"
"a7a34c0","","","","","",""
"c17e360","C","","C","C","","C"
"01cf486","","","","","",""
"44167d5","","","","","",""
"d2b514b","","","","","",""
"e0d7dcb","","","","","",""
"a921a9b","","","","","",""
"4c7f106","","","","","",""
"6c3f0f6","","","","","",""
"a123713","C","","C","B","","B"
"25f4734","","","","","",""
"e6de912","C","","C","C","","C"
"bea3da5","","","","","",""
"03fd6a4","","","","","",""
"c9fe84a","","","","","",""
"5b603bb","","","","","",""
"64581b1","","","","","",""
"b3d1f62","","","","","",""
"64eef60","","","","","",""
"06600a3","","","","","",""
"89d63ed","B","","B","C","","C"
"4ac71cf","","","","","",""
"048c402","","","","","",""
"56dc5c6","","","","","",""
"05ed313","","","","","",""
"969fd46","","","","","",""
"11acd26","","","","","",""
"844ab34","","","","","",""
"0327530","C","","C","C","","C"
"088d8b4","","","","","",""
"a300755","C","","C","C","","C"
"f0a4194","C","","C","C","","C"
"6eb7840","","","","","",""
"07b298c","C","","C","A","","A"
"b164bf7","C","","C","C","","C"
"aa9ac00","B","C","C","C","","C"
"43b56f8","B","","B","B","","B"
"3b7f267","A","","A","A","","A"
"07e810f","","","","","",""
"1fdc0e6","","","","","",""
"528d0fe","C","","C","C","","C"
"8f8a090","","","","","",""
"76bbc0d","C","","C","B","","B"
"5eb33a0","","","","","",""
"4af2fee","","","","","",""
"ece9ce7","C","","C","C","","C"
"ea052b5","","","","","",""
"1b88f70","","","","","",""
"8c7b6a3","","","","","",""
"7779cac","","","","","",""
"8c74aa5","A","","A","A","","A"
"11593e6","","","","","",""
"7bb45d3","A","","A","A","","A"
"fcf59af","","","","","",""
"a2d2ca9","","","","","",""
"9d1768d","","","","","",""
"c98a1d1","","","","","",""
"dac5780","","","","","",""
"c504abb","","","","","",""
"6855e68","","","","","",""
"f2a5eb7","","","","","",""
"4f9d5d5","","","","","",""
"804c32f","C","","C","C","","C"
"b92ee81","","","","","",""
"905df17","","","","","",""
"c55c183","","","","","",""
"51bed37","","","","","",""
"8d5112a","","","","","",""
"c27d92c","","","","","",""
"ea6a84c","","","","","",""
"6172c09","","","","","",""
"49c80c9","","","","","",""
"ac6f3f6","C","","C","B","","B"
"ff125d4","C","","C","C","","C"
"a54cf83","","","","","",""
"eff7ebe","B","","B","C","","C"
"2457ed6","C","","C","B","","B"
"61d9d14","","","","","",""
"023b7ed","","","","","",""
"12638ee","","","","","",""
"813d55b","","","","","",""
"f1132e1","","","","","",""
"b456b75","","","","","",""
"2dffb9e","C","","C","C","","C"
"0d45844","","","","","",""
"938fe7a","","","","","",""
"bce1b27","","","","","",""
"60a02cd","","","","","",""
"9d97673","C","","C","C","","C"
"dd64cdc","","","","","",""
"15aab55","","","","","",""
"e513259","","","","","",""
"529d907","","","","","",""
"4c8a5bc","C","","C","B","","B"
