"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_final"
"516417f","B","C","C","B","","B"
"f52861b","","","","","",""
"73d4e20","","","","","",""
"2949a28","","","","","",""
"8ec15bc","B","","B","B","","B"
"ed6cf9a","","","","","",""
"90301e5","","","","","",""
"a69e6bb","","","","","",""
"41f2447","C","","C","B","","B"
"bbd07b6","","","","","",""
"42751d2","","","","","",""
"614fc3f","A","","A","A","","A"
"9f972fb","","","","","",""
"159fdad","","","","","",""
"4a60a56","","","","","",""
"02b634c","","","","","",""
"37674f9","","","","","",""
"5bf619a","B","","B","B","","B"
"ff10184","C","","C","B","","B"
"ee4b6cd","","","","","",""
"8ce483d","C","","C","B","","B"
"85ba0bb","","","","","",""
"07efbd5","","","","","",""
"f476f5b","","","","","",""
"8a1ecd0","","","","","",""
"2f80631","","","","","",""
"34d8485","A","","A","A","","A"
"2953e33","","","","","",""
"8d2da97","A","","A","A","","A"
"2afa0a3","","","","","",""
"0355f6d","C","","C","C","","C"
"43bae5c","","","","","",""
"bae1726","","","","","",""
"8e2b1f9","","","","","",""
"b06ee97","","","","","",""
"b92dee2","","","","","",""
"061aed4","","","","","",""
"537189f","","","","","",""
"cae6014","","","","","",""
"49db8c4","C","","C","B","","B"
"2ee7f92","C","","C","C","","C"
"ce57d54","","","","","",""
"b67425b","","","","","",""
"ba03ed9","","","","","",""
"e23561c","","","","","",""
"f5a2bd5","","","","","",""
"8f10453","","","","","",""
"d09321f","","","","","",""
"3894348","","","","","",""
"1fa4263","","","","","",""
"abc9ab4","","","","","",""
"877fb69","A","","A","C","","C"
"3226bb3","","","","","",""
"a9b4533","","","","","",""
"c4bba29","B","","B","A","","A"
"f2291ba","","","","","",""
"d925650","B","","B","B","","B"
"1a8e45b","C","","C","B","","B"
"48598f1","","","","","",""
"5f2a1aa","","","","","",""
"b7cec81","C","","C","B","","B"
"e2738b5","","","","","",""
"52ac937","","","","","",""
"3218556","","","","","",""
"3e625ac","","","","","",""
"70405ea","","","","","",""
"4a9b689","","","","","",""
"105aa8d","","","","","",""
"c02668d","","","","","",""
"fafded6","","","","","",""
"fbd29ce","","","","","",""
"b987d82","","","","","",""
"e65bef7","","","","","",""
"1ed3221","","","","","",""
"4b70ed3","A","","A","A","","A"
"56bae3a","","","","","",""
"49f21e0","","","","","",""
"e4cf342","","","","","",""
"92db041","","","","","",""
"dbe98d3","","","","","",""
"9e9a81e","","","","","",""
"90434eb","","","","","",""
"b11e6db","","","","","",""
"402df77","","","","","",""
"b1b2943","","","","","",""
"2feab0e","","","","","",""
"0f91d63","C","","C","C","","C"
"9ad2396","","","","","",""
"ae58bf1","B","","B","B","","B"
"ffa62f5","","","","","",""
"a289cae","","","","","",""
"2b5182a","","","","","",""
"6dcaf4a","","","","","",""
"0186834","","","","","",""
"233ee90","","","","","",""
"6e93efd","C","","C","A","","A"
"b901eca","","","","","",""
"c94e42e","C","","C","C","","C"
"e96f42c","","","","","",""
"7a35b75","B","","B","A","","A"
"cb521fc","","","","","",""
"0a19c7c","","","","","",""
"f42c435","","","","","",""
"f70e5cf","","","","","",""
"1db8420","","","","","",""
"01baaf6","","","","","",""
"c3db77a","","","","","",""
"41617bd","","","","","",""
"0fa3d65","","","","","",""
"1df700a","","","","","",""
"50a0fdd","B","","B","A","","A"
"c98ae69","","","","","",""
"af72486","B","","B","C","","C"
"0eb7fba","","","","","",""
"1288ac2","","","","","",""
