"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_final"
"42751d2","B","","B","B","","B"
"614fc3f","C","","C","C","","C"
"9f972fb","B","","B","B","","B"
"159fdad","C","","C","C","","C"
"4a60a56","C","","C","C","","C"
"02b634c","C","B","B","B","","B"
"37674f9","B","","B","B","","B"
"5bf619a","C","","C","C","","C"
"ff10184","B","","B","A","","A"
"ee4b6cd","C","","C","C","","C"
"8ce483d","C","","C","C","","C"
"85ba0bb","C","","C","A","","A"
"07efbd5","C","","C","B","","B"
"f476f5b","","","","","",""
"8a1ecd0","C","","C","C","","C"
"2f80631","","","","","",""
"34d8485","A","B","B","A","","A"
"2953e33","B","","B","A","","A"
"8d2da97","C","","C","A","","A"
"2afa0a3","A","","A","C","","C"
"0355f6d","C","","C","B","","B"
"43bae5c","C","","C","C","","C"
"bae1726","","","","","",""
"8e2b1f9","","","","","",""
"b06ee97","C","","C","B","","B"
"b92dee2","C","","C","C","","C"
"061aed4","","","","","",""
"537189f","C","","C","C","","C"
"cae6014","C","B","B","C","","C"
"49db8c4","B","","B","C","","C"
"2ee7f92","B","","B","B","","B"
"ce57d54","","","","","",""
"b67425b","B","","B","C","","C"
"ba03ed9","","","","","",""
"e23561c","C","","C","C","","C"
"f5a2bd5","","","","","",""
"8f10453","B","","B","A","","A"
"d09321f","B","","B","B","","B"
"3894348","B","","B","A","","A"
"1fa4263","C","","C","B","","B"
"abc9ab4","B","","B","A","","A"
"877fb69","B","","B","C","","C"
"3226bb3","B","","B","B","","B"
"a9b4533","C","","C","C","","C"
"c4bba29","A","","A","C","","C"
"f2291ba","B","","B","B","","B"
"d925650","C","","C","C","","C"
"1a8e45b","C","","C","C","","C"
"48598f1","","","","","",""
"5f2a1aa","C","","C","A","","A"
"b7cec81","C","","C","C","","C"
"e2738b5","B","","B","B","","B"
"52ac937","C","B","B","B","","B"
"3218556","C","","C","B","","B"
"3e625ac","C","","C","B","","B"
"70405ea","C","","C","C","","C"
"4a9b689","B","","B","C","","C"
"105aa8d","B","","B","B","","B"
"c02668d","C","","C","C","","C"
"fafded6","C","","C","C","","C"
"fbd29ce","B","","B","B","","B"
"b987d82","B","","B","A","","A"
"e65bef7","C","","C","B","","B"
"1ed3221","","","","","",""
"4b70ed3","C","","C","C","","C"
"56bae3a","B","","B","A","","A"
"49f21e0","C","","C","C","","C"
"e4cf342","C","","C","C","","C"
"92db041","C","","C","C","","C"
"dbe98d3","C","","C","C","","C"
"9e9a81e","C","","C","C","C","C"
"90434eb","C","","C","C","","C"
"b11e6db","C","","C","C","","C"
"402df77","C","","C","C","","C"
"b1b2943","","","","","",""
"2feab0e","B","","B","B","","B"
"0f91d63","C","","C","C","","C"
"9ad2396","B","","B","C","","C"
"ae58bf1","C","","C","C","","C"
"ffa62f5","C","","C","C","","C"
"a289cae","C","","C","B","","B"
"2b5182a","","","","","",""
"6dcaf4a","B","","B","C","","C"
"0186834","B","","B","C","","C"
"233ee90","B","","B","C","","C"
"6e93efd","C","","C","C","","C"
"b901eca","","","","","",""
"c94e42e","C","","C","C","","C"
"e96f42c","C","","C","C","","C"
"7a35b75","C","","C","C","","C"
"cb521fc","C","","C","C","","C"
"0a19c7c","","","","","",""
"f42c435","C","","C","A","","A"
"f70e5cf","","","","","",""
"1db8420","C","","C","C","","C"
"01baaf6","C","","C","B","","B"
"c3db77a","B","","B","C","","C"
"41617bd","B","","B","A","","A"
"0fa3d65","","","","","",""
"1df700a","C","","C","C","","C"
"50a0fdd","B","","B","B","","B"
"c98ae69","","","","","",""
"af72486","C","","C","C","","C"
"0eb7fba","C","","C","B","","B"
"1288ac2","C","","C","C","","C"
"802d704","C","","C","C","","C"
"97879de","C","","C","C","","C"
"6568ea1","C","","C","C","","C"
"2cd7961","","","","","",""
"ca96db9","","","","","",""
"c1a9909","B","","B","C","","C"
"acc6118","B","","B","C","","C"
"2f5762a","C","","C","C","","C"
"399b994","B","","B","C","","C"
"b16e558","C","","C","C","","C"
"4c072d3","B","","B","C","","C"
"1e88a68","C","","C","C","","C"
"62447b9","C","","C","C","","C"
"5455b1d","B","","B","B","","B"
"220d07a","B","","B","C","","C"
"8a2ad40","","","","","",""
"5c97513","C","","C","C","","C"
"bf71578","B","","B","C","","C"
"f799335","B","","B","A","","A"
"ef7d623","C","","C","B","","B"
"6412561","","","","","",""
"48ce715","","","","","",""
"4aabc57","","","","","",""
"daa0e98","C","","C","C","","C"
"f8a30f5","","","","","",""
"87007b4","B","","B","C","","C"
"5e09b84","C","","C","C","","C"
"48ba4ef","","","","","",""
"2541155","B","","B","A","","A"
"6289e6c","C","","C","C","","C"
"db046f2","C","","C","C","","C"
