"","genere","edat","pp","pp_v","pp_v_g","pp_bf","pp_bef","pp_bel","pp_bev","pp_bec","pp_bes","pp_bea","p_cuid","p_c","p_c_si","p_f","p_f_si","p_a","p_a_si","p_l","p_l_si","p_v","p_v_si","p_ac","p_ac_si","p_g1","p_g2","p_ass","p_prof","p_prof_si","country_alpha2","urban_rural","is_in_Catalonia","language"
"b7cec81","f","6","Sí","Sí","m","m","b","b","b","b","b","a","Sí","Sí","a","Sí","a","Sí","b","nvr","","nvr","","nvr","","a","m","Sí","nvr","","ES","urban",True,"ca"
"e2738b5","d","4","Sí","Sí","a","a","b","nsdmp","nsdmp","nsdmp","nsdmp","a","No","No","","No","","Sí","nvr","nvr","","nvr","","Sí","b","m","b","Sí","Sí","a","ES","urban",True,"ca"
"52ac937","f","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"3218556","f","3","No","","","","","","","","","","No","No","","Sí","b","Sí","b","No","","Sí","b","nvr","","b","b","No","No","","ES","urban",True,"ca"
"3e625ac","f","3","No","","","","","","","","","","No","No","","Sí","a","Sí","a","Sí","b","Sí","b","Sí","m","m","m","No","No","","ES","urban",True,"ca"
"70405ea","f","5","Sí","Sí","m","b","b","m","b","b","b","a","Sí","No","","Sí","m","No","","No","","No","","No","","m","m","No","No","","ES","urban",True,"ca"
"4a9b689","f","3","Sí","No","","nsdmp","m","nsdmp","nsdmp","nsdmp","m","m","No","Sí","m","Sí","m","No","","No","","No","","No","","m","m","No","No","","ES","urban",True,"ca"
"105aa8d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"c02668d","m","4","No","","","","","","","","","","No","No","","No","","Sí","a","No","","No","","No","","b","a","No","No","","ES","urban",True,"ca"
"fafded6","f","1","Sí","Sí","m","nsdmp","b","nsdmp","nsdmp","nsdmp","nsdmp","m","No","No","","No","","Sí","m","No","","No","","No","","m","m","No","Sí","psm","ES","urban",True,"ca"
"fbd29ce","f","4","Sí","No","","a","m","m","nsdmp","b","a","a","No","No","","No","","Sí","b","Sí","b","No","","No","","nvr","b","No","No","","US","",False,"en"
"b987d82","f","3","No","","","","","","","","","","No","No","","No","","Sí","m","Sí","m","nvr","","Sí","a","a","m","Sí","Sí","apaso","ES","urban",True,"ca"
"e65bef7","m","4","Sí","No","","m","a","a","m","a","m","m","Sí","Sí","m","Sí","m","No","","Sí","b","No","","No","","m","m","Sí","No","","ES","urban",True,"ca"
"1ed3221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"4b70ed3","m","3","No","","","","","","","","","","Sí","No","","Sí","m","Sí","m","No","","Sí","b","No","","m","m","No","No","","ES","urban",True,"es"
"56bae3a","m","4","Sí","Sí","a","m","a","nt","m","a","a","m","No","No","","No","","Sí","a","Sí","a","Sí","m","Sí","m","a","a","Sí","Sí","a","ES","urban",True,"es"
"49f21e0","m","5","No","","","","","","","","","","No","No","","No","","No","","Sí","b","Sí","b","No","","b","nvr","Sí","No","","ES","",False,"es"
"e4cf342","f","6","Sí","Sí","a","nvr","m","nt","nsdmp","nvr","nsdmp","a","No","Sí","a","Sí","m","nvr","","nvr","","nvr","","nvr","","b","b","No","No","","ES","urban",True,"ca"
"92db041","f","3","No","","","","","","","","","","No","No","","Sí","b","No","","No","","No","","Sí","b","b","b","Sí","Sí","psm","ES","urban",True,"es"
"dbe98d3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"9e9a81e","m","1","Sí","Sí","nsdmp","m","b","a","nsdmp","nsdmp","m","m","No","Sí","m","Sí","m","Sí","m","nvr","","nvr","","nvr","","m","m","Sí","No","","ES","",False,"es"
"90434eb","f","5","No","","","","","","","","","","No","No","","Sí","m","No","","No","","Sí","b","No","","m","m","No","Sí","a","ES","urban",True,"ca"
"b11e6db","m","4","No","","","","","","","","","","No","No","","No","","No","","Sí","b","No","","No","","b","","","","","ES","urban",True,"ca"
"402df77","f","5","Sí","Sí","a","a","a","a","a","a","a","a","No","No","","No","","Sí","a","Sí","a","Sí","a","Sí","a","a","a","Sí","Sí","apasa","ES","urban",True,"es"
"b1b2943","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"2feab0e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"0f91d63","f","4","No","","","","","","","","","","No","Sí","m","Sí","m","No","","Sí","b","nvr","","No","","m","m","No","Sí","a","ES","urban",True,"ca"
"9ad2396","f","3","Sí","Sí","m","m","b","nsdmp","nsdmp","nsdmp","b","m","No","No","","No","","No","","No","","No","","No","","b","","No","No","","ES","urban",True,"ca"
"ae58bf1","f","5","Sí","Sí","a","b","m","nvr","nsdmp","nvr","b","a","No","No","","No","","No","","nvr","","nvr","","nvr","","nvr","","No","No","","ES","urban",True,"ca"
"ffa62f5","f","1","Sí","Sí","nsdmp","a","b","nsdmp","nsdmp","nsdmp","b","a","No","Sí","m","No","","No","","No","","No","","No","","m","b","No","Sí","apasa","ES","",False,"es"
"a289cae","f","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"2b5182a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"6dcaf4a","f","4","Sí","Sí","a","b","m","nt","b","b","b","m","Sí","Sí","a","Sí","b","Sí","a","nvr","","No","","No","","a","a","Sí","No","","","urban",True,"ca"
"0186834","f","6","Sí","Sí","m","b","m","nt","nsdmp","b","b","m","No","No","","No","","No","","No","","nvr","","nvr","","b","","Sí","No","","ES","urban",True,"ca"
"233ee90","f","3","Sí","Sí","a","a","m","nsdmp","nsdmp","nsdmp","b","m","No","Sí","a","Sí","m","Sí","m","Sí","b","Sí","b","Sí","b","m","b","No","No","","ES","",False,"es"
"6e93efd","f","2","Sí","No","","b","a","nsdmp","m","m","b","a","Sí","No","","Sí","a","Sí","a","nvr","","Sí","b","Sí","m","a","b","No","Sí","a","ES","urban",True,"ca"
"b901eca","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"c94e42e","m","6","No","","","","","","","","","","No","No","","No","","No","","Sí","b","No","","No","","b","b","No","Sí","a","ES","urban",True,"ca"
"e96f42c","f","4","No","","","","","","","","","","No","No","","No","","No","","Sí","a","No","","No","","nvr","a","No","No","","","",False,"ca"
"7a35b75","f","5","No","","","","","","","","","","Sí","No","","Sí","m","Sí","m","Sí","b","No","","Sí","m","m","m","Sí","No","","ES","urban",True,"ca"
"cb521fc","m","6","Sí","Sí","a","a","a","nt","nsdmp","nsdmp","m","m","No","No","","No","","No","","nvr","","nvr","","nvr","","b","","No","No","","ES","urban",True,"ca"
"0a19c7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"f42c435","m","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","urban",True,"es"
"f70e5cf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"1db8420","f","4","Sí","Sí","b","b","a","m","m","nsdmp","nsdmp","m","No","No","","No","","No","","No","","No","","No","","a","","Sí","No","","ES","",False,"es"
