"","genere","edat","pp","pp_v","pp_v_g","pp_bf","pp_bef","pp_bel","pp_bev","pp_bec","pp_bes","pp_bea","p_cuid","p_c","p_c_si","p_f","p_f_si","p_a","p_a_si","p_l","p_l_si","p_v","p_v_si","p_ac","p_ac_si","p_g1","p_g2","p_ass","p_prof","p_prof_si","country_alpha2","urban_rural","is_in_Catalonia","language"
"43b56f8","m","3","Sí","No","","a","m","b","nsdmp","m","m","a","No","No","","Sí","m","No","","nvr","","nvr","","Sí","a","a","a","Sí","nvr","","ES","",False,"es"
"3b7f267","m","5","Sí","No","","m","m","nt","m","m","m","m","No","No","","No","","Sí","m","nvr","","Sí","m","Sí","m","m","m","Sí","nvr","","ES","urban",True,"es"
"07e810f","f","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","",False,"es"
"1fdc0e6","m","4","Sí","nvr","","b","nvr","nt","nvr","m","m","m","No","No","","Sí","b","Sí","m","nvr","","No","","Sí","m","m","m","Sí","No","","ES","",False,"ca"
"528d0fe","f","2","Sí","Sí","m","m","m","nsdmp","nsdmp","nsdmp","nsdmp","m","No","No","","Sí","m","Sí","m","Sí","b","nvr","","nvr","","nvr","m","No","No","","ES","urban",True,"es"
"8f8a090","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"76bbc0d","m","3","Sí","Sí","a","b","a","nt","m","a","m","a","No","No","","No","","Sí","a","No","","Sí","m","Sí","a","m","m","Sí","No","","ES","urban",True,"es"
"5eb33a0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"4af2fee","f","4","Sí","No","","b","a","b","nsdmp","a","m","a","Sí","No","","Sí","b","Sí","a","nvr","","nvr","","Sí","a","a","a","Sí","Sí","a","ES","",False,"es"
"ece9ce7","f","4","Sí","No","","nsdmp","m","nsdmp","nsdmp","nsdmp","nsdmp","a","No","No","","No","","Sí","b","No","","Sí","b","No","","b","m","No","Sí","a","DE","",False,"es"
"ea052b5","m","4","No","","","","","","","","","","No","No","","Sí","m","Sí","m","Sí","b","nvr","","Sí","m","m","m","No","Sí","psm","ES","urban",True,"ca"
"1b88f70","m","4","Sí","No","","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","m","No","No","","No","","Sí","m","Sí","m","No","","Sí","b","m","b","No","No","","ES","rural",True,"ca"
"8c7b6a3","f","4","Sí","Sí","a","b","m","nvr","b","m","m","m","Sí","Sí","a","Sí","b","Sí","a","nvr","","Sí","b","Sí","m","m","a","Sí","No","","ES","urban",True,"es"
"7779cac","m","2","Sí","Sí","b","m","b","b","b","nsdmp","b","a","Sí","Sí","a","Sí","a","Sí","a","No","","No","","No","","a","m","No","Sí","apasa","ES","urban",True,"es"
"8c74aa5","f","2","Sí","Sí","a","m","b","nt","m","a","m","a","No","No","","Sí","b","No","","No","","No","","Sí","a","a","a","Sí","No","","ES","rural",True,"ca"
"11593e6","m","4","No","","","","","","","","","","No","No","","Sí","a","Sí","m","Sí","b","Sí","b","Sí","b","m","nvr","No","No","","ES","urban",True,"ca"
"7bb45d3","m","4","No","","","","","","","","","","No","Sí","a","No","","Sí","m","Sí","b","No","","No","","a","a","Sí","Sí","psm","ES","",False,"ca"
"fcf59af","m","3","Sí","Sí","b","a","a","m","nsdmp","b","b","m","No","Sí","a","Sí","m","Sí","m","Sí","b","No","","No","","m","m","No","No","","ES","urban",True,"ca"
"a2d2ca9","f","5","Sí","Sí","m","m","a","nt","nsdmp","b","m","a","No","No","","Sí","b","Sí","m","nvr","","No","","No","","m","m","No","Sí","a","ES","urban",True,"ca"
"9d1768d","m","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CH","",False,"de"
"c98a1d1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"dac5780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"c504abb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"6855e68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"f2a5eb7","f","5","Sí","Sí","a","b","b","b","b","nsdmp","nsdmp","a","Sí","Sí","a","Sí","m","No","","No","","Sí","m","No","","b","m","Sí","Sí","apaso","ES","urban",True,"ca"
"4f9d5d5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"804c32f","f","4","Sí","Sí","a","a","b","nsdmp","nsdmp","nsdmp","nsdmp","a","No","No","","No","","No","","No","","Sí","b","No","","b","b","No","No","","ES","urban",True,"ca"
"b92ee81","m","5","Sí","Sí","a","m","a","b","b","a","m","m","No","No","","No","","Sí","m","Sí","a","Sí","m","No","","m","m","No","No","","ES","urban",True,"es"
"905df17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"c55c183","f","5","No","","","","","","","","","","No","No","","Sí","b","No","","Sí","b","Sí","b","No","","b","b","Sí","No","","PT","",False,"en"
"51bed37","f","3","No","","","","","","","","","","No","No","","Sí","m","No","","Sí","m","No","","No","","a","m","Sí","Sí","psm","ES","rural",True,"es"
"8d5112a","f","4","Sí","Sí","m","b","m","nsdmp","nsdmp","nsdmp","b","b","No","No","","No","","Sí","m","nvr","","nvr","","Sí","b","b","m","No","No","","ES","",False,"es"
"c27d92c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"ea6a84c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"6172c09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"49c80c9","f","nvr","Sí","Sí","a","b","a","m","nsdmp","m","a","m","No","Sí","m","Sí","b","Sí","m","nvr","","nvr","","Sí","m","m","a","Sí","No","","","",False,"en"
"ac6f3f6","m","4","No","","","","","","","","","","Sí","Sí","a","Sí","m","Sí","m","Sí","m","Sí","b","Sí","m","a","m","Sí","No","","ES","urban",True,"ca"
"ff125d4","m","4","Sí","Sí","a","b","b","a","b","b","m","m","No","No","","No","","No","","No","","No","","No","","b","","No","No","","ES","urban",True,"es"
"a54cf83","f","3","Sí","Sí","b","nsdmp","nsdmp","nt","nsdmp","nsdmp","nsdmp","a","Sí","Sí","a","Sí","b","Sí","b","No","","No","","No","","b","b","Sí","No","","US","",False,"en"
"eff7ebe","f","4","Sí","No","","b","a","nt","nsdmp","m","m","a","Sí","No","","Sí","m","Sí","a","nvr","","nvr","","Sí","m","a","a","nvr","nvr","","ES","",False,"es"
"2457ed6","f","6","Sí","No","","a","m","nt","nsdmp","nsdmp","nsdmp","a","No","No","","Sí","a","Sí","m","No","","nvr","","nvr","","b","m","No","No","","ES","urban",True,"ca"
"61d9d14","f","2","Sí","Sí","m","b","a","nvr","nsdmp","nsdmp","m","a","nvr","No","","Sí","nvr","Sí","a","nvr","","nvr","","nvr","","a","m","No","No","","ES","urban",True,"ca"
"023b7ed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"12638ee","f","2","Sí","Sí","a","a","a","m","nsdmp","nsdmp","m","a","No","Sí","m","Sí","a","Sí","a","Sí","m","No","","No","","m","m","Sí","No","","US","",False,"en"
"813d55b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"f1132e1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"b456b75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"2dffb9e","f","4","Sí","No","","b","m","nsdmp","nsdmp","nsdmp","nsdmp","a","No","No","","Sí","a","Sí","a","No","","No","","No","","a","a","Sí","Sí","apaso","ES","urban",True,"ca"
"0d45844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"938fe7a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"bce1b27","f","2","Sí","Sí","nsdmp","m","m","m","nsdmp","nsdmp","nsdmp","nsdmp","Sí","No","","No","","No","","Sí","a","No","","No","","a","a","Sí","Sí","psm","ES","urban",True,"es"
"60a02cd","f","1","Sí","Sí","a","nsdmp","m","a","m","b","b","a","No","No","","No","","No","","No","","No","","Sí","a","a","m","Sí","No","","ES","",False,"ca"
"9d97673","f","4","Sí","Sí","a","b","b","nsdmp","nsdmp","nvr","b","a","Sí","Sí","a","No","","No","","No","","Sí","nvr","nvr","","b","b","No","nvr","","ES","rural",True,"ca"
"dd64cdc","f","2","Sí","Sí","m","m","nsdmp","nsdmp","nsdmp","nsdmp","m","m","Sí","Sí","a","Sí","b","Sí","nvr","No","","No","","Sí","m","nvr","a","Sí","Sí","apasa","US","",False,"en"
"15aab55","m","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","urban",True,"es"
"e513259","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"529d907","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"4c8a5bc","m","4","Sí","Sí","a","b","a","nt","nsdmp","b","m","a","Sí","No","","Sí","m","Sí","a","No","","No","","No","","a","a","Sí","No","","ES","rural",True,"ca"
"ddd1219","f","5","Sí","No","","nsdmp","a","nsdmp","nvr","nvr","nsdmp","m","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"2a968a7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"80f558b","f","6","Sí","Sí","m","m","m","m","b","b","m","a","No","No","","No","","No","","Sí","b","nvr","","No","","m","b","Sí","No","","ES","urban",True,"ca"
"ad2fc5b","m","5","Sí","Sí","a","m","m","m","nsdmp","b","b","m","No","No","","Sí","m","No","","Sí","b","No","","No","","b","b","Sí","Sí","a","ES","urban",True,"ca"
"7a54533","f","3","Sí","Sí","a","m","m","b","nsdmp","m","m","a","Sí","Sí","a","No","","Sí","a","nvr","","nvr","","No","","a","a","Sí","No","","ES","urban",True,"ca"
"051761f","f","4","Sí","Sí","a","m","b","b","a","b","b","a","Sí","Sí","a","No","","No","","nvr","","nvr","","No","","a","m","No","Sí","a","ES","urban",True,"ca"
"3c0c7c1","m","4","Sí","Sí","a","a","m","b","nsdmp","nsdmp","b","a","Sí","Sí","a","Sí","b","No","","No","","No","","No","","m","nvr","No","Sí","a","ES","",False,"ca"
"22fdb61","f","3","Sí","Sí","a","a","m","nt","nsdmp","nvr","m","a","No","No","","No","","Sí","m","nvr","","nvr","","nvr","","m","m","No","No","","ES","urban",True,"ca"
"11e5d50","m","1","Sí","Sí","m","b","b","nt","nsdmp","nsdmp","b","m","No","Sí","m","No","","Sí","m","No","","nvr","","No","","m","m","No","No","","ES","urban",True,"ca"
"b53b559","f","5","Sí","Sí","m","b","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","m","Sí","Sí","m","Sí","m","No","","nvr","","nvr","","nvr","","m","nvr","Sí","Sí","a","ES","",False,"ca"
"d318264","f","5","Sí","Sí","m","b","b","nsdmp","nsdmp","nsdmp","nsdmp","m","No","No","","Sí","b","No","","No","","No","","No","","b","b","No","Sí","apasa","ES","urban",True,"ca"
"a5bc4f7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"d7c82ab","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"d6e6c31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"65b2a4c","f","2","Sí","Sí","nsdmp","nsdmp","nsdmp","nt","nsdmp","nsdmp","nsdmp","a","No","nvr","","Sí","m","nvr","","No","","nvr","","nvr","","a","b","No","No","","ES","urban",True,"ca"
"b2b24fe","f","2","Sí","Sí","a","m","m","m","nsdmp","nsdmp","m","m","No","Sí","a","Sí","m","Sí","m","Sí","m","nvr","","nvr","","m","m","Sí","No","","FR","",False,"ca"
"e581545","f","2","Sí","Sí","m","m","a","nt","nsdmp","b","b","a","No","No","","Sí","m","Sí","a","nvr","","nvr","","nvr","","m","m","No","nvr","","FI","",False,"ca"
"2dd02a9","f","1","Sí","Sí","b","nsdmp","m","nsdmp","nsdmp","m","b","b","No","No","","No","","Sí","a","Sí","b","No","","Sí","m","m","m","No","nvr","","ES","urban",True,"ca"
"f8deaaa","m","4","Sí","No","","a","b","b","b","a","m","m","No","No","","Sí","b","Sí","b","nvr","","nvr","","Sí","b","b","a","No","","","DE","",False,"de"
"644830a","f","2","No","","","","","","","","","","No","No","","No","","Sí","m","Sí","b","nvr","","Sí","m","m","m","No","Sí","apasa","ES","urban",True,"es"
"fa529ac","m","6","Sí","Sí","a","a","a","m","b","b","m","a","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"ced331f","f","3","Sí","Sí","a","a","a","m","nsdmp","b","b","m","No","No","","Sí","m","Sí","m","No","","No","","No","","nvr","a","No","Sí","apaso","DE","",False,"de"
"7636563","f","4","Sí","No","","nsdmp","b","m","nsdmp","nsdmp","b","a","Sí","No","","Sí","a","Sí","m","Sí","m","nvr","","nvr","","m","m","No","No","","ES","urban",True,"ca"
"bc8f353","f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"90ccafb","f","5","Sí","Sí","m","m","a","b","m","b","m","a","Sí","Sí","a","Sí","m","No","","No","","Sí","b","No","","m","m","No","No","","ES","rural",True,"ca"
"e9e1409","m","1","Sí","Sí","a","b","b","b","nsdmp","nsdmp","b","b","No","No","","No","","No","","No","","No","","Sí","b","b","b","No","No","","ES","rural",True,"ca"
"0fa3c49","f","4","Sí","No","","a","m","nt","nsdmp","nsdmp","b","a","No","No","","Sí","m","Sí","a","Sí","a","nvr","","Sí","m","a","a","No","Sí","a","ES","urban",True,"ca"
"5732911","m","3","Sí","Sí","a","nvr","b","b","nsdmp","","","","","","","","","","","","","","","","","","","","","","ES","rural",True,"ca"
"eacd6a3","f","4","Sí","Sí","m","b","b","nsdmp","nsdmp","nsdmp","b","b","No","No","","No","","Sí","a","nvr","","nvr","","nvr","","b","nvr","No","No","","ES","",False,"es"
"618406d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"en"
"870795f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"87e4f18","m","5","Sí","Sí","b","b","nsdmp","m","nsdmp","nsdmp","b","m","No","Sí","m","Sí","a","nvr","","Sí","m","nvr","","nvr","","m","a","No","No","","ES","urban",True,"ca"
"b568148","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"de"
"890df05","m","1","No","","","","","","","","","","No","Sí","b","No","","No","","No","","No","","No","","b","b","No","No","","ES","urban",True,"ca"
"80701a1","m","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"c899adb","f","5","Sí","Sí","a","nvr","a","a","a","a","a","a","No","No","","Sí","a","Sí","m","No","","Sí","m","No","","a","a","Sí","No","","ES","rural",True,"ca"
"b2621a2","m","4","Sí","Sí","a","m","m","b","b","b","b","a","No","No","","No","","No","","No","","No","","No","","a","","No","No","","ES","",False,"es"
"fbea372","f","1","No","","","","","","","","","","Sí","Sí","m","Sí","m","Sí","m","No","","No","","No","","m","m","No","Sí","psm","ES","urban",True,"es"
"68c3192","f","3","Sí","No","","b","b","a","nsdmp","nsdmp","b","m","No","No","","No","","Sí","a","No","","No","","nvr","","a","b","No","No","","ES","",False,"es"
"0570fc1","f","3","Sí","Sí","b","b","nsdmp","nsdmp","nsdmp","nsdmp","b","a","Sí","No","","Sí","m","Sí","b","No","","No","","No","","m","m","Sí","Sí","a","ES","urban",True,"ca"
"0145af8","m","2","nvr","","","","","","","","","","No","No","","Sí","a","","","","","","","","","","","","","","ES","urban",True,"ca"
"1117a63","m","5","Sí","Sí","b","b","b","m","nsdmp","b","b","m","Sí","Sí","a","Sí","a","Sí","b","No","","No","","No","","m","b","No","No","","ES","urban",True,"ca"
"5d6ad7f","f","2","Sí","Sí","a","m","m","a","nsdmp","b","a","a","No","No","","No","","Sí","m","Sí","a","No","","No","","m","b","Sí","No","","US","",False,"en"
"7d9c3_1","f","4","No","","","","","","","","","","No","No","","Sí","m","Sí","a","nvr","","nvr","","nvr","","m","m","No","Sí","a","ES","urban",True,"es"
"aa68b7a","m","6","Sí","Sí","a","b","m","nt","nsdmp","m","a","m","No","Sí","a","Sí","b","Sí","a","No","","Sí","b","No","","m","m","Sí","No","","US","",False,"en"
"db101d1","f","4","Sí","No","","a","a","b","nsdmp","m","a","m","No","No","","nvr","","Sí","b","nvr","","nvr","","Sí","m","m","m","No","No","","ES","urban",True,"ca"
"0b7193d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"73c3f48","f","5","Sí","Sí","a","nsdmp","a","nsdmp","nsdmp","nsdmp","m","a","No","No","","Sí","m","Sí","m","No","","nvr","","nvr","","m","m","Sí","No","","ES","urban",True,"ca"
"2da3cc8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"6bf6d44","m","4","Sí","No","","a","a","b","a","m","nsdmp","m","No","Sí","m","No","","No","","","","","","","","","","","","","DE","",False,"de"
"003406f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"fc2538d","m","2","No","","","","","","","","","","No","No","","Sí","b","Sí","m","Sí","m","nvr","","Sí","b","m","m","Sí","Sí","psm","ES","urban",True,"ca"
"b457044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"07ff49d","f","3","No","","","","","","","","","","No","No","","Sí","b","No","","Sí","m","Sí","m","No","","b","b","Sí","No","","ES","urban",True,"ca"
"9417b2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"6e412a8","f","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"0d651b0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"en"
"db9112b","f","2","Sí","No","","nsdmp","a","m","nsdmp","m","m","m","No","No","","Sí","b","Sí","a","Sí","m","Sí","m","nvr","","m","m","Sí","Sí","psm","ES","rural",True,"ca"
"472d42a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"en"
"ac3a94c","f","3","No","","","","","","","","","","Sí","No","","Sí","a","Sí","m","No","","Sí","b","No","","a","a","No","No","","ES","urban",True,"ca"
"5d9ae0c","d","2","Sí","No","","b","a","b","b","nsdmp","m","a","Sí","No","","Sí","m","Sí","a","nvr","","nvr","","nvr","","m","a","No","No","","ES","rural",True,"ca"
"14d2bac","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"89f120b","f","3","Sí","Sí","a","a","m","nt","b","m","b","a","No","No","","No","","Sí","a","nvr","","Sí","b","Sí","a","a","a","Sí","No","","ES","urban",True,"es"
"fd01af9","f","5","Sí","Sí","a","a","m","m","nsdmp","m","m","a","No","No","","Sí","m","No","","Sí","m","nvr","","No","","m","nvr","Sí","Sí","psm","ES","urban",True,"ca"
"355c1ed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"f3ac65f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"3114f94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"cd54d57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"1f68249","f","2","Sí","Sí","m","nsdmp","a","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","No","No","","Sí","m","Sí","m","nvr","","nvr","","Sí","m","m","a","","","","ES","urban",True,"ca"
"7c9678a","m","5","Sí","No","","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","No","No","","Sí","b","No","","No","","Sí","b","No","","b","b","No","No","","ES","rural",True,"es"
"facfe1c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"e51496b","f","1","Sí","Sí","nsdmp","nsdmp","nsdmp","nt","nsdmp","nsdmp","nsdmp","nsdmp","No","No","","No","","No","","No","","nvr","","nvr","","m","","No","Sí","apaso","ES","",False,"ca"
"6bf803f","m","1","Sí","Sí","m","nsdmp","a","nt","nsdmp","nvr","m","a","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"6c8906b","f","4","Sí","Sí","a","a","a","nsdmp","nsdmp","b","a","a","No","No","","Sí","a","Sí","m","Sí","b","Sí","m","Sí","b","a","a","Sí","Sí","apasa","ES","urban",True,"ca"
"af1ec0b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"db0051d","f","5","No","","","","","","","","","","Sí","Sí","a","No","","Sí","m","No","","Sí","b","No","","m","m","Sí","No","","ES","urban",True,"es"
"4569a12","f","3","Sí","No","","b","m","nsdmp","nsdmp","nsdmp","nsdmp","m","No","No","","Sí","b","No","","No","","nvr","","Sí","b","b","b","No","No","","ES","",False,"es"
"c810da6","nvr","1","Sí","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","",False,"es"
"18b736b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"87e086c","m","5","No","","","","","","","","","","Sí","No","","Sí","a","No","","No","","Sí","b","No","","b","a","No","No","","ES","urban",True,"ca"
"7c7ee1e","f","2","nvr","","","","","","","","","","No","No","","Sí","a","No","","nvr","","Sí","b","No","","b","nvr","No","No","","AR","",False,"es"
"cc02471","f","3","Sí","Sí","m","m","b","b","nsdmp","nsdmp","b","a","No","No","","Sí","a","No","","No","","No","","No","","a","a","Sí","Sí","psm","ES","rural",True,"ca"
"e3ae59a","f","3","Sí","Sí","a","a","a","b","a","b","m","a","No","No","","No","","Sí","a","No","","No","","Sí","m","a","m","No","nvr","","ES","urban",True,"ca"
"b90cecc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"35adcf1","f","5","Sí","Sí","a","a","a","a","b","m","m","a","Sí","Sí","a","Sí","m","Sí","m","nvr","","nvr","","Sí","b","b","nvr","No","No","","ES","urban",True,"ca"
"bf983ba","f","2","Sí","Sí","nsdmp","b","b","nsdmp","nsdmp","nsdmp","nsdmp","a","No","No","","Sí","nvr","Sí","a","Sí","nvr","nvr","","Sí","m","a","a","No","No","","ES","rural",True,"ca"
"672a06a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"fc4adfc","f","3","Sí","Sí","a","m","m","m","b","nsdmp","nsdmp","a","No","No","","Sí","m","Sí","b","No","","nvr","","No","","a","m","No","Sí","psm","ES","urban",True,"ca"
"78603ec","m","2","Sí","Sí","a","m","a","m","m","b","a","m","No","Sí","a","Sí","a","Sí","a","nvr","","Sí","m","nvr","","a","a","No","No","","ES","",False,"es"
"6245828","f","3","Sí","Sí","b","b","b","nt","nsdmp","nsdmp","b","m","No","Sí","m","No","","Sí","a","nvr","","nvr","","nvr","","b","b","No","No","","ES","urban",True,"es"
"c845818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"3b65cc8","m","1","Sí","Sí","nvr","nsdmp","nsdmp","nt","nsdmp","nsdmp","b","m","Sí","No","","Sí","nvr","No","","No","","No","","No","","nvr","b","No","No","","US","",False,"en"
"b0a2535","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"a412254","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"1c202a8","f","4","Sí","No","","b","m","nsdmp","nsdmp","nsdmp","b","b","No","No","","No","","Sí","m","nvr","","nvr","","nvr","","b","b","No","No","","ES","urban",True,"es"
"ad2af75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"d8ecf99","m","6","Sí","Sí","m","m","b","nsdmp","nsdmp","b","b","m","Sí","Sí","a","No","","Sí","a","No","","nvr","","Sí","a","a","a","Sí","Sí","apasa","","",False,"es"
"c28b1a9","d","2","Sí","Sí","m","m","a","nt","nsdmp","m","m","m","No","No","","No","","No","","No","","nvr","","Sí","b","b","b","No","No","","ES","",False,"es"
"b05306f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"de"
"826fbf5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"817282d","f","2","Sí","No","","a","m","b","nsdmp","b","b","m","No","No","","Sí","m","Sí","m","Sí","m","Sí","b","No","","b","m","No","No","","AR","",False,"es"
"45b5efa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"d0c20cf","f","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IT","",False,"en"
"addf295","f","5","Sí","No","","m","nvr","m","m","m","m","a","Sí","No","","Sí","a","Sí","m","Sí","m","Sí","b","nvr","","a","m","Sí","Sí","psm","ES","",False,"ca"
"e5bb5fe","f","2","Sí","Sí","a","m","a","nsdmp","nsdmp","b","m","a","No","Sí","b","Sí","b","Sí","m","Sí","b","Sí","b","Sí","m","m","m","No","No","","","",False,"de"
"a3ff1ab","m","5","Sí","Sí","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","b","No","Sí","b","No","","No","","No","","No","","Sí","b","b","b","No","No","","CA","",False,"es"
"79868cd","m","3","Sí","nvr","","nsdmp","a","nsdmp","nsdmp","nsdmp","b","m","No","nvr","","nvr","","Sí","m","No","","No","","Sí","b","b","nvr","nvr","No","","ES","",False,"es"
"9bcb545","f","3","Sí","Sí","a","a","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","m","No","No","","No","","Sí","m","No","","nvr","","Sí","b","m","m","","","","ES","urban",True,"ca"
"912afde","f","5","No","","","","","","","","","","No","No","","Sí","m","Sí","a","Sí","a","nvr","","Sí","m","a","a","Sí","Sí","psm","ES","rural",True,"ca"
"7b5fed8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"d85b5c4","f","4","Sí","Sí","a","a","m","m","nsdmp","b","m","a","No","No","","Sí","a","Sí","m","Sí","m","Sí","b","Sí","b","m","m","Sí","Sí","apaso","ES","urban",True,"ca"
"1ac925b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"20f3e2e","f","3","Sí","Sí","a","a","a","nt","nsdmp","nsdmp","a","a","No","Sí","m","No","","Sí","a","nvr","","nvr","","Sí","m","m","a","Sí","nvr","","ES","urban",True,"ca"
"c16eb71","f","4","Sí","Sí","a","b","b","b","b","nsdmp","b","a","Sí","Sí","a","No","","Sí","a","nvr","","nvr","","Sí","a","a","m","Sí","No","","ES","",False,"es"
"a83d90e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"b7a265d","f","5","Sí","Sí","a","m","a","nt","a","nsdmp","m","a","No","No","","No","","Sí","a","No","","No","","Sí","a","a","a","Sí","No","","ES","urban",True,"ca"
"50efa5d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"1116780","f","4","Sí","Sí","a","a","m","b","b","b","b","a","No","No","","Sí","a","Sí","m","Sí","m","Sí","b","Sí","b","m","m","Sí","No","","ES","rural",True,"ca"
"7018506","f","5","No","","","","","","","","","","No","No","","No","","No","","Sí","b","nvr","","No","","b","nvr","No","No","","ES","urban",True,"ca"
"dea26ad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"1f77294","f","4","Sí","Sí","a","m","m","m","b","b","b","a","Sí","Sí","a","No","","No","","No","","No","","No","","a","a","Sí","No","","ES","urban",True,"es"
"aa3e305","m","4","Sí","Sí","a","m","m","nsdmp","nsdmp","nsdmp","nsdmp","b","No","No","","nvr","","No","","No","","Sí","b","nvr","","b","m","No","Sí","a","ES","urban",True,"ca"
"498b325","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"c4e8c1a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
