"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","7_otro_1","2_1"
"c4bba29",-29.48826265335083,"unknown",-23.084088563919067,-15.89750599861145,0.0,7.203650951385498,9.409076929092407,17.601030826568604,36.36473488807678,41.9087290763855,44.800180196762085,51.460291385650635,"unknown","unknown",57.0403037071228,58.395263671875,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.950337648391724,"","unknown",70.42895722389221,72.5097222328186,79.46896553039551,"unknown","unknown",86.32410764694214,87.66823291778564,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",93.39208555221558,"unknown","unknown",99.05622363090515,"",""
"2dffb9e",-106.30185985565186,"unknown",-99.1057677268982,-92.06027555465698,0.0,7.168072938919067,482.0924611091614,490.28894782066345,513.2575731277466,518.8696174621582,535.0505068302155,541.5897190570831,"unknown","unknown",547.3350694179535,587.4076766967773,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",594.1043002605438,"","unknown",600.9270317554474,609.7210283279419,616.6087136268616,"unknown","unknown",622.6573793888092,625.5276186466217,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",631.7843742370605,"unknown","unknown",638.4575729370117,"",""
"7a35b75",-86324.96624875069,"unknown",-86319.34773921967,-86313.49943733215,0.0,6.905512094497681,10.349824666976929,18.1149640083313,36.23037815093994,42.200539350509644,44.90371584892273,52.13154053688049,"unknown","unknown",58.030972957611084,60.226062536239624,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.39579439163208,"","unknown",73.16693568229675,76.07556509971619,82.22561883926392,"unknown","unknown",88.65879106521606,91.57491254806519,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.25527167320251,"unknown","unknown",104.5013222694397,"",""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471",-371755.84755825996,"unknown",-371749.8771600723,-371743.43612384796,0.0,7.259164094924927,8.890169858932495,16.76738476753235,30.64488434791565,37.67800569534302,50.14015007019043,"unknown","unknown",56.872188329696655,63.15034580230713,64.93494486808777,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",72.01939940452576,"","unknown",77.52982926368713,85.00672912597656,"unknown",90.99544715881348,"unknown",96.28317332267761,97.56169414520264,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",104.22887182235718,"unknown","unknown",110.94159603118896,"",-263542.604547739
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63",-8556.66489982605,"unknown",-8550.62457036972,-8543.629200220108,0.0,6.503537893295288,13.975180864334106,21.65627646446228,43.261351585388184,50.09038853645325,56.54515814781189,"unknown",62.43294358253479,"unknown",69.23851084709167,70.67466187477112,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.33150959014893,"","unknown",82.05860567092896,87.54726839065552,"unknown",92.94965267181396,"unknown",99.73609900474548,103.51753449440002,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",109.60204005241394,"unknown","unknown",115.32263779640198,"",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"870dc60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-1174.9602704048157,"unknown",-1164.6379899978638,-1153.7390882968903,0.0,8.325557708740234,10.82550048828125,20.371262311935425,26.88370370864868,33.341336488723755,35.06528615951538,42.18750858306885,"unknown","unknown",48.63606333732605,50.59279131889343,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.56966710090637,"","unknown",64.33644890785217,66.80536603927612,73.8531105518341,"unknown","unknown",81.47919249534607,83.52079582214355,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",92.35599994659424,"unknown","unknown",99.60881614685059,"",""
"0e42357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-607935.573767662,"unknown",-607929.8777990341,-607923.5457730293,0.0,6.877515554428101,9.816059589385986,17.358639240264893,33.12672448158264,40.14272999763489,48.48133373260498,"unknown",55.07601714134216,"unknown",61.0780394077301,63.59345054626465,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.53879976272583,"","unknown",77.00782322883606,81.69754481315613,87.90340733528137,"unknown","unknown",94.2681519985199,98.61860704421997,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",105.69406414031982,"unknown","unknown",112.35106205940247,"",""
"8ec15bc",-521.3173270225525,"unknown",-515.7516541481018,-509.48465514183044,0.0,5.612240791320801,12.87727403640747,21.003453969955444,34.28077292442322,41.4559965133667,44.812262773513794,"unknown",51.428526639938354,"unknown",57.02430725097656,59.26969528198242,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.26524353027344,"","unknown",72.2286229133606,88.68117928504944,95.95688700675964,"unknown","unknown",102.57403922080994,105.26047658920288,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",111.58179593086243,"unknown","unknown",118.43482327461243,"",""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e51496b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01baaf6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e8a0b7a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6c3f0f6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1f77294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6f1360e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1e17723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-183677.30048823357,"unknown",-183670.92035889626,-183663.66285681725,0.0,6.942922115325928,10.000746250152588,18.360411405563354,33.276981592178345,39.25384259223938,42.72515344619751,48.512940406799316,"unknown","unknown",54.16406297683716,61.09639930725098,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.23301887512207,"","unknown",72.09593176841736,79.4096360206604,86.37086534500122,"unknown","unknown",93.21571731567383,96.5349395275116,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",102.20481944084167,"unknown","unknown",107.84816002845764,"",""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b06ee97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"758fff8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69",-5925.146692991257,"unknown",-5918.6842176914215,-5911.785110235214,0.0,6.382685899734497,8.365866422653198,16.055976152420044,25.571941614151,32.60504364967346,35.67033290863037,"unknown","unknown",41.052205324172974,47.46539068222046,49.03317832946777,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",55.19137954711914,"","unknown",61.804277420043945,68.17651176452637,75.2442193031311,"unknown","unknown",80.889643907547,82.15094089508057,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.9324803352356,"unknown","unknown",94.87772274017334,"",""
"7bb45d3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1f16f74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e",-548.9807953834534,"unknown",-541.8698606491089,-534.9827032089233,0.0,6.300364017486572,10.484745025634766,18.68245816230774,34.313725233078,39.556907415390015,43.067675828933716,49.74302935600281,"unknown","unknown",56.623944997787476,58.63715672492981,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.24581408500671,"","unknown",72.18358492851257,78.17505264282227,83.91573190689087,"unknown","unknown",90.79025912284851,131.2252721786499,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",142.2721552848816,"unknown","unknown",148.50626397132874,"",""
"07ff49d",-41.43152379989624,"unknown",-34.39682483673096,-29.028284072875977,0.0,5.496165752410889,7.616334915161133,14.571963548660278,26.84217071533203,32.6910285949707,34.91957879066467,"unknown","unknown",40.709025859832764,47.92544674873352,52.59796166419983,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",58.36854815483093,"","unknown",64.66298079490662,68.24194192886353,"unknown",74.4349136352539,"unknown",80.54174256324768,87.15009427070618,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",92.79400563240051,"unknown","unknown",98.30985927581787,"",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73c3f48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3218556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852",-13040.692912340164,"unknown",-13034.752017259598,-13028.366804361343,0.0,5.61044716835022,10.697314739227295,19.410534858703613,32.1140022277832,38.83522391319275,43.993488073349,"unknown","unknown",49.4822313785553,55.19357132911682,57.1267249584198,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.401227951049805,"","unknown",70.57748627662659,75.2290985584259,80.74903702735901,"unknown","unknown",86.51192808151245,88.20821237564087,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",93.61945486068726,"unknown","unknown",99.83001327514648,"",""
"ad2fc5b",-650.9552381038666,"unknown",-645.5474410057068,-638.3563647270203,0.0,6.692520380020142,1201320.6916775703,1201328.660850525,1201347.2495543957,1201354.2129597664,1201358.3788523674,"unknown",1201364.4943768978,"unknown",1201369.9904150963,1201372.5420098305,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1201379.7370274067,"","unknown",1201386.7519612312,1201396.480296135,1201402.5564696789,"unknown","unknown",1201409.0904643536,1201411.3620176315,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1201417.0023825169,"unknown","unknown",1201422.2082619667,"",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32",-376.92531728744507,"unknown",-306.73894357681274,-239.1188793182373,0.0,6.9003705978393555,17.563997983932495,25.78383207321167,47.662601947784424,53.59024167060852,57.84437274932861,"unknown",64.64831709861755,"unknown",70.20551085472107,72.05051755905151,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.25252938270569,"","unknown",85.45370268821716,95.55523896217346,101.63473725318909,"unknown","unknown",107.90355825424194,121.30402302742004,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",127.19896054267883,"unknown","unknown",134.32482147216797,"",""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-10483.43732714653,"unknown",-10478.075015306473,-10472.015307188034,0.0,6.613998889923096,9.6916823387146,17.369673013687134,29.83014988899231,35.645180463790894,37.787075996398926,"unknown",44.58718466758728,"unknown",50.13225078582764,58.29457950592041,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.40413212776184,"","unknown",72.46599459648132,78.24602723121643,"unknown",83.78676724433899,"unknown",90.62550783157349,94.0201907157898,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.45726871490479,"unknown","unknown",106.22401928901672,"",""
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-465.4652237892151,"unknown",-458.71226143836975,-453.4305942058563,0.0,6.201074600219727,10.812424182891846,18.56575059890747,40.44729447364807,46.18438673019409,50.85685682296753,57.43819332122803,"unknown","unknown",63.858795166015625,66.14591360092163,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",71.3128674030304,"","unknown",76.56744742393494,85.66485643386841,"unknown","unknown",92.8960771560669,98.36093091964722,101.74229621887207,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",107.16521835327148,"unknown","unknown",114.16554164886475,"",""
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb",-461380.17606163025,"unknown",-461374.17358899117,-461368.19915795326,0.0,7.1770853996276855,11.138843297958374,18.217914819717407,31.611380100250244,38.31897497177124,52.137271881103516,"unknown","unknown",59.09181261062622,64.56187868118286,65.95038104057312,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",72.95871949195862,"","unknown",78.6953489780426,82.39720892906189,89.36374497413635,"unknown","unknown",95.1415708065033,96.78298807144165,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",102.5977053642273,"unknown","unknown",109.26494336128235,"",""
"2ee7f92",-322.732540845871,"unknown",-316.16421723365784,-310.14511823654175,0.0,5.940492868423462,43.78246879577637,51.92521047592163,78.20196890830994,84.56189799308777,88.6137466430664,"unknown","unknown",95.83307123184204,102.23625588417053,113.78481245040894,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",119.12912654876709,"","unknown",126.1404116153717,131.85419034957886,138.27002453804016,"unknown","unknown",145.46499609947205,147.86096811294556,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",155.1670389175415,"unknown","unknown",162.31664037704468,"",""
"89d63ed",-15873.997882843018,"unknown",-15867.91900753975,-15861.220717430115,0.0,7.961250066757202,10.662519216537476,19.236085891723633,24.137112140655518,30.983876705169678,35.315550565719604,"unknown",41.37099289894104,"unknown",47.32311749458313,49.017892837524414,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",54.51970028877258,"","unknown",60.70416808128357,63.42114996910095,69.37263679504395,"unknown","unknown",75.90315890312195,77.43125796318054,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",84.03495597839355,"unknown","unknown",89.98554515838623,"",""
"c0a644e",-13.37476110458374,"unknown",-6.992724180221558,-1.203188180923462,0.0,5.388671398162842,8.011531352996826,14.68513822555542,27.828553438186646,34.774619340896606,36.472288608551025,"unknown","unknown",43.13087058067322,49.873157262802124,53.40723371505737,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",60.12901282310486,"","unknown",65.54902768135071,68.91844820976257,74.7242157459259,"unknown","unknown",80.96596646308899,184.41584992408752,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",190.97020888328552,"unknown","unknown",198.15017747879028,"",""
"80f558b",-562643.1911063194,"unknown",-562636.5944828987,-562629.9056401253,0.0,6.612205743789673,12.494401693344116,20.445024728775024,35.197924852371216,41.967196226119995,53.36106848716736,"unknown",60.656317472457886,"unknown",66.41371989250183,68.91808986663818,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.38086748123169,"","unknown",79.99756526947021,89.79863095283508,"unknown","unknown",96.75189781188965,103.53892683982849,105.7566831111908,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",112.55311036109924,"unknown","unknown",119.18661570549011,"",""
"9ad2396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87e4f18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0186834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0355f6d",-123242.53894209862,"unknown",-123235.52265119553,-123229.61577653885,0.0,6.762529611587524,12.189897060394287,20.01694631576538,40.72748279571533,46.89085364341736,48.94502878189087,"unknown",54.285178661346436,"unknown",61.08169484138489,62.77153515815735,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.47830939292908,"","unknown",75.60868263244629,80.47519016265869,87.21559834480286,"unknown","unknown",94.02129864692688,96.62290287017822,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",102.8597993850708,"unknown","unknown",108.19497179985046,"",""
"fa6a8b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44167d5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145d339",-4138.091320037842,"unknown",-4131.735009431839,-4125.964519500732,0.0,6.522371768951416,9.109007596969604,17.411970615386963,38.66058850288391,45.131860971450806,49.14542245864868,"unknown","unknown",55.69184994697571,61.6327064037323,64.90718674659729,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",71.02598738670349,"","unknown",77.88485980033875,96.87307691574097,"unknown","unknown",103.14573884010315,109.7282509803772,112.19876384735107,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",117.63630604743958,"unknown","unknown",123.15145349502563,"",""
"e96f42c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f382ec0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"962a7dd",-27.67603087425232,"unknown",-20.51011085510254,-13.750666618347168,0.0,6.126408338546753,10.82189130783081,18.17208170890808,56.20256423950195,62.211960554122925,76.71550273895264,"unknown",83.69897866249084,"unknown",90.7542130947113,95.37659335136414,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.86996722221375,"","unknown",107.66121506690979,119.70141887664795,"unknown",126.62084031105042,"unknown",132.60834789276123,135.8375370502472,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",143.0244016647339,"unknown","unknown",149.5546839237213,"",""
"5c97513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"acc6118",-23953.123760700226,"unknown",-23947.607764720917,-23940.437653064728,0.0,7.515766143798828,11.027434825897217,19.36080241203308,56.404823541641235,61.73507261276245,68.42398262023926,"unknown",74.86163544654846,"unknown",81.77238750457764,84.0332567691803,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.59007930755615,"","unknown",95.79546403884888,99.2300488948822,105.80975437164307,"unknown","unknown",111.61699151992798,113.12780237197876,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",119.35837531089783,"unknown","unknown",125.20687961578369,"",""
"d33371d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78603ec","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d45bd1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfcbc2d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98ecb86",-1332.8864986896515,"unknown",-1326.5309853553772,-1319.769029378891,0.0,6.983163595199585,11.197780847549438,19.38839054107666,35.555941581726074,41.357982873916626,46.686192989349365,"unknown","unknown",53.76764631271362,59.96328163146973,63.384143590927124,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.93722081184387,"","unknown",76.06654334068298,81.64093232154846,87.54303741455078,"unknown","unknown",93.40790820121765,98.36152386665344,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",104.24066495895386,"unknown","unknown",110.79053568840027,"",""
"7636563",-17564.648469686508,"unknown",-17559.309032201767,-17552.874205589294,0.0,6.534873723983765,42.925758838653564,49.82055592536926,72.16262984275818,78.63794374465942,88.25392150878906,"unknown","unknown",94.6280300617218,99.87804889678955,101.75041031837463,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",107.26743268966675,"","unknown",113.33978605270386,115.33594393730164,"unknown",121.08127212524414,"unknown",126.40356230735779,127.86665058135986,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",133.7889633178711,"unknown","unknown",139.21661758422852,"",""
"5d2b358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d9ae0c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73d4e20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"be94a32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9f972fb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6e93efd",-12679.10864496231,"unknown",-12672.32220697403,-12665.30000591278,0.0,6.897056818008423,28.842071056365967,36.67084836959839,40.11638927459717,46.073795318603516,48.60817241668701,"unknown","unknown",55.329386949539185,61.36671423912048,64.52899694442749,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.73053550720215,"","unknown",76.55367183685303,1131.092610836029,1136.9234776496887,"unknown","unknown",1143.9169685840607,1157.141542673111,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1164.1067004203796,"unknown","unknown",1169.7789964675903,"",""
"5a4afae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c34e373","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60a02cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6bac72b",-2016.9418432712555,"unknown",-2010.3576056957245,-1974.7574138641357,0.0,6.673751592636108,9.387135744094849,16.387757539749146,30.69312858581543,36.02981781959534,38.62821102142334,"unknown","unknown",45.889413833618164,52.95835089683533,55.23475456237793,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",61.85714340209961,"","unknown",67.64418911933899,70.28859043121338,"unknown",76.63312292098999,"unknown",82.08459877967834,84.57152390480042,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",90.3797173500061,"unknown","unknown",96.86464381217957,"",""
"c9285e4",-4727.688097238541,"unknown",-4721.1906089782715,-4714.485394716263,0.0,5.618624925613403,27.525618076324463,34.32238173484802,51.026379346847534,57.73643350601196,59.44899368286133,"unknown","unknown",66.17220425605774,72.56937146186829,74.14830756187439,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",79.85751056671143,"","unknown",86.75628066062927,92.27395677566528,"unknown","unknown",97.94315099716187,103.97297620773315,108.27507400512695,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",114.43399715423584,"unknown","unknown",120.74671339988708,"",""
"bd4b2f4",-31812.016840696335,"unknown",-31805.913952350616,-31798.845271110535,0.0,7.151340007781982,9.14026665687561,16.38651752471924,38.560142040252686,44.60033464431763,46.26120924949646,"unknown",53.10046124458313,"unknown",58.66872572898865,60.714107036590576,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.92807292938232,"","unknown",72.87613916397095,74.3124041557312,79.70693254470825,"unknown","unknown",85.34742712974548,86.64722180366516,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",92.72755908966064,"unknown","unknown",98.79039525985718,"",""
"bd650e8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b81bc6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32b1d7b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
