"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"49db8c4",-3600.2679929733276,"unknown",-3593.315621137619,-3586.2553429603577,0.0,5.897155046463013,7.649718284606934,14.504528522491455,25.775065422058105,32.22717356681824,42.12675404548645,"unknown","unknown",48.63326358795166,55.32323479652405,57.605339765548706,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.650668144226074,"unknown",70.21422743797302,76.17672300338745,"unknown",81.95100712776184,"unknown",87.6394112110138,90.06659364700317,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",97.15201902389526,"unknown","unknown",103.66124629974365
"ea8c0d6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-94851.60100269318,"unknown",-94844.07057094574,-94838.5646469593,0.0,6.516116142272949,17.007375478744507,24.75922465324402,50.66169571876526,56.16532015800476,62.52061605453491,"unknown",67.8944661617279,"unknown",74.83821320533752,76.9653570652008,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",84.05446720123291,"unknown",91.4546046257019,102.67361259460449,109.96264123916626,"unknown","unknown",115.62711763381958,117.43905591964722,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",122.99568176269531,"unknown","unknown",130.37681913375854
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-618.2017447948456,"unknown",-612.6139967441559,-605.7989599704742,0.0,6.160341739654541,9.955134153366089,17.707225799560547,29.52373170852661,36.08326721191406,43.47832226753235,"unknown",49.10259747505188,"unknown",55.7969069480896,58.67850089073181,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",65.69944262504578,"unknown",71.10382676124573,106.32681226730347,"unknown","unknown",112.49896669387817,119.31442475318909,125.7785894870758,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",131.74386954307556,"unknown","unknown",138.14041709899902
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-43571.65921878815,"unknown",-43565.61818027496,-43558.589391708374,0.0,6.84134578704834,9.088317155838013,17.511475563049316,28.263453722000122,33.556259632110596,37.285388708114624,"unknown","unknown",43.768359899520874,49.37177491188049,51.32622027397156,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",58.49871325492859,"unknown",64.15911960601807,66.38327288627625,"unknown","unknown",72.67518925666809,78.16166996955872,79.87558627128601,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",86.77376770973206,"unknown","unknown",92.46681237220764
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-9211.854241371155,"unknown",-9206.447703361511,-9200.373537063599,0.0,6.939630031585693,13.29939317703247,21.421080827713013,242.4430000782013,249.5739142894745,252.37329983711243,"unknown","unknown",257.8123393058777,263.40305757522583,266.4391086101532,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",273.6263425350189,"unknown",279.03860545158386,286.77893018722534,"unknown",293.2655448913574,"unknown",298.83363485336304,303.09175086021423,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",309.6832284927368,"unknown","unknown",315.0799422264099
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-877.7490177154541,"unknown",-871.2158041000366,-865.9960827827454,0.0,6.1160569190979,9.527769088745117,17.71183490753174,30.005897045135498,35.91807436943054,37.98059916496277,43.698322772979736,"unknown","unknown",49.60671949386597,51.94639611244202,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",58.314406871795654,"unknown",64.3290376663208,66.48243880271912,73.56763935089111,"unknown","unknown",79.6400740146637,81.34801077842712,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",87.95753955841064,"unknown","unknown",94.67860341072083
"2dffb9e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a35b75",-3713.065967798233,"unknown",-3706.944083929062,-3700.9154539108276,0.0,6.3715434074401855,10.668081521987915,17.894481897354126,27.773250341415405,33.149091720581055,35.55636119842529,"unknown","unknown",41.63787245750427,48.611008644104004,50.86910939216614,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",56.459222078323364,"unknown",63.64471769332886,69.66094374656677,"unknown",76.97511267662048,"unknown",83.75304627418518,85.60374331474304,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",91.57101798057556,"unknown","unknown",96.84707951545715
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"870dc60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
