"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","7_otro_1"
"4e53c5c",-162274.2596988678,"unknown",-162268.11287665367,-162261.85843086243,0.0,5.361733913421631,11.076982736587524,16.616387367248535,51.56957983970642,57.97360372543335,72.96497201919556,"unknown",79.8998064994812,"unknown",86.50913143157959,88.44237494468689,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",94.91282796859741,"","unknown",100.91722583770752,107.44325923919678,113.47184348106384,"unknown","unknown",119.32184863090515,121.54288172721863,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",128.04236698150635,"unknown","unknown",135.18677639961243,"",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-954.962235212326,"unknown",-949.4767408370972,-943.2791604995728,0.0,6.063491582870483,28.3924241065979,34.55390644073486,60.499096632003784,65.9640576839447,79.59538650512695,"unknown","unknown",86.50608134269714,93.30125331878662,140.46986317634583,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",147.37917232513428,"","unknown",154.08190894126892,187.09752988815308,"unknown","unknown",193.33101797103882,200.1180715560913,202.9817612171173,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",209.7136390209198,"unknown","unknown",216.51939463615417,"",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-4072.710590839386,"unknown",-4066.698216199875,-4060.086156129837,0.0,6.436361074447632,9.248605251312256,15.261440992355347,26.975212335586548,32.36935615539551,39.38254237174988,"unknown","unknown",44.98660349845886,50.92243313789368,53.02324604988098,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",59.17716956138611,"","unknown",64.58677935600281,76.05491137504578,"unknown",81.75149273872375,"unknown",88.11501884460449,90.30197405815125,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.0789041519165,"unknown","unknown",102.70287609100342,"",""
"ea8c0d6",-35730.63910126686,"unknown",-35723.44178938866,-35717.16951370239,0.0,7.19028639793396,9.382657527923584,14.89050817489624,22.055362462997437,27.45010781288147,93.85384964942932,"unknown","unknown",99.59654641151428,106.39312982559204,109.25695848464966,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",115.98595476150513,"","unknown",121.48086428642273,129.40360617637634,134.799560546875,"unknown","unknown",141.36938095092773,149.75019526481628,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",155.2917127609253,"unknown","unknown",162.08576798439026,"",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-348.89818143844604,"unknown",-342.87632155418396,-336.2615599632263,0.0,5.876628398895264,9.20630669593811,16.2241051197052,49.07512092590332,54.807780742645264,160.65505170822144,"unknown",167.23825597763062,"unknown",174.0658357143402,182.59657287597656,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",189.32211136817932,"","unknown",195.17179465293884,2407962.7462923527,"unknown","unknown",2407968.1888320446,2407973.6495981216,2409958.48536849,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2409963.8850827217,"unknown","unknown",2409969.728693962,"",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d",-109.14558172225952,"unknown",-102.20606350898743,-95.55032587051392,0.0,6.056920528411865,8.30204963684082,15.458611249923706,17.391191005706787,23.60075831413269,27.714048624038696,33.044973373413086,"unknown","unknown",39.96466112136841,44.947922229766846,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",51.645742416381836,"","unknown",57.79537487030029,60.2589430809021,65.54222774505615,"unknown","unknown",72.62366247177124,74.44755268096924,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.87175154685974,"unknown","unknown",87.15670394897461,"",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",7.84929347038269,"unknown",22.049615383148193,"unknown",41.783844232559204,"unknown","unknown","unknown","unknown",56.10688066482544,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",74.89871335029602,"unknown","unknown","unknown","unknown",90.02086806297302,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"56ee475",-3339.503580093384,"unknown",-3333.5586261749268,-3327.124804496765,0.0,6.588363885879517,110.55538702011108,116.16537404060364,2822.189254283905,2827.81836438179,2909.889890909195,"unknown","unknown",2915.866961479187,2921.332592725754,2924.2221064567566,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2930.8635725975037,"","unknown",2936.7149045467377,2942.0974221229553,"unknown","unknown",2948.137551546097,2954.3345425128937,2956.612611055374,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2963.040183544159,"unknown","unknown",2969.475244283676,"",""
"916c172",-543260.7432849407,"unknown",-461.1926107406616,-277.58806848526,0.0,27.12380599975586,1072.8894090652466,1080.707435131073,1107.4162125587463,1113.1399009227753,1473.9889023303986,"unknown",1481.2963843345642,"unknown",1488.2588489055634,1542.9664039611816,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1548.517156124115,"","unknown",1554.6718051433563,1570.0776884555817,"unknown",1577.1599102020264,"unknown",1584.3145582675934,1586.0418004989624,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1591.8124976158142,"unknown","unknown",1598.3155388832092,"",""
"d9696dd",-6726.69474697113,"unknown",-6721.009182214737,-6714.904948949814,0.0,6.6045849323272705,41.63773822784424,48.51482939720154,73.73632097244263,79.37273788452148,91.85533714294434,"unknown","unknown",97.50769639015198,104.41628456115723,17713.722499132156,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",17719.669538974762,"","unknown",17726.36631989479,40852.74549794197,"unknown",40858.63396811485,"unknown",40865.69636583328,40878.54517555237,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",40884.3998670578,"unknown","unknown",40890.184875011444,"",""
"eff7ebe",-8701.312282323837,"unknown",-8695.920105934143,-8688.914519309998,0.0,6.76279878616333,11.3322012424469,18.15991973876953,29.494043350219727,36.79885005950928,44.224448680877686,50.05065727233887,"unknown","unknown",56.8309280872345,58.28436613082886,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.12341737747192,"","unknown",71.1503677368164,75.45725226402283,"unknown",81.7675769329071,"unknown",88.45438122749329,91.77104091644287,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",97.36180233955383,"unknown","unknown",103.19841837882996,"",""
"5d4fcbe",-16887.733901500702,"unknown",-16881.422608852386,-16875.027987480164,0.0,6.347393035888672,7.969963312149048,14.389521598815918,21.981160879135132,28.090837478637695,53.46276903152466,"unknown","unknown",60.640719413757324,67.03260374069214,73.87487196922302,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.47009778022766,"","unknown",87.02886915206909,429.9598112106323,435.87848806381226,"unknown","unknown",442.3162589073181,448.316189289093,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",453.908367395401,"unknown","unknown",460.3342127799988,"",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533",-73.01486372947693,"unknown",-66.24432706832886,-60.1320013999939,0.0,5.533336639404297,13.103166103363037,18.952659368515015,31.95619487762451,37.67766189575195,41.143587827682495,"unknown",46.51354694366455,"unknown",53.10734701156616,55.03713369369507,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",60.550801277160645,"","unknown",66.49785876274109,70.37391257286072,"unknown",75.92402720451355,"unknown",81.80794382095337,84.65592050552368,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",90.56935214996338,"unknown","unknown",95.90543723106384,"",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530",-53957.89683532715,"unknown",-53951.83019423485,-53944.61107087135,0.0,6.096754312515259,9.320404529571533,15.438442707061768,31.899747610092163,38.4954936504364,47.603535890579224,"unknown","unknown",54.36210632324219,60.641730546951294,62.34803771972656,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.49083065986633,"","unknown",75.06429123878479,78.6325011253357,"unknown","unknown",85.11693215370178,92.15278315544128,94.77343535423279,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.33579325675964,"unknown","unknown",106.58241391181946,"",""
"47dcadc",-15481.246146202087,"unknown",-15474.460925579071,-15467.864911079407,0.0,6.13977837562561,15.697202205657959,22.30012536048889,45.12827658653259,51.405495166778564,74.99967384338379,"unknown",81.8270890712738,"unknown",88.04895114898682,102.23806023597717,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",108.09208869934082,"","unknown",114.29918432235718,162.35849595069885,"unknown",168.97723603248596,"unknown",175.6251494884491,178.55253791809082,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",184.15012383460999,"unknown","unknown",190.6606421470642,"",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
