"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","5_otro_1"
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"870dc60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-17.14422869682312,"unknown",-11.074691534042358,-4.025352239608765,0.0,6.561567783355713,8.325778245925903,14.222925424575806,26.876036882400513,32.900158643722534,36.53611898422241,"unknown","unknown",42.06845951080322,48.63559603691101,57.86828136444092,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.52308249473572,"","unknown",70.29453492164612,74.34967732429504,80.8832368850708,"unknown","unknown",87.36138844490051,380.8795385360718,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",388.30070090293884,"unknown","unknown",396.155109167099,"",""
"0e42357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-14216.914078712463,"unknown",-14209.801669836044,-14203.285123109818,0.0,6.786855220794678,11.8567955493927,18.24560809135437,36.684887409210205,43.97247314453125,49.15625357627869,"unknown",55.04020094871521,"unknown",60.93173289299011,61.955825328826904,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.02787375450134,"","unknown",75.60327124595642,86.38183736801147,"unknown",92.90539240837097,"unknown",99.54997038841248,101.54366636276245,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",108.03188133239746,"unknown","unknown",115.16133689880371,"",""
"8ec15bc",-18.699690580368042,"unknown",-13.391826391220093,-8.142596960067749,0.0,6.9117748737335205,8.377103805541992,14.456401824951172,34.305755376815796,40.47131657600403,43.458184480667114,"unknown","unknown",49.24692630767822,55.887720584869385,58.0872859954834,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.78259491920471,"","unknown",69.2383542060852,77.62368106842041,"unknown","unknown",83.84164118766785,89.42831897735596,94.14228177070618,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",101.21331763267517,"unknown","unknown",108.0584065914154,"",""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e51496b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01baaf6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e8a0b7a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6c3f0f6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1f77294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6f1360e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1e17723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-17728.35623526573,"unknown",-17721.45501756668,-17714.838404417038,0.0,6.644435167312622,8.637775897979736,15.616174936294556,29.960419178009033,36.62470889091492,48.66822576522827,55.09059429168701,"unknown","unknown",60.79166126251221,63.33726167678833,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.86130046844482,"","unknown",77.18022799491882,79.98407125473022,85.64074563980103,"unknown","unknown",92.03315663337708,64521.23233008385,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",64527.4296875,"unknown","unknown",64534.050708055496,"",""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b06ee97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"758fff8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69",-2935.184535741806,"unknown",-2927.836944580078,-2922.0369362831116,0.0,5.82462477684021,2579896.439807892,2579902.646243334,2579916.140814543,2579921.6465423107,2579924.2213041782,"unknown","unknown",2579930.336668253,2579935.6617405415,2579937.822947979,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2579943.394925356,"","unknown",2579949.4228401184,2579954.4188308716,"unknown","unknown",2579959.9305927753,2579965.7263154984,2579967.7082822323,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",2579974.4543864727,"unknown","unknown",2579980.687176466,"",""
"7bb45d3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1f16f74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e",-6586.114142179489,"unknown",-6580.333072423935,-6573.335834741592,0.0,6.210679292678833,8.424842119216919,14.775912046432495,27.602538347244263,33.09841704368591,50.09697771072388,"unknown",55.911991357803345,"unknown",62.331586599349976,63.66878938674927,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.26810312271118,"","unknown",75.23432731628418,78.0406289100647,"unknown",84.13114953041077,"unknown",91.28539538383484,93.17590928077698,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",99.79420804977417,"unknown","unknown",106.95402073860168,"",""
"07ff49d",-13.655507802963257,"unknown",-8.394531488418579,-1.3609824180603027,0.0,7.160405874252319,8.292922973632812,15.358816862106323,22.848857879638672,28.277711391448975,33.30466651916504,"unknown","unknown",38.97388243675232,45.099563121795654,46.46264672279358,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",53.073811054229736,"","unknown",58.377074003219604,61.73767685890198,"unknown","unknown",68.47956442832947,75.47943234443665,78.14041996002197,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",84.10525369644165,"unknown","unknown",90.93989443778992,"",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73c3f48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3218556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852",-1232917.595971346,"unknown",-1232910.3505437374,-1232903.8311293125,0.0,7.140636920928955,18.128767728805542,23.710254669189453,48.67639660835266,54.81625461578369,72.06677675247192,"unknown",78.43679618835449,"unknown",84.48170208930969,88.18203496932983,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",94.91698241233826,"","unknown",100.9193754196167,115.46307897567749,121.68641877174377,"unknown","unknown",128.43361353874207,191.45898246765137,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",197.1466989517212,"unknown","unknown",203.48858618736267,"",""
"ad2fc5b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32",-2496353.279902458,"unknown",-2496347.4613204002,-2496342.273676634,0.0,15.549858331680298,23.882920503616333,42.35626149177551,56.94352865219116,71.27513027191162,86.15733981132507,"unknown",93.37369203567505,"unknown",107.8686933517456,115.1249372959137,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",124.60932183265686,"","unknown",138.9368438720703,153.42748975753784,"unknown","unknown",161.83253955841064,177.19978189468384,191.62126111984253,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",200.97015380859375,"unknown","unknown",210.25248622894287,-15.263503789901733,""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-17137.19313645363,"unknown",-17130.728677988052,-17123.931039094925,0.0,6.231638193130493,9.036954641342163,16.231728553771973,33.15647840499878,39.513099908828735,41.6701877117157,"unknown","unknown",48.59493041038513,54.674968242645264,56.886159896850586,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.64053797721863,"","unknown",68.13603687286377,103.75160527229309,"unknown","unknown",110.46749520301819,116.85097765922546,119.35267281532288,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",124.75616192817688,"unknown","unknown",130.61442112922668,"",""
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-3294.001024723053,"unknown",-3288.1247017383575,-3282.4296538829803,0.0,7.0871741771698,24.056551456451416,29.537792682647705,50.583813190460205,57.248905658721924,61.73927593231201,"unknown",68.92108941078186,"unknown",75.90405535697937,78.351078748703,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",84.67864990234375,"","unknown",90.30033826828003,114.75854635238647,"unknown",121.06983232498169,"unknown",126.42651343345642,128.98810958862305,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",135.3643717765808,"unknown","unknown",141.78784346580505,"",""
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb",-345603.1084358692,"unknown",-345597.5950205326,-345590.5903339386,0.0,5.572675466537476,8.159481048583984,13.686695098876953,29.846641540527344,36.599162578582764,52.513978719711304,"unknown","unknown",59.394113540649414,66.72987985610962,69.82327961921692,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.19464230537415,"","unknown",81.32671189308167,87.70176339149475,"unknown",93.7297089099884,"unknown",99.24241137504578,100.92013168334961,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",107.99000811576843,"unknown","unknown",113.43090271949768,"",""
"2ee7f92",-470.97433733940125,"unknown",-465.5470724105835,-459.0589213371277,0.0,6.227254629135132,10.343076229095459,16.74412727355957,21.162325620651245,26.529688596725464,47.27852392196655,"unknown","unknown",53.75849485397339,59.813960552215576,68.18572926521301,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.60654735565186,"","unknown",80.14780378341675,83.33788204193115,"unknown",89.69395470619202,"unknown",95.68500709533691,111.34693145751953,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",118.57818818092346,"unknown","unknown",123.966055393219,"",""
"89d63ed",-2029.6972410678864,"unknown",-2024.0586502552032,-2018.3708295822144,0.0,7.239170551300049,9.755358934402466,15.657697200775146,26.084171056747437,31.855332851409912,36.12142515182495,"unknown",42.643080711364746,"unknown",49.813743591308594,51.528656244277954,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",58.18737816810608,"","unknown",63.64372897148132,66.18743181228638,73.35377669334412,"unknown","unknown",79.90585470199585,81.703453540802,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",88.87190437316895,"unknown","unknown",96.1815013885498,"",""
"c0a644e",-218314.48988604546,"unknown",-218308.66468906403,-218302.4596774578,0.0,6.617015838623047,9.5806405544281,15.624913930892944,51.803762674331665,59.00144696235657,69.35567045211792,"unknown",76.88315105438232,"unknown",82.47930788993835,183.46192574501038,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",188.8310842514038,"","unknown",195.49025416374207,197.81544828414917,203.47762298583984,"unknown","unknown",208.86601161956787,210.4129490852356,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",217.28785252571106,"unknown","unknown",222.85947513580322,"",""
"80f558b",-1124790.562743187,"unknown",-1124784.8823149204,-1124778.2774453163,0.0,6.636729955673218,11.098920106887817,16.46522092819214,31.823808193206787,38.93916654586792,43.874324560165405,"unknown",50.576669454574585,"unknown",55.994269371032715,58.26400852203369,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.30708956718445,"","unknown",70.64105224609375,79.02734160423279,"unknown","unknown",84.97149586677551,90.35979557037354,92.97274518013,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",99.06770157814026,"unknown","unknown",106.04880023002625,"",""
"9ad2396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87e4f18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0186834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0355f6d",-84451.6069586277,"unknown",-84444.55270791054,-84437.65788960457,0.0,5.882396936416626,11.940093994140625,19.134429931640625,43.35798764228821,50.548784494400024,54.78527307510376,"unknown",60.73628067970276,"unknown",66.76463413238525,70.05217719078064,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.84825706481934,"","unknown",82.83354139328003,90.72870206832886,97.55242490768433,"unknown","unknown",104.0448899269104,107.87204766273499,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",113.57071447372437,"unknown","unknown",120.66404557228088,"",""
"fa6a8b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44167d5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145d339",-4552.570633172989,"unknown",-4546.376902580261,-4540.815830230713,0.0,5.594234943389893,32.079097270965576,40.17262625694275,66.78256821632385,73.83078408241272,84.51079964637756,"unknown","unknown",90.21922278404236,96.12264204025269,105.71221399307251,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",112.23127031326294,"","unknown",118.42843532562256,130.7389621734619,"unknown","unknown",137.67202043533325,144.33916401863098,171.69214916229248,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",179.05197668075562,"unknown","unknown",184.9229428768158,"",""
"e96f42c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f382ec0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"962a7dd",-1539.0979521274567,"unknown",-1533.0469553470612,-1526.9846954345703,0.0,5.705396413803101,13.84294605255127,19.90927505493164,66.1756579875946,71.6784553527832,287.87704491615295,293.49973583221436,"unknown","unknown",300.0069136619568,302.6135137081146,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",309.8487024307251,"","unknown",315.2428786754608,346.36544275283813,353.502788066864,"unknown","unknown",360.4654743671417,362.7984387874603,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",369.6282432079315,"unknown","unknown",376.6281371116638,"",""
"5c97513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"acc6118",-202295.51942062378,"unknown",-202288.37655448914,-202282.00969099998,0.0,5.559740781784058,9.4242525100708,16.772330284118652,33.12691950798035,39.6277060508728,49.022852182388306,"unknown","unknown",54.44264531135559,59.87619662284851,62.15842795372009,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.62140727043152,"","unknown",75.83517742156982,86.7226152420044,"unknown",92.63240242004395,"unknown",98.46917605400085,99.9255473613739,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",106.26351594924927,"unknown","unknown",112.93220591545105,"",""
"d33371d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78603ec","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d45bd1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfcbc2d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98ecb86",-320201.06702136993,"unknown",-320194.96301317215,-320188.35550522804,0.0,6.279637813568115,8.995856285095215,16.207264184951782,42.31496453285217,48.91161489486694,57.961989879608154,"unknown",63.908029317855835,"unknown",69.99427509307861,72.73846125602722,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.53669476509094,"","unknown",85.42278385162354,94.7019898891449,100.99547719955444,"unknown","unknown",108.17814207077026,109.95770716667175,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",116.77479243278503,"unknown","unknown",123.33282828330994,"",""
"7636563",-23.33235454559326,"unknown",-17.68266797065735,-11.437656879425049,0.0,6.870670795440674,9.53868293762207,15.76536226272583,30.605574131011963,37.8296959400177,59.2808632850647,"unknown","unknown",65.7691695690155,72.95258164405823,75.00201177597046,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",81.00473713874817,"","unknown",86.56626987457275,91.40461611747742,"unknown","unknown",96.83177876472473,102.32373428344727,104.53293442726135,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",110.07691884040833,"unknown","unknown",117.07951331138611,"",""
"5d2b358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d9ae0c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73d4e20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"be94a32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9f972fb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6e93efd",-1503.7710123062134,"unknown",-1498.524743795395,-1493.116747379303,0.0,6.8342320919036865,21.911142349243164,29.02166247367859,31.566479921340942,37.23850655555725,46.441450357437134,51.778648138046265,"unknown","unknown",58.72608184814453,67.38553524017334,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",72.66583371162415,"","unknown",78.58489489555359,83.92592310905457,"unknown","unknown",90.3223123550415,95.72576689720154,97.04021883010864,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",103.52164554595947,"unknown","unknown",110.38315176963806,"",""
"5a4afae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c34e373","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60a02cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6bac72b",-41182.934331178665,"unknown",-41176.60072827339,-41169.80396080017,0.0,6.0639121532440186,8.0994291305542,13.568587064743042,27.989588260650635,34.129239082336426,40.489877462387085,"unknown","unknown",46.6960289478302,52.764488697052,54.68142342567444,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",60.589667320251465,"","unknown",65.88074135780334,70.59783673286438,"unknown","unknown",76.90748643875122,82.52164936065674,84.59734058380127,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",91.34105730056763,"unknown","unknown",97.36212849617004,"",""
"c9285e4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd4b2f4",-2717.701273202896,"unknown",-2711.6058044433594,-2705.5828166007996,0.0,5.979227066040039,9.147353172302246,16.34893536567688,42.20126795768738,48.14812612533569,50.41805458068848,57.415494441986084,"unknown","unknown",62.76665925979614,68.49323177337646,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.07365107536316,"","unknown",81.53109502792358,83.26600742340088,90.2649335861206,"unknown","unknown",97.06151962280273,98.7897675037384,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",104.11160612106323,"unknown","unknown",111.2061927318573,"",""
"bd650e8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b81bc6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32b1d7b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0ff20c2",-80404.8349404335,"unknown",-80398.69379734993,-80391.65010643005,0.0,6.653308629989624,10.75015664100647,17.377138137817383,34.32009029388428,41.49064111709595,45.877710819244385,"unknown",52.925429344177246,"unknown",59.66853427886963,61.309797525405884,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.0305061340332,"","unknown",74.23371076583862,77.72003245353699,"unknown",83.18302392959595,"unknown",88.96172022819519,92.50633001327515,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",98.9073121547699,"unknown","unknown",104.90562582015991,"",""
"19b0291","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b0e3caa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"297d8e5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45f7f6c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1df700a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3a396c",-34185.74717116356,"unknown",-34180.00717949867,-34172.88748431206,0.0,7.330392837524414,16.620306491851807,23.427900791168213,32.2875714302063,39.27205014228821,40.69709277153015,"unknown","unknown",46.749314069747925,52.17233943939209,53.77632713317871,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",59.42948627471924,"","unknown",66.15161943435669,68.3428840637207,"unknown","unknown",75.25408720970154,81.84797263145447,83.06307888031006,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",88.6520323753357,"unknown","unknown",95.43948769569397,"",""
"79b129c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dd6da1c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d85b5c4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43b56f8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ecbabb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c9c92b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f9b9236",-10166.898525238037,"unknown",-10159.929126739502,-10153.665472507477,0.0,5.977294206619263,8.364258527755737,15.146648168563843,51.59773278236389,58.25751090049744,62.43582534790039,68.72354435920715,"unknown","unknown",75.45637559890747,77.68459558486938,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",84.2783875465393,"","unknown",89.93917489051819,105.05191135406494,111.7789216041565,"unknown","unknown",117.19125604629517,120.70637536048889,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",127.47824168205261,"unknown","unknown",133.0202465057373,"",""
"4a0236d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7a265d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"912afde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c97639e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"af72486",-729936.3074514866,"unknown",-729930.3713231087,-729924.9784004688,0.0,6.892107963562012,10.770694732666016,16.09882140159607,33.49485731124878,39.04795169830322,44.89656639099121,"unknown",51.686299562454224,"unknown",57.27702975273132,63.10732674598694,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.70751929283142,"","unknown",75.11805486679077,79.31241369247437,85.27281951904297,"unknown","unknown",91.77767300605774,93.46135830879211,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",100.55798983573914,"unknown","unknown",106.54680681228638,"",""
"e2517d9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fc4adfc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1e88a68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9d97673","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7baeff7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"aa07d95",-4061.1784842014313,"unknown",-4054.5172934532166,-4048.3675742149353,0.0,7.100025415420532,9.763892650604248,15.24418568611145,33.523454904556274,40.11386847496033,46.1707489490509,"unknown",51.679344177246094,"unknown",58.222208738327026,59.951072216033936,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.76824688911438,"","unknown",73.6151602268219,76.9894700050354,83.27156472206116,"unknown","unknown",88.54422402381897,90.79972743988037,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",96.40889549255371,"unknown","unknown",103.55276703834534,"",""
"d27b032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ffa62f5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38c4951","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
