"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-8597.280159711838,"unknown",-8591.052480220795,-8583.882830619812,0.0,7.1707305908203125,24.330793380737305,30.943888425827026,54.419962644577026,61.31689453125,66.0222475528717,"unknown","unknown",71.32348942756653,77.20049047470093,79.37200403213501,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",85.61486172676086,"","unknown",91.96234941482544,103.68716168403625,110.3139898777008,"unknown","unknown",115.70144271850586,117.57965540885925,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",122.88193845748901,"unknown","unknown",128.37881565093994,""
"ea8c0d6",-289824.19817852974,"unknown",-289818.1558420658,-289811.4288403988,0.0,6.273467540740967,11.911553144454956,18.314663410186768,43.62827134132385,49.14065456390381,65.47802138328552,"unknown","unknown",70.8317859172821,77.75500917434692,80.33589959144592,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",86.80866146087646,"","unknown",92.84444499015808,99.16041302680969,104.58958268165588,"unknown","unknown",110.33150935173035,113.6834044456482,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",120.17393612861633,"unknown","unknown",126.62685346603394,""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-59003.167825460434,"unknown",-58997.746767520905,-58992.00077748299,0.0,6.922811269760132,83.1388771533966,91.10289359092712,122.36205840110779,128.97829937934875,155.1537344455719,164.13779830932617,"unknown","unknown",170.91189122200012,230.3088037967682,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",237.12069845199585,"","unknown",242.55942797660828,252.44824409484863,258.26967573165894,"unknown","unknown",264.7759175300598,267.09708309173584,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",274.78342485427856,"unknown","unknown",280.7326729297638,""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
