"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","4_1"
"518e9b8",-42795.47934007645,-42789.73109817505,-42782.76226878166,-42776.954404354095,0.0,7.022533178329468,8.545392751693726,14.194298267364502,17.006898641586304,22.399429321289062,47.15749263763428,"unknown",54.38631629943848,"unknown",61.19425964355469,63.77459645271301,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.23746490478516,"unknown",76.35629415512085,79.38994789123535,"unknown",86.01114773750305,"unknown",92.28671717643738,94.62992310523987,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",101.40021276473999,"unknown","unknown",107.09466648101807,""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-9197.574244976044,-9190.414459228516,-9183.990191698074,-9178.279175519943,0.0,6.710963726043701,9.493180513381958,16.07200002670288,30.646738529205322,36.784825563430786,41.59986877441406,"unknown",47.96939301490784,"unknown",54.335965394973755,55.66535544395447,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",62.14912033081055,"unknown",68.6521487236023,71.58578300476074,"unknown",77.42022132873535,"unknown",83.12853240966797,89.51829814910889,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",95.46052551269531,"unknown","unknown",101.69052290916443,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-13590.344627857208,-13583.221187114716,-13576.236385822296,-13569.088822126389,0.0,6.125326633453369,15.39359164237976,22.416910886764526,39.59173345565796,45.54382538795471,52.2524573802948,"unknown","unknown",58.78158402442932,64.13780546188354,65.76963376998901,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.8573899269104,"unknown",79.35854816436768,83.1305775642395,90.402841091156,"unknown","unknown",96.5612199306488,98.98874735832214,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",105.46744418144226,"unknown","unknown",110.75980639457703,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-100496.39871048927,-100490.18757605553,-100484.74913620949,-100477.33764958382,0.0,7.370544910430908,15.376114845275879,21.2950541973114,23.071004390716553,29.545271396636963,41.94321060180664,47.57903838157654,"unknown","unknown",53.89891242980957,56.945880651474,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.59016513824463,"unknown",68.9551043510437,94.31011247634888,"unknown",100.38451266288757,"unknown",106.53507828712463,117.66926074028015,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",124.32038521766663,"unknown","unknown",129.58745884895325,""
"ac6f3f6",-1852.9798305034637,-1846.6738855838776,-1841.2984871864319,-1834.913826227188,0.0,5.712441444396973,9.108090162277222,16.06084179878235,39.089083671569824,45.25177884101868,58.719430923461914,"unknown","unknown",65.15965104103088,70.76421475410461,72.2569990158081,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",79.38488507270813,"unknown",85.6914131641388,91.66345477104187,97.19391465187073,"unknown","unknown",104.02679419517517,107.06969094276428,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",112.6174566745758,"unknown","unknown",119.32950353622437,""
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-16512.230382680893,-16505.265355587006,-16498.51185941696,-16491.47070288658,0.0,6.216153860092163,9.058059930801392,15.046345949172974,35.10169863700867,42.24177265167236,46.849942445755005,"unknown",53.01553964614868,"unknown",60.33382248878479,67.46317958831787,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.13250994682312,"unknown",79.75789427757263,86.40299201011658,"unknown",93.32474136352539,"unknown",100.51450943946838,103.54529786109924,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",110.4087221622467,"unknown","unknown",117.29805660247803,""
