"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","5_otro_1","2_1"
"4e53c5c",-30625.20477104187,"unknown",-30618.88090157509,-30612.98753118515,0.0,6.541996002197266,26.220321893692017,34.42581105232239,53.251455545425415,60.15804886817932,76.06310606002808,"unknown",82.85621762275696,"unknown",90.10184574127197,92.59226655960083,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",98.23226642608643,"","unknown",103.64952898025513,114.30077886581421,"unknown",121.04852986335754,"unknown",127.27727580070496,129.39668488502502,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",135.2109649181366,"unknown","unknown",141.39395570755005,"",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-44368.795399188995,"unknown",-44362.24221038818,-44355.10690355301,0.0,5.618115425109863,10.776110172271729,19.460827350616455,39.34203028678894,46.06975078582764,51.887864112854004,"unknown","unknown",58.49315881729126,64.8818941116333,67.3213951587677,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",74.61444401741028,"","unknown",80.34581279754639,110.87663245201111,"unknown","unknown",116.41660237312317,122.12028527259827,130.61580109596252,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",135.9388291835785,"unknown","unknown",142.37082290649414,"",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-13893.039579153061,"unknown",-13887.276721715927,-13880.21745300293,0.0,5.4290385246276855,20.72084903717041,28.570016860961914,45.12717127799988,50.75124478340149,54.16006255149841,"unknown","unknown",61.251729249954224,68.36613607406616,71.0388617515564,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",77.37094712257385,"","unknown",84.48107719421387,97.31712055206299,"unknown","unknown",104.13582038879395,109.6329562664032,112.7927942276001,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",119.53725361824036,"unknown","unknown",126.43426632881165,"",""
"ea8c0d6",-23385.041753292084,"unknown",-23379.601492881775,-23373.71994137764,0.0,6.454254865646362,10.88131594657898,19.418851375579834,52.57313108444214,59.75154757499695,66.41621255874634,"unknown","unknown",72.20135474205017,79.32523441314697,82.43780636787415,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",88.59301376342773,"","unknown",94.10018301010132,106.54299402236938,112.44592547416687,"unknown","unknown",118.6827974319458,122.51836562156677,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",128.71650338172913,"unknown","unknown",134.45719623565674,"",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-53.215651750564575,"unknown",-47.26683259010315,-41.708173513412476,0.0,6.434656381607056,11.218864917755127,19.554508209228516,45.7103750705719,51.34188365936279,54.815144777297974,"unknown","unknown",61.94364619255066,67.86363172531128,71.1051332950592,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",76.81851935386658,"","unknown",82.6436755657196,3798.6592621803284,"unknown","unknown",3804.2159349918365,3810.7037110328674,3899.990334033966,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",3906.393275499344,"unknown","unknown",3913.316074371338,"",""
