"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-3242.1769466400146,"unknown",-3235.6665172576904,-3229.5372684001923,0.0,6.410747051239014,14.49299693107605,19.9281747341156,48.602492809295654,54.914042949676514,87.33906435966492,"unknown",94.40439701080322,"unknown",101.34828615188599,103.24451494216919,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",108.59031271934509,"unknown",114.90584778785706,118.27372884750366,123.7899100780487,"unknown","unknown",129.40383529663086,132.02841448783875,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",137.51949286460876,"unknown","unknown",143.10298252105713,""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-496.8338294029236,"unknown",-490.30331683158875,-483.5181143283844,0.0,5.748278856277466,10.61176347732544,17.471519708633423,37.46816349029541,44.07760310173035,51.705739974975586,"unknown",58.667858839035034,"unknown",65.06372046470642,67.46115207672119,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.22896599769592,"unknown",79.84548878669739,89.24489188194275,"unknown",95.0827898979187,"unknown",101.42081689834595,103.71830153465271,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",109.22206521034241,"unknown","unknown",116.45721387863159,""
"ea8c0d6",-323005.7699239254,"unknown",-322999.04219412804,-322993.1876695156,0.0,6.5069029331207275,9.659268617630005,16.268375873565674,50.62785220146179,56.59185314178467,59.89729928970337,"unknown","unknown",65.28138828277588,71.6630539894104,76.14202570915222,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",81.70596957206726,"unknown",88.29639840126038,101.17527890205383,106.65234041213989,"unknown","unknown",112.80071258544922,115.4463837146759,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",122.42991328239441,"unknown","unknown",128.93051385879517,""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-1290.8990750312805,"unknown",-1285.567720413208,-1279.303363084793,0.0,6.520914554595947,108.54632186889648,114.83568406105042,141.99487686157227,149.27719736099243,167.76361966133118,174.03362035751343,"unknown","unknown",180.00845742225647,186.29014086723328,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",192.31219792366028,"unknown",197.8506841659546,191519.89364624023,"unknown",191526.4588842392,"unknown",191531.88722538948,191533.90234303474,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",191540.97087955475,"unknown","unknown",191546.40770959854,""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
