"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","3_1"
"b7cec81",-61975.93483757973,"unknown",-61970.38611340523,-61964.83103966713,0.0,5.6782519817352295,8.313761949539185,13.84929347038269,23.293943881988525,30.420178174972534,44.35694646835327,"unknown",50.860586404800415,"unknown",57.484822273254395,60.1611442565918,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",66.84822845458984,"","unknown",73.79386258125305,81.88480496406555,"unknown",87.27931380271912,"unknown",92.94576692581177,94.7765440940857,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.0381543636322,"unknown","unknown",108.0967378616333,"",""
"bf983ba",-103.91701459884644,"unknown",-97.43562412261963,-90.5873613357544,0.0,7.264239549636841,9.783392906188965,16.92644715309143,24.327866315841675,30.707009315490723,32.7891263961792,39.79475450515747,"unknown","unknown",45.09962844848633,46.861992597579956,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",52.766841411590576,"","unknown",58.07875156402588,61.529990434646606,"unknown",67.63435697555542,"unknown",74.00440335273743,105.73962450027466,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",112.58801102638245,"unknown","unknown",117.93033504486084,"",""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-178102.03913855553,"unknown",-178096.27883648872,-178089.4808320999,0.0,7.44281530380249,11.281015157699585,18.24852180480957,32.34784698486328,37.74997639656067,39.951990842819214,46.853397369384766,"unknown","unknown",52.94951820373535,55.01367807388306,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",62.000606060028076,"","unknown",68.95791053771973,78.13694024085999,"unknown","unknown",84.98820662498474,91.64666104316711,94.2489218711853,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.11183953285217,"unknown","unknown",107.75570917129517,"",""
"2457ed6",-9196.283892393112,"unknown",-9190.024440050125,-9184.476367473602,0.0,6.448737859725952,9.006011247634888,15.006274700164795,29.696650981903076,35.73016166687012,59.00837159156799,"unknown",65.69305109977722,"unknown",71.53162574768066,73.21057653427124,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",79.38398313522339,"","unknown",85.91284847259521,837.3476073741913,"unknown",844.291437625885,"unknown",850.3065547943115,852.05819439888,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",857.9505639076233,"unknown","unknown",864.5332007408142,"",""
"c4bba29",-8490.599792003632,"unknown",-8483.329762935638,-8477.576429605484,0.0,5.5382561683654785,10.018163204193115,15.428690910339355,751.5505871772766,757.1285955905914,763.4617259502411,770.2681140899658,"unknown","unknown",776.2544593811035,250893.74027466774,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",250899.2597568035,"","unknown",250905.39600658417,250909.08490872383,250915.09125494957,"unknown","unknown",250920.39975690842,250925.73366332054,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",250932.0108706951,"unknown","unknown",250937.68001008034,"",""
"2dffb9e",-3761.1763043403625,"unknown",-3754.241269826889,-3748.037999868393,0.0,7.02853536605835,8.839244604110718,15.889634847640991,28.359680891036987,35.33229684829712,37.41112971305847,43.01311135292053,"unknown","unknown",49.44524884223938,51.653178215026855,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",58.7944610118866,"","unknown",66.15922331809998,75.4886577129364,82.01264834403992,"unknown","unknown",88.3443067073822,96.33325242996216,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",103.28699207305908,"unknown","unknown",109.55535793304443,"",""
"7a35b75",-1949.3777987957,"unknown",-1943.482656955719,-1938.0370118618011,0.0,5.914172887802124,10.598210573196411,17.829898595809937,40.25622773170471,47.67003273963928,65.68497705459595,"unknown",71.34779453277588,"unknown",77.97262167930603,80.12251782417297,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",87.09024667739868,"","unknown",93.04517436027527,103.36103558540344,"unknown","unknown",110.36701226234436,117.38794898986816,119.54928803443909,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",126.16107296943665,"unknown","unknown",133.10068893432617,"",""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e",-30188.7527654171,"unknown",-30183.04157614708,-30177.151037931442,0.0,6.217857360839844,10.961301803588867,16.243704080581665,50.03151750564575,56.83767485618591,63.44651222229004,"unknown","unknown",70.37954688072205,76.70489454269409,79.23965334892273,85.09590721130371,86.58620929718018,"unknown",92.73580121994019,"unknown",98.85467505455017,106.20503830909729,111.80138492584229,113.89045262336731,"unknown","unknown",120.64329314231873,"unknown","",126.26311779022217,132.01544833183289,158.93733668327332,"unknown","unknown",165.4630262851715,171.753258228302,249.22429060935974,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",255.5224277973175,"unknown","unknown",260.8351423740387,"",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f",-264552.5257065296,"unknown",-264546.312782526,-264541.02115797997,0.0,7.136307001113892,10.7803053855896,17.873372554779053,29.93034267425537,35.549161434173584,39.91133522987366,"unknown",46.89718461036682,"unknown",53.820653676986694,55.79647898674011,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",61.65142488479614,"","unknown",68.51320338249207,74.90713047981262,"unknown",81.66600108146667,"unknown",88.48868799209595,90.20123028755188,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",97.31862425804138,"unknown","unknown",103.43426418304443,"",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471",-396479.4308898449,"unknown",-396472.4272425175,-396467.0175321102,0.0,6.070022344589233,7.791006326675415,14.482624530792236,29.748668670654297,35.17525029182434,49.69534492492676,55.65348935127258,"unknown","unknown",61.10134148597717,63.493690490722656,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",69.14662289619446,"","unknown",75.70328092575073,80.05540585517883,"unknown","unknown",86.05393195152283,92.88554167747498,95.63420724868774,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.35574507713318,"unknown","unknown",106.78338479995728,"",""
"0a30844",-164532.0969326496,"unknown",-164526.14606785774,-164519.02744412422,0.0,5.967854261398315,11.428428649902344,17.269078016281128,35.48830270767212,41.488723039627075,44.99971079826355,"unknown",51.84489846229553,"unknown",58.086456298828125,60.343082666397095,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",66.50084829330444,"","unknown",73.44170475006104,114.49012875556946,"unknown",121.1064555644989,"unknown",126.25654006004333,133.45322251319885,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",139.65922498703003,"unknown","unknown",146.8911108970642,"",""
"43d0b63",-6767.257029533386,"unknown",-6760.922353506088,-6753.67865729332,0.0,6.614254713058472,23580.50144982338,23587.625480890274,23632.159660339355,23637.88965010643,23640.775828123093,23647.60644006729,"unknown","unknown",23654.667364358902,23663.73076581955,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",23670.21732854843,"","unknown",23675.871889829636,23682.693041324615,23688.023012161255,"unknown","unknown",23694.295471429825,23696.778173446655,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",23704.00201702118,"unknown","unknown",23710.2900826931,"",""
"addf295",-158615.4735174179,"unknown",-158608.3567428589,-158602.56018662453,0.0,6.480321645736694,16.34451389312744,23.679635047912598,43.44400072097778,50.79738426208496,83.45515203475952,"unknown",90.3506121635437,"unknown",95.96093201637268,101.68356919288635,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",108.65012168884277,"","unknown",115.1839485168457,137.5662863254547,143.61929631233215,"unknown","unknown",150.94347381591797,153.60137462615967,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",161.8464138507843,"unknown","unknown",168.53370094299316,"",""
"870dc60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-65892.05232310295,"unknown",-65885.85505223274,-65880.59998393059,0.0,5.607502698898315,11.3776376247406,18.56907057762146,22.142274856567383,28.340076446533203,36.03203582763672,42.26295495033264,"unknown","unknown",48.57837772369385,59.16055965423584,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",65.66180419921875,"","unknown",72.16352438926697,324.2941951751709,"unknown","unknown",331.5208263397217,338.42372250556946,340.09958267211914,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",347.1080632209778,"unknown","unknown",352.9343948364258,"",""
"0e42357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434",-1561336.2884271145,"unknown",-1561330.3266329765,-1561324.0969116688,0.0,5.920896530151367,11.645034074783325,18.919853448867798,32.90775227546692,38.63693284988403,45.41114068031311,51.405885219573975,"unknown","unknown",57.54896306991577,62.33594059944153,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",68.72466611862183,"","unknown",74.49289894104004,95.770427942276,102.63396430015564,"unknown","unknown",108.96782350540161,113.37872552871704,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",119.60308957099915,"unknown","unknown",126.60688400268555,"",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-23203.235580682755,"unknown",-23196.773151636124,-23191.141314029694,0.0,6.63262939453125,11.14425778388977,16.67665457725525,38.55102229118347,45.722946643829346,56.85732889175415,"unknown",63.24474501609802,"unknown",69.57973456382751,71.34254884719849,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",77.7275025844574,"","unknown",83.66646099090576,89.80293393135071,95.97827363014221,"unknown","unknown",102.2667646408081,103.71275854110718,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",109.95505857467651,"unknown","unknown",115.80255579948425,"",""
"8ec15bc",-7279.56239771843,"unknown",-7272.849627733231,-7266.257981538773,0.0,6.56694769859314,8.22614073753357,14.526234149932861,16.45820689201355,23.978604316711426,51.793946504592896,58.12674117088318,"unknown","unknown",65.03347611427307,75.69851398468018,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",81.11233425140381,"","unknown",86.8349347114563,89.77349829673767,95.73499345779419,"unknown","unknown",101.28099155426025,108.49641871452332,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",114.91316342353821,"unknown","unknown",121.54262018203735,"",""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e51496b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01baaf6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e8a0b7a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6c3f0f6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1f77294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6f1360e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1e17723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-222157.22971320152,"unknown",-222151.77578926086,-222146.23195266724,0.0,5.613997459411621,8.318288803100586,14.388793230056763,49.847843170166016,55.165634632110596,72.07108116149902,79.003347158432,"unknown","unknown",86.17885756492615,141.84551429748535,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",148.65568256378174,"","unknown",155.3799648284912,160.82106709480286,168.02058672904968,"unknown","unknown",173.39351320266724,184.61250472068787,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",191.20833730697632,"unknown","unknown",198.37888836860657,"",""
"a300755",-134372.97563266754,"unknown",-134365.9153227806,-134360.37121796608,0.0,5.4132239818573,7.6848649978637695,14.420838117599487,27.00786542892456,33.56006956100464,38.24575138092041,"unknown",45.01689696311951,"unknown",50.476218938827515,52.82467985153198,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",58.15239644050598,"","unknown",64.83953619003296,75.54853415489197,"unknown","unknown",80.99785041809082,86.25960373878479,88.69266128540039,94.4004077911377,101.75748991966248,"unknown",107.66893792152405,"unknown",113.03620290756226,114.62205100059509,"unknown","unknown","unknown","unknown","unknown",120.85042095184326,"unknown",128.02675223350525,"",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b06ee97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"758fff8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69",-6832.38032579422,"unknown",-6826.942008972168,-6821.132258892059,0.0,7.207111597061157,13.922810554504395,21.01450252532959,36.842901945114136,43.649494647979736,55.58712029457092,"unknown",62.72353148460388,"unknown",68.6832525730133,73.19115042686462,79.04531455039978,89.27485013008118,"unknown","unknown",94.6311707496643,101.36081218719482,102.9471526145935,"unknown","","unknown","unknown","unknown","unknown",108.3001778125763,"unknown",115.58103680610657,278009.66865992546,278015.7972612381,"unknown","unknown",278022.33858799934,278024.8198084831,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",278030.49007344246,"unknown","unknown",278035.9352712631,"",""
"7bb45d3",-2420.906602859497,"unknown",-2414.0910770893097,-2408.1020002365112,0.0,6.528557777404785,8.157194137573242,13.852248907089233,40.78942894935608,47.40957760810852,51.260159730911255,57.000946044921875,"unknown","unknown",62.83836078643799,66.0280876159668,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",71.66665077209473,"","unknown",78.27539682388306,80.95950078964233,86.5894935131073,"unknown","unknown",93.55660319328308,95.37652611732483,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.45316910743713,"unknown","unknown",107.971764087677,"",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1f16f74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e",-9712.088944911957,"unknown",-9705.415965557098,-9698.65041923523,0.0,5.56650185585022,10.274431705474854,15.625393867492676,33.470967292785645,40.66282606124878,43.461918592453,"unknown","unknown",50.41215205192566,55.617828607559204,57.051111936569214,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",63.0995728969574,"","unknown",70.14716410636902,75.10237956047058,"unknown","unknown",82.01008629798889,87.29281783103943,88.73973536491394,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.54253244400024,"unknown","unknown",101.79051041603088,"",""
"07ff49d",-857.7597994804382,"unknown",-850.6692514419556,-843.4795119762421,0.0,6.503654479980469,29.168490409851074,36.27142786979675,48.835920095443726,55.93598294258118,59.26562690734863,66.15246987342834,"unknown","unknown",72.47075390815735,96.62009596824646,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",103.28308606147766,"","unknown",109.20051598548889,119.90156650543213,125.76187682151794,"unknown","unknown",131.34018659591675,132.71516680717468,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",139.57619619369507,"unknown","unknown",146.46079850196838,"",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73c3f48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3218556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852",-1720.4621984958649,"unknown",-1714.617629289627,-1709.0722858905792,0.0,5.70256781578064,12.197780847549438,18.557558298110962,29.700249910354614,37.20936703681946,49.98478102684021,"unknown",57.343183517456055,"unknown",62.732322454452515,65.84051179885864,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",72.73354411125183,"","unknown",78.92508840560913,95.24316000938416,102.13343977928162,"unknown","unknown",107.93318223953247,109.61014151573181,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",115.7755115032196,"unknown","unknown",122.14059066772461,"",""
"ad2fc5b",-149.1619119644165,"unknown",-142.90060901641846,-136.1401138305664,0.0,5.943960666656494,11.126545667648315,17.881190538406372,33.961427211761475,39.920491218566895,66.4853401184082,72.28671526908875,"unknown","unknown",78.45983147621155,80.73246192932129,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",86.89110994338989,"","unknown",92.44266557693481,102.4845061302185,109.75128746032715,"unknown","unknown",116.2944688796997,118.038006067276,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",124.4345908164978,"unknown","unknown",130.8424208164215,"",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32",-28.20684242248535,"unknown",-22.558000564575195,-16.308062076568604,0.0,6.072219610214233,27.20404028892517,34.2915256023407,52.32755398750305,59.69749975204468,64.1423237323761,69.7562689781189,"unknown","unknown",76.8948130607605,79.20889019966125,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",84.70559597015381,"","unknown",90.89488434791565,96.41300058364868,102.32090520858765,"unknown","unknown",108.04813361167908,131.0080680847168,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",138.8108093738556,"unknown","unknown",144.90800833702087,"",""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-1921.6786034107208,"unknown",-1915.9233651161194,-1909.2640075683594,0.0,5.601559638977051,8.252958297729492,15.506181001663208,37.11429977416992,44.247347831726074,46.27326989173889,53.03104305267334,"unknown","unknown",59.82700800895691,62.06216859817505,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",68.78519415855408,"","unknown",75.56595158576965,89.9703414440155,96.0263409614563,"unknown","unknown",102.59680080413818,108.33685898780823,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",114.65757822990417,"unknown","unknown",121.2041163444519,"",""
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-6694.5370416641235,"unknown",-6689.165144920349,-6682.600159645081,0.0,6.409635543823242,10.822448968887329,17.553646087646484,34.811068534851074,41.45384478569031,45.84981346130371,52.09099745750427,"unknown","unknown",57.64768886566162,59.92550706863403,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",66.74757695198059,"","unknown",72.50442886352539,77.76420426368713,84.62233543395996,"unknown","unknown",90.0989236831665,92.36584186553955,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.38285517692566,"unknown","unknown",105.18771171569824,"",""
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb",-87032.37478399277,"unknown",-87026.22253012657,-87019.87227702141,0.0,6.441941738128662,9.164669513702393,16.094655513763428,32.141911029815674,38.85779643058777,70.58984398841858,"unknown","unknown",76.08920001983643,82.8587167263031,85.15546417236328,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",92.37326884269714,"","unknown",98.82607197761536,177.93411421775818,"unknown",185.28892993927002,"unknown",191.1044852733612,193.1455316543579,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",199.59472489356995,"unknown","unknown",205.15411972999573,"",""
"2ee7f92",-23416.60672211647,"unknown",-23409.66934633255,-23404.343910217285,0.0,5.939833402633667,8.120880603790283,14.196683883666992,24.920472145080566,30.84742259979248,32.32908272743225,38.509562253952026,"unknown","unknown",45.72367310523987,47.888922929763794,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",54.711590051651,"","unknown",60.36941385269165,64.4662549495697,"unknown","unknown",71.2948808670044,77.64865946769714,79.98004102706909,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",85.91166806221008,"unknown","unknown",91.28574824333191,"",""
"89d63ed",-987.4211046695709,"unknown",-981.5143241882324,-974.8086841106415,0.0,5.708590030670166,8.131040573120117,14.674520015716553,20.66675305366516,27.051469802856445,32.83903479576111,38.53572082519531,"unknown","unknown",44.3928427696228,46.496434688568115,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",52.89966607093811,"","unknown",59.242238998413086,65.75671052932739,71.84784770011902,"unknown","unknown",77.67698431015015,80.58896040916443,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",86.24317073822021,"unknown","unknown",91.88367080688477,"",""
"c0a644e",-99665.49626159668,"unknown",-99658.25908088684,-99652.0573644638,0.0,5.319333076477051,9.266113042831421,16.18560242652893,28.53335475921631,34.05020999908447,45.61552953720093,51.0756356716156,"unknown","unknown",56.31462860107422,60.128740310668945,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",66.10736966133118,"","unknown",71.62247443199158,78.8659393787384,84.3300371170044,"unknown","unknown",89.88291668891907,93.57372260093689,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.60408306121826,"unknown","unknown",107.19616746902466,"",""
"80f558b",-45314.701182842255,"unknown",-45307.72335791588,-45300.77977395058,0.0,6.452755451202393,10.920561790466309,16.966849088668823,31.39234495162964,37.48434257507324,45.38158869743347,"unknown",52.50988030433655,"unknown",59.597803831100464,62.23762249946594,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",68.10519003868103,"","unknown",73.78757429122925,82.26472091674805,"unknown",88.38607382774353,"unknown",95.4915816783905,97.63845348358154,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",104.48802828788757,"unknown","unknown",111.63973712921143,"",""
"9ad2396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87e4f18",-54325.92945766449,"unknown",-54319.56535792351,-54313.59616112709,0.0,6.8727288246154785,9.715513467788696,15.917240619659424,36.2592511177063,41.64834761619568,51.26743292808533,"unknown","unknown",57.3805787563324,63.71864867210388,65.95811724662781,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",71.97467470169067,"","unknown",77.53824853897095,82.45936560630798,"unknown","unknown",88.83155989646912,95.8958432674408,97.79228782653809,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",104.6373291015625,"unknown","unknown",111.19667053222656,"",""
"0186834",-51.998069763183594,"unknown",-45.02391028404236,-38.05896544456482,0.0,7.287796497344971,9.973556756973267,16.7294340133667,31.981642961502075,39.22466516494751,48.73249125480652,"unknown",54.37172603607178,"unknown",60.43458127975464,62.95716142654419,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",69.60154843330383,"","unknown",75.41372179985046,81.67443084716797,88.35555744171143,"unknown","unknown",95.63344693183899,97.14275121688843,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",103.18827509880066,"unknown","unknown",109.7258574962616,"",""
"0355f6d",-728810.3559367657,"unknown",-728804.1866679192,-728798.5412364006,0.0,6.978495359420776,11.863269805908203,19.075472593307495,3237.0125460624695,3243.2036414146423,3248.357526779175,3254.3528304100037,"unknown","unknown",3261.352735042572,3264.1363649368286,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",3269.739840745926,"","unknown",3276.372955083847,3284.766597509384,3291.542738199234,"unknown","unknown",3298.15359210968,3300.097627878189,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",3305.7714347839355,"unknown","unknown",3311.7695903778076,"",""
"fa6a8b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44167d5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
