"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"49db8c4",-1549.0179641246796,-1542.3038563728333,-1536.4763116836548,-1531.0213770866394,0.0,7.003139972686768,11.888279914855957,17.420580625534058,19.204200744628906,25.23456645011902,42.5094473361969,"unknown","unknown",49.567853689193726,55.207701444625854,58.78782892227173,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.54813408851624,"","unknown",72.34907984733582,80.61776208877563,"unknown",87.56360101699829,"unknown",94.49530935287476,97.06223034858704,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",103.84368348121643,"unknown","unknown",109.39059257507324
"ea8c0d6",-399231.54888653755,-399224.7662537098,-399218.96601724625,-399212.2570436001,0.0,7.140836000442505,14.322167873382568,20.673663854599,23.822336673736572,29.91409969329834,88.76862168312073,"unknown",94.54564118385315,"unknown",101.43301343917847,104.3852527141571,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",109.9604332447052,"","unknown",115.27899074554443,123.90872550010681,"unknown",129.73622345924377,"unknown",135.22641158103943,137.73691058158875,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",144.27791357040405,"unknown","unknown",150.359721660614
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-6524.547684431076,-6517.928777217865,-6511.668207883835,-6505.637181520462,0.0,5.659565687179565,8.356006383895874,14.919773578643799,28.150425910949707,34.68426203727722,42.02996563911438,"unknown",48.36640906333923,"unknown",55.29875564575195,64.5393455028534,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.8583574295044,"","unknown",76.26633405685425,87.38668823242188,"unknown",94.80488657951355,"unknown",100.1558129787445,124.56275582313538,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",131.48823237419128,"unknown","unknown",138.42002987861633
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-3717.8671476840973,-3710.6331214904785,-3703.7174322605133,-3697.8534433841705,0.0,6.6485655307769775,15.74137806892395,21.504825830459595,600.5271136760712,607.3220815658569,611.613401889801,618.151782989502,"unknown","unknown",624.8132500648499,627.1364090442657,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",633.2843914031982,"","unknown",639.2923946380615,643.8976135253906,"unknown","unknown",649.4268581867218,655.9434285163879,657.7630789279938,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",663.3476779460907,"unknown","unknown",670.4589464664459
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-112.6284065246582,-105.38867807388306,-98.87133049964905,-91.94147491455078,0.0,6.077297925949097,9.104307413101196,16.283117532730103,26.228426694869995,33.64397144317627,42.39333391189575,"unknown","unknown",48.929007053375244,56.069597482681274,59.254480600357056,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.67524290084839,"","unknown",70.98308420181274,76.6825635433197,"unknown","unknown",82.18685364723206,87.6842737197876,92.44077944755554,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",98.90105533599854,"unknown","unknown",106.11608982086182
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-52901.01387286186,-52894.34217095375,-52887.44128847122,-52881.03783965111,0.0,6.4537293910980225,15.735081195831299,21.69535207748413,42.428975105285645,48.1391921043396,57.57970595359802,"unknown","unknown",64.82642936706543,72.01975464820862,74.45560216903687,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",79.87965941429138,"","unknown",86.757004737854,90.71978116035461,"unknown","unknown",96.76985144615173,102.56916189193726,105.09756278991699,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",110.57288455963135,"unknown","unknown",116.57521605491638
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-3882.856518268585,-3876.016728401184,-3869.710222005844,-3863.5751447677612,0.0,5.646589279174805,8.153456687927246,15.301182985305786,34.007779598236084,40.04991579055786,43.81868004798889,"unknown","unknown",50.569358110427856,55.99052667617798,58.08002805709839,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.649210929870605,"","unknown",69.65692734718323,82.6957356929779,"unknown","unknown",88.43947005271912,95.43444395065308,98.77138376235962,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",105.3908007144928,"unknown","unknown",112.49289155006409
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-987.5218493938446,-981.0299665927887,-974.753270149231,-967.9586310386658,0.0,5.671248435974121,7.182789325714111,13.205849885940552,31.089268684387207,37.20269274711609,39.7444965839386,45.11250138282776,"unknown","unknown",50.51836943626404,1127290.2185332775,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1127296.3380959034,"","unknown",1127303.5166471004,1127308.5040929317,1127315.056401968,"unknown","unknown",1127322.563347578,1127324.8739573956,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",1127331.7805655003,"unknown","unknown",1127337.6033711433
"2dffb9e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
