"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-1567.2521793842316,"unknown",-1561.2523605823517,-1555.116187095642,0.0,6.859292030334473,227.74340748786926,233.59304404258728,243.1999170780182,250.30051612854004,254.53004479408264,"unknown","unknown",261.47799801826477,267.28531551361084,269.7438099384308,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",276.19931054115295,"unknown",282.1428551673889,288.27997946739197,"unknown","unknown",294.03948640823364,299.66283535957336,316.5776631832123,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",322.50863218307495,"unknown","unknown",328.324001789093,""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-43132.99622917175,"unknown",-43127.54336857796,-43121.6550860405,0.0,6.288531541824341,8.521492958068848,14.728227138519287,16.548507928848267,21.93668532371521,24.332362174987793,"unknown",30.30615544319153,"unknown",37.00514054298401,38.538116216659546,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",43.897156715393066,"unknown",49.855648040771484,51.59477257728577,"unknown",56.887961626052856,"unknown",63.03536677360535,64.40260457992554,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.88813352584839,"unknown","unknown",75.62462282180786,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-36768.99528479576,"unknown",-36763.5836045742,-36756.56197595596,0.0,5.639914512634277,11.757636070251465,18.587291955947876,39.67072153091431,45.483044147491455,48.366164207458496,"unknown","unknown",53.99160885810852,59.88602423667908,67.94462156295776,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",75.11909556388855,"unknown",81.71476984024048,84.07605600357056,"unknown","unknown",91.3367862701416,96.61813807487488,98.42876625061035,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",104.72609615325928,"unknown","unknown",110.81504726409912,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-88479.94952964783,"unknown",-88425.5958673954,-88370.28523468971,0.0,7.0678181648254395,84.65284371376038,90.45669937133789,92.49580335617065,97.70246410369873,102.6700029373169,"unknown","unknown",109.85070323944092,115.10042881965637,121.56613492965698,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",127.45736646652222,"unknown",132.99138712882996,136.96913933753967,"unknown","unknown",142.9402940273285,149.99539351463318,151.9078288078308,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",158.24033641815186,"unknown","unknown",163.52755093574524,""
"ac6f3f6",-14460.23787355423,"unknown",-14454.878990888596,-14449.508590459824,0.0,6.173740863800049,160.13821482658386,166.81165027618408,170.14536428451538,176.68797135353088,179.6772723197937,"unknown","unknown",186.30436611175537,192.98121213912964,200.45622777938843,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",205.9746766090393,"unknown",211.9633936882019,220.79236245155334,"unknown","unknown",227.7803144454956,232.9398272037506,262.35904121398926,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",268.15724539756775,"unknown","unknown",273.5619626045227,""
"62447b9",-138776.5061955452,"unknown",-138769.41080474854,-138763.08087587357,0.0,7.187220096588135,10.759684324264526,17.002795219421387,25.54618263244629,32.01798725128174,36.928325176239014,"unknown","unknown",42.51701045036316,48.520506620407104,50.24238181114197,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",57.235153913497925,"unknown",62.9400954246521,71.74383592605591,"unknown",78.75318646430969,"unknown",85.37649607658386,87.62900376319885,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",93.50023770332336,"unknown","unknown",100.48824453353882,""
"20f3e2e",-11712.027807712555,"unknown",-11705.053910970688,-11698.443521022797,0.0,7.14711332321167,10.99997067451477,17.665181875228882,30.026500701904297,36.60451412200928,50.62836766242981,"unknown","unknown",57.57947897911072,64.1763129234314,66.06405305862427,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",71.79760718345642,"unknown",77.80956721305847,80.09936380386353,"unknown","unknown",86.54520058631897,92.3411660194397,95.38148856163025,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.8594160079956,"unknown","unknown",108.19528412818909,""
