"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-4435.395937204361,"unknown",-4429.742149114609,-4423.9427835941315,0.0,6.652700185775757,31.871814250946045,39.37057900428772,59.87604832649231,65.33840155601501,67.80894374847412,"unknown",74.3419075012207,"unknown",79.77781462669373,82.76053214073181,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.39709568023682,"","unknown",95.89730286598206,97.84104108810425,"unknown",104.62357640266418,"unknown",111.00291442871094,114.81244921684265,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",121.02259302139282,"unknown","unknown",127.4284884929657
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-26218.593136787415,"unknown",-26211.44487810135,-26205.653379440308,0.0,5.985723972320557,9.734216451644897,17.190022945404053,26.652405261993408,32.202420473098755,51.55578589439392,"unknown",58.13332748413086,"unknown",64.42639684677124,66.7597062587738,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",72.87154817581177,"","unknown",79.96820712089539,85.55400323867798,"unknown",92.4133768081665,"unknown",97.87558579444885,406.6284267902374,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",413.02630257606506,"unknown","unknown",419.75124287605286
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-14349.459366559982,"unknown",-14343.049921274185,-14336.94422507286,0.0,5.741910219192505,8.862250804901123,16.63499116897583,29.887271404266357,36.67342925071716,43.071998596191406,50.26380491256714,"unknown","unknown",55.87244915962219,61.2845184803009,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.4209246635437,"","unknown",75.3101065158844,94.13806819915771,100.3493390083313,"unknown","unknown",107.32358717918396,69002.66911888123,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69009.15147900581,"unknown","unknown",69015.08225917816
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-24.58709955215454,"unknown",-19.045771837234497,-11.972693920135498,0.0,15.25182557106018,204723.6685948372,204732.32981729507,204747.05044674873,204753.32773137093,204756.69232273102,"unknown","unknown",204763.2129471302,204768.99508857727,204771.79016923904,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",204779.14592194557,"","unknown",204785.7539203167,204881.2024435997,204888.35943722725,"unknown","unknown",204893.7666566372,204895.02170848846,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",204901.73393416405,"unknown","unknown",204908.53734016418
"ac6f3f6",-47080.30913925171,"unknown",-47074.73378968239,-47069.131517887115,0.0,5.441438913345337,7.499603033065796,15.354978799819946,33.59337115287781,40.62308192253113,43.09735321998596,"unknown",49.607616662979126,"unknown",55.53310704231262,57.31957197189331,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.34334993362427,"","unknown",70.29442596435547,75.88897466659546,81.38582587242126,"unknown","unknown",87.84661364555359,89.61185956001282,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.91602087020874,"unknown","unknown",102.5637743473053
"62447b9",-25551.063880443573,"unknown",-25545.25609946251,-25539.24961042404,0.0,7.129443883895874,18.201514720916748,26.72753143310547,107.59900426864624,114.25341129302979,122.33491277694702,"unknown",129.1903760433197,"unknown",135.488872051239,150.09520483016968,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",155.34514808654785,"","unknown",162.42245531082153,193.10691571235657,198.88715410232544,"unknown","unknown",205.79769563674927,208.3135313987732,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",215.21584343910217,"unknown","unknown",220.58308911323547
"20f3e2e",-4216.635555505753,"unknown",-4210.296387672424,-4204.301641941071,0.0,5.440502643585205,10.087934255599976,17.369598150253296,97.13300013542175,102.84897470474243,129.0017590522766,"unknown",134.92235255241394,"unknown",141.76044631004333,143.40376472473145,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",148.74061679840088,"","unknown",155.2622447013855,160.59796023368835,165.91807794570923,"unknown","unknown",171.80226230621338,178.3902084827423,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",185.55972838401794,"unknown","unknown",191.31897068023682
