"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","4_1"
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-6433.356171369553,"unknown",-6426.344378709793,-6418.847618818283,0.0,6.002414703369141,9.014729976654053,16.57457447052002,36.414453744888306,42.57668590545654,46.526912450790405,"unknown","unknown",52.336272954940796,58.10832142829895,61.74807167053223,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.91048192977905,"unknown",74.81814002990723,81.40607690811157,"unknown",88.22006630897522,"unknown",95.13208794593811,97.33051800727844,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",104.18347716331482,"unknown","unknown",110.58124685287476,""
"ea8c0d6",-27054.57405257225,"unknown",-27047.773349761963,-27041.645126342773,0.0,5.89680027961731,7.670760631561279,14.89145827293396,69.76939225196838,76.31293392181396,85.64442253112793,"unknown","unknown",91.74057698249817,98.9307746887207,102.74679517745972,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",109.14720153808594,"unknown",116.23908495903015,127.384685754776,"unknown","unknown",134.388032913208,140.200336933136,143.48579597473145,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",149.68861484527588,"unknown","unknown",155.34445452690125,""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-4007.9934191703796,"unknown",-4001.9802429676056,-3996.292453765869,0.0,5.990913152694702,9.043315172195435,16.14181351661682,90.8201551437378,96.18303537368774,99.93823599815369,"unknown","unknown",106.24364018440247,111.55950212478638,117.2350218296051,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",124.17781710624695,"unknown",129.49122285842896,149.62042689323425,"unknown",156.77325773239136,"unknown",162.49257612228394,164.47611474990845,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",170.98596119880676,"unknown","unknown",176.40102696418762,""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-548.0136544704437,"unknown",-542.0448908805847,-534.8965260982513,0.0,7.428042888641357,8.82332468032837,16.01366686820984,32.677064180374146,38.492597579956055,40.82144904136658,"unknown","unknown",47.79819083213806,55.12734007835388,69.9030032157898,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",75.72757911682129,"unknown",82.11299276351929,213.15911149978638,"unknown","unknown",220.2303924560547,226.0531325340271,430.9058725833893,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",436.9218029975891,"unknown","unknown",444.04668045043945,""
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
