"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-5957.460079908371,"unknown",-5950.493599176407,-5945.163306713104,0.0,5.479022026062012,11.046937227249146,19.221532344818115,41.28676223754883,47.438868045806885,62.34305810928345,"unknown",67.69947528839111,"unknown",73.25680923461914,75.87770462036133,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",82.78734755516052,"","unknown",89.39483141899109,94.7437207698822,99.99799919128418,"unknown","unknown",105.977059841156,108.28887033462524,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",114.44109797477722,"unknown","unknown",121.22855401039124,""
"ea8c0d6",-927487.7417051792,"unknown",-927481.8484768867,-927476.4972112179,0.0,5.582949638366699,7.700448274612427,15.777183055877686,54.93765139579773,60.90266489982605,74.72000074386597,"unknown","unknown",81.49416756629944,87.58924794197083,89.46021318435669,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",94.86040759086609,"","unknown",100.6375207901001,105.37502932548523,"unknown","unknown",111.9148018360138,117.4603979587555,119.44957852363586,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",126.06900334358215,"unknown","unknown",132.2115514278412,""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-15.344000816345215,"unknown",-8.927013635635376,-2.232187271118164,0.0,6.360593795776367,10.10086989402771,17.142284154891968,357.3388738632202,364.43500232696533,367.1972677707672,"unknown",374.1892535686493,"unknown",380.0759439468384,388.1676070690155,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",394.31295108795166,"","unknown",401.3653860092163,416.99132084846497,424.29719853401184,"unknown","unknown",431.5180537700653,457.38688468933105,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",464.4639639854431,"unknown","unknown",470.92216181755066,""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
