"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-1244.8720397949219,"unknown",-1238.431808233261,-1233.0367350578308,0.0,6.188270807266235,9.071852207183838,16.526862144470215,35.733989238739014,41.76322555541992,54.48755764961243,"unknown","unknown",60.71027970314026,66.14522337913513,68.52003812789917,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",74.10885119438171,"unknown",81.2450315952301,89.20794939994812,"unknown",95.18141913414001,"unknown",101.98901724815369,104.3677351474762,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",110.80958318710327,"unknown","unknown",116.85031247138977,""
"ea8c0d6",-865938.3776447773,"unknown",-865931.7258377075,-865925.049602747,0.0,6.839269399642944,9.896236896514893,17.191139698028564,65.95588970184326,71.30236196517944,74.76836848258972,"unknown","unknown",80.28282523155212,86.22088837623596,89.04836750030518,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",94.8315577507019,"unknown",100.23697352409363,108.69699001312256,"unknown",115.21100330352783,"unknown",122.13197660446167,124.52445793151855,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",130.57545709609985,"unknown","unknown",136.1971673965454,""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-2229.24654340744,"unknown",-2223.35368847847,-2215.813232421875,0.0,5.879638195037842,8.391298055648804,16.164483547210693,26.088045835494995,32.11125874519348,35.760196924209595,"unknown",42.117058992385864,"unknown",49.00899815559387,51.226091384887695,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",58.15001654624939,"unknown",63.98721504211426,72.52870154380798,"unknown","unknown",79.55709075927734,85.34680247306824,87.08338689804077,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",94.29153609275818,"unknown","unknown",100.89615082740784,""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-13.404034852981567,"unknown",-8.109139204025269,-1.37559175491333,0.0,7.3227760791778564,71.21771478652954,79.88695645332336,88.4021143913269,94.76967763900757,98.94852375984192,"unknown","unknown",105.19935870170593,110.50514364242554,111.72236943244934,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",117.57488942146301,"unknown",123.90802431106567,130.80288553237915,"unknown",137.24966311454773,"unknown",144.38745880126953,148.78809642791748,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",154.50642108917236,"unknown","unknown",160.82198452949524,""
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-164.8366618156433,"unknown",-158.52734804153442,-152.40531730651855,0.0,6.6679768562316895,8.764082193374634,16.743211269378662,32.09318137168884,38.18261528015137,41.23349571228027,"unknown","unknown",47.413405895233154,54.10730290412903,65.43096446990967,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",71.06191968917847,"unknown",77.08090090751648,90.86337423324585,"unknown","unknown",96.3843412399292,102.60813355445862,108.76421618461609,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",115.3388078212738,"unknown","unknown",122.07345461845398,""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
