"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"49db8c4",-982.6837537288666,"unknown",-977.0379688739777,-969.6967844963074,0.0,6.692638397216797,8.322854280471802,15.344912052154541,26.706848621368408,32.77532124519348,35.4621148109436,"unknown","unknown",41.60081744194031,47.06923532485962,50.32192015647888,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",56.94889259338379,"","unknown",62.34981846809387,65.57616925239563,"unknown",72.74657130241394,"unknown",78.7187762260437,81.27233934402466,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",87.04253888130188,"unknown","unknown",93.6669692993164
"ea8c0d6",-53728.10277843475,"unknown",-53721.50095248222,-53715.590737342834,0.0,6.776507616043091,10.310263872146606,16.301669359207153,58.09282875061035,63.65256667137146,66.84687972068787,73.87802243232727,"unknown","unknown",79.52336168289185,81.50691843032837,86.92512321472168,96.96103429794312,"unknown","unknown",102.36194205284119,108.45838856697083,111.42976593971252,"unknown","unknown","unknown","unknown","unknown",117.23199391365051,"unknown",122.99244356155396,207.87275767326355,"unknown","unknown",214.43361973762512,220.23342990875244,226.07493042945862,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",232.05809926986694,"unknown","unknown",238.81491684913635
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-6652.807469129562,"unknown",-6646.956933021545,-6640.888448476791,0.0,6.249777317047119,19.06009531021118,25.97253656387329,47.77141857147217,53.46492624282837,103.31406092643738,"unknown",110.57441926002502,"unknown",116.38169646263123,118.34799027442932,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",124.18219041824341,"","unknown",130.9400827884674,137.70847868919373,"unknown","unknown",143.1988513469696,149.09654140472412,151.79807138442993,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",157.61228442192078,"unknown","unknown",162.95103430747986
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-420.8635139465332,"unknown",-414.61282110214233,-407.7832510471344,0.0,6.468472242355347,34.00753712654114,39.68896198272705,587.1869075298309,592.6515300273895,594.6631333827972,599.9285144805908,"unknown","unknown",607.0184211730957,609.378820180893,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",615.8928761482239,"","unknown",621.9901275634766,662.1428949832916,"unknown",668.2696552276611,"unknown",674.7747576236725,689.9756219387054,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",696.2129504680634,"unknown","unknown",702.5945613384247
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
