"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","otro_3","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-42533.13832759857,"unknown",-42526.04182386398,-42519.55253481865,0.0,7.064432621002197,8.972451210021973,14.96531367301941,32.69522833824158,38.74541163444519,46.117738008499146,"unknown","unknown",52.876676082611084,59.3769416809082,62.64595627784729,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.13705134391785,"","unknown",74.71519804000854,86.85237765312195,94.04165267944336,"unknown","unknown",99.47901511192322,102.93964147567749,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",108.7539439201355,"unknown","unknown",114.49396395683289
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-7959.575659751892,"unknown",-7952.692927598953,-7946.932066917419,0.0,5.647255182266235,9.301595449447632,15.397277355194092,26.222180128097534,34.02664589881897,39.50202035903931,"unknown",45.45139122009277,"unknown",52.608684062957764,54.733914613723755,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",61.640188217163086,"","unknown",67.21225261688232,75.32656455039978,"unknown",80.56615281105042,"unknown",87.37465977668762,89.96458196640015,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",96.55308794975281,"unknown","unknown",103.11132645606995
"ea8c0d6",-161585.33429026604,"unknown",-161579.65733623505,-161573.42876696587,0.0,5.253028869628906,13.090451717376709,19.56808304786682,48.666231870651245,55.77290058135986,63.646636724472046,"unknown","unknown",69.07675576210022,74.79786539077759,77.64246821403503,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83.68912839889526,"","unknown",90.60377383232117,125.47569608688354,132.56329917907715,"unknown","unknown",138.52891087532043,140.68327260017395,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",146.22797679901123,"unknown","unknown",152.0202488899231
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-258.8384518623352,"unknown",-252.76755499839783,-245.7268373966217,0.0,7.292332410812378,13.680665969848633,20.634020566940308,37.5954954624176,45.10225319862366,47.626622915267944,53.12670540809631,"unknown","unknown",60.14405846595764,64.37876486778259,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.93078112602234,"","unknown",75.75267910957336,83.73893117904663,90.70902967453003,"unknown","unknown",96.11545014381409,102.3944320678711,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",108.96261692047119,"unknown","unknown",114.82885980606079
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
