"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"c899adb",-4788.972821474075,"unknown",-4782.505600452423,-4775.599928379059,0.0,5.6688268184661865,7.671219348907471,13.751861810684204,43.88793468475342,50.5205020904541,72.11243462562561,"unknown",77.67906785011292,"unknown",83.67757940292358,107.0054681301117,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",112.52848386764526,"unknown",119.07027530670166,128.7523124217987,"unknown",135.56157851219177,"unknown",141.77385878562927,144.3909523487091,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",150.73089480400085,"unknown","unknown",156.68760704994202,""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-296.45004963874817,"unknown",-289.59659361839294,-284.0596413612366,0.0,7.256356477737427,11.331758975982666,18.237629890441895,49.063199281692505,56.11936664581299,72.08804368972778,77.68465447425842,"unknown","unknown",83.76526379585266,85.56468486785889,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",91.62341165542603,"unknown",98.04340815544128,103.84535264968872,109.7903983592987,"unknown","unknown",116.53503894805908,120.52509188652039,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",127.43441128730774,"unknown","unknown",134.00931239128113,""
"ea8c0d6",-570454.2489261627,"unknown",-570447.3885843754,-570442.0370035172,0.0,6.444113731384277,9.652663469314575,15.346174478530884,43.44384288787842,50.297502756118774,54.56960964202881,"unknown","unknown",60.01846170425415,65.35560154914856,69.65990734100342,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.26571750640869,"unknown",83.27906942367554,89.97381639480591,"unknown","unknown",95.73672413825989,102.63694930076599,1487.6469492912292,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1493.560439825058,"unknown","unknown",1500.4472496509552,""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-2510.483528614044,"unknown",-2504.403328180313,-2498.280800819397,0.0,5.718353986740112,475.2867832183838,481.80332612991333,513.0636165142059,519.8831043243408,524.4100110530853,"unknown","unknown",530.2003364562988,536.055421590805,566.3400030136108,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",573.1257133483887,"unknown",579.5876417160034,609.8221468925476,"unknown","unknown",616.5662405490875,622.029970407486,666.4935729503632,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",672.6710600852966,"unknown","unknown",678.3670237064362,""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
