"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"49db8c4",-4419.7983474731445,-4414.276117563248,-4408.571157693863,-4403.257130861282,0.0,6.867892742156982,11.729584217071533,20.41157627105713,36.48371076583862,41.95901012420654,45.13682532310486,"unknown","unknown",51.06649947166443,57.97828388214111,61.00786018371582,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",67.75881028175354,"unknown",74.7109649181366,100.39362668991089,"unknown",107.2416660785675,"unknown",113.77661299705505,6806.896980762482,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",6813.539286375046,"unknown","unknown",6819.547214746475
"ea8c0d6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-57946.13917136192,-57939.11632728577,-57932.80136466026,-57927.39890933037,0.0,7.513468980789185,19.995203733444214,28.962053537368774,49.1213743686676,56.34462237358093,67.82840609550476,"unknown","unknown",74.4316053390503,80.17890644073486,89.88904857635498,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",95.73732900619507,"unknown",102.4878876209259,114.47098183631897,120.41340780258179,"unknown","unknown",126.84160804748535,139.17193412780762,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",146.1867208480835,"unknown","unknown",152.44709396362305
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-801.3005104064941,-794.9716982841492,-788.8618881702423,-781.6352815628052,0.0,6.967679738998413,10.41874647140503,18.110660552978516,24.61563205718994,31.45686173439026,44.41023802757263,"unknown","unknown",52.50072383880615,63.31018590927124,1014.3057451248169,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",1020.9119055271149,"unknown",1026.5087275505066,1029.1581807136536,"unknown","unknown",1035.3582406044006,1040.8850212097168,1043.200824022293,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",1049.4996745586395,"unknown","unknown",1056.5416822433472
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
