"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","4_1","2_1"
"4e53c5c",-53.99851632118225,"unknown",-46.852776765823364,-40.89443325996399,0.0,6.24780011177063,12.737349033355713,20.16889238357544,48.042054891586304,53.75472044944763,65.47231912612915,71.3906033039093,"unknown","unknown",78.00106453895569,81.00064659118652,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.67346620559692,"","unknown",94.68030071258545,101.65202569961548,107.2856719493866,"unknown","unknown",113.25123023986816,117.64634418487549,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",123.26217937469482,"unknown","unknown",129.18235158920288,"",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-23111.937390089035,"unknown",-23105.27131986618,-23098.3662006855,0.0,6.965327978134155,10.205987453460693,17.962509155273438,47.8416588306427,54.99172306060791,58.74781656265259,"unknown","unknown",64.48636507987976,71.47030997276306,75.16882371902466,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",81.67777371406555,"","unknown",86.96124005317688,113.33033275604248,"unknown","unknown",120.46838855743408,127.46104502677917,129.19405460357666,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",134.64749693870544,"unknown","unknown",140.8442738056183,"",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-843.0142850875854,"unknown",-836.5512938499451,-829.548308134079,0.0,6.489917993545532,12.40005874633789,20.342102527618408,39.88328719139099,46.15381717681885,50.78023052215576,"unknown","unknown",57.36597800254822,63.27621102333069,67.3155312538147,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.47303605079651,"","unknown",81.68104100227356,88.72450637817383,"unknown",94.31714057922363,"unknown",100.617422580719,102.92980217933655,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",109.87196850776672,"unknown","unknown",116.78090286254883,"",""
"ea8c0d6",-1248584.9392633438,"unknown",-1248578.8591701984,-1248572.2067596912,0.0,5.324826240539551,14.744236707687378,23.680835723876953,79.82096242904663,85.98937177658081,93.69576954841614,"unknown","unknown",100.67811441421509,107.46652746200562,110.12136697769165,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",116.9739739894867,"","unknown",123.47060036659241,149.47967743873596,155.1298668384552,"unknown","unknown",161.05730533599854,169.84444046020508,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",175.92325830459595,"unknown","unknown",182.84314894676208,"",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-497230.2602660656,"unknown",-497224.8628780842,-497218.67434453964,0.0,5.832733869552612,9.404004335403442,17.6308810710907,71.963458776474,78.4215030670166,90.43057036399841,97.55439519882202,"unknown","unknown",104.70715236663818,108.92722582817078,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",114.14948797225952,"","unknown",119.91745066642761,225.135968208313,231.9629406929016,"unknown","unknown",239.07276034355164,278.51826071739197,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",284.190851688385,"unknown","unknown",290.5673177242279,"",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
