"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"49db8c4",-61.96540284156799,"unknown",-55.298157930374146,-48.73894715309143,0.0,7.093500852584839,9.621620893478394,16.417027473449707,43.28198552131653,49.021984338760376,52.63208079338074,"unknown","unknown",58.15171241760254,65.36422300338745,67.53808069229126,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",74.4959123134613,"unknown",80.39318180084229,82.37988495826721,88.96274852752686,"unknown","unknown",94.74830198287964,96.38176012039185,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",103.19412803649902,"unknown","unknown",110.39252209663391
"ea8c0d6",-28287.70094013214,"unknown",-28280.55625653267,-28274.697612524033,0.0,6.6042022705078125,294.2432951927185,301.6685211658478,346.2266843318939,351.8419551849365,358.34988951683044,"unknown","unknown",364.63300800323486,370.5606029033661,376.01666021347046,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",383.27827548980713,"unknown",389.3221604824066,410.43579840660095,"unknown",416.73080039024353,"unknown",423.05943751335144,424.9938473701477,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",431.1851952075958,"unknown","unknown",437.44838643074036
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-3078.969516992569,"unknown",-3073.4612505435944,-3067.6531953811646,0.0,5.3161420822143555,9.098071098327637,15.168257236480713,34.59024405479431,40.89151120185852,46.65477657318115,52.81863307952881,"unknown","unknown",58.633824586868286,60.938482999801636,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",67.19044137001038,"unknown",73.63703393936157,81.46309232711792,87.2710976600647,"unknown","unknown",93.3792245388031,95.04077339172363,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",101.98999071121216,"unknown","unknown",108.80454397201538
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-636.3081407546997,"unknown",-629.5821824073792,-624.284255027771,0.0,6.076770067214966,8.80399751663208,14.375656604766846,26.858346939086914,32.5035662651062,41.96687984466553,48.41160464286804,"unknown","unknown",54.21043300628662,56.78688383102417,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.47816443443298,"unknown",68.93695950508118,78.72117948532104,84.78130793571472,"unknown","unknown",91.381112575531,132.3130156993866,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",138.66302490234375,"unknown","unknown",143.9121799468994
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
