"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-28994.59119606018,-28988.63997411728,-28982.500771284103,-28975.481525182724,0.0,5.52289342880249,11.77894926071167,19.755736351013184,60.478551149368286,66.03621101379395,68.43125224113464,"unknown","unknown",74.44414353370667,80.12693786621094,83.11911582946777,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.12206506729126,"unknown",96.8217568397522,100.8946840763092,"unknown","unknown",106.42963790893555,112.41579222679138,115.64452457427979,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",121.53694343566895,"unknown","unknown",128.27863264083862
"ea8c0d6",-323948.4858019352,-323941.3518049717,-323935.85184550285,-323929.3335878849,0.0,6.345653295516968,9.464030981063843,17.220754861831665,44.44074058532715,50.61776876449585,54.421337604522705,"unknown","unknown",60.21816444396973,66.71770238876343,69.21938395500183,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",75.67189288139343,"unknown",82.75542998313904,86.66249752044678,"unknown","unknown",93.70314431190491,99.53851294517517,102.10243558883667,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",107.6965401172638,"unknown","unknown",114.6741156578064
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-1398.9868004322052,-1391.9848380088806,-1386.1182024478912,-1378.982852935791,0.0,6.1064369678497314,22.34807586669922,29.8008131980896,184.72682213783264,190.81682443618774,194.19563388824463,"unknown","unknown",200.54112696647644,205.91452169418335,632.6131763458252,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",639.622207403183,"unknown",645.1856303215027,2855.815025806427,"unknown","unknown",2861.050874710083,2867.1722490787506,2874.6465096473694,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2880.00164103508,"unknown","unknown",2886.2369108200073
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-10367.373580217361,-10361.581132650375,-10354.30540561676,-10348.197999715805,0.0,5.612156867980957,8.076066493988037,15.096801280975342,43.79100060462952,49.76245999336243,55.87246370315552,"unknown","unknown",61.982421875,68.68991160392761,70.44174575805664,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",77.17217898368835,"unknown",83.78737545013428,1128.3037717342377,"unknown","unknown",1135.1197321414948,1140.5197372436523,1316.277706861496,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1323.5001587867737,"unknown","unknown",1329.1093134880066
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-646914.1104352474,-646907.2645726204,-646902.0536546707,-646894.8026833534,0.0,5.653765439987183,7.857411861419678,15.75111722946167,18.600780248641968,24.77985954284668,43.11281156539917,"unknown","unknown",49.099414587020874,56.204643964767456,74.77712678909302,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",80.18836450576782,"unknown",86.22277021408081,90.41421961784363,"unknown","unknown",97.35252785682678,104.57203841209412,375.0262644290924,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",380.68200945854187,"unknown","unknown",386.19068932533264
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-80.73350834846497,-74.84313297271729,-67.5500168800354,-60.725186586380005,0.0,6.206278562545776,9.437961101531982,18.07294464111328,35.84496450424194,42.035884380340576,44.666860818862915,"unknown","unknown",50.6776397228241,57.10728621482849,59.697349309921265,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",66.9133083820343,"unknown",73.52467465400696,77.93375658988953,"unknown","unknown",85.04642939567566,91.68514609336853,98.17928910255432,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",104.80219650268555,"unknown","unknown",111.43804454803467
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-114506.47354626656,-114499.63810276985,-114494.09752511978,-114486.88991641998,0.0,7.3292670249938965,10.551398038864136,17.99919056892395,32.09516191482544,37.701860427856445,40.21531319618225,"unknown",47.34327578544617,"unknown",53.12539005279541,55.73135256767273,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",62.86396408081055,"unknown",69.6159257888794,72.7738630771637,"unknown",78.52788972854614,"unknown",85.72735691070557,87.21036982536316,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",92.73603129386902,"unknown","unknown",98.53242349624634
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba",-445.02020740509033,-439.05769300460815,-433.71546268463135,-427.16944551467896,0.0,5.662895202636719,68.38555550575256,75.61657166481018,83.94440817832947,89.36102652549744,91.80876064300537,"unknown",98.37776613235474,"unknown",104.79534363746643,107.33499813079834,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",112.72537803649902,"unknown",119.335205078125,121.10605812072754,"unknown","unknown",127.20504665374756,134.21895718574524,136.0002977848053,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",142.631933927536,"unknown","unknown",147.8462426662445
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
