"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","4_1","5_otro_1","3_1","7_otro_1"
"4e53c5c","unknown","unknown","unknown","unknown",0.0,"unknown",17.025451183319092,"unknown",47.30465030670166,"unknown",163.7522315979004,"unknown","unknown","unknown","unknown",180.4910717010498,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",200.97922134399414,"unknown","unknown","unknown","unknown",215.3050730228424,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"ac6ecda","unknown","unknown","unknown","unknown",0.0,"unknown",15.593360662460327,"unknown",37.25618624687195,"unknown",56.86293268203735,"unknown","unknown","unknown","unknown",81.25006031990051,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",102.59036707878113,"unknown","unknown","unknown","unknown",118.64111423492432,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",46.60619902610779,"unknown",88.4248559474945,"unknown",115.81694674491882,"unknown","unknown","unknown","unknown",132.97212076187134,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",164.87046265602112,"unknown","unknown","unknown","unknown",178.77996563911438,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"b8ec123","unknown","unknown","unknown",-1207.5149791240692,0.0,7.39028000831604,22051.833834409714,22060.06716108322,22079.852816820145,22085.81063389778,22139.18708872795,"unknown",22145.18621301651,"unknown",22152.17846250534,22154.668400764465,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",22161.17720103264,"","unknown",22169.31835627556,22231.529633522034,"unknown","unknown",22237.870344161987,22244.45623278618,22246.11986207962,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",22253.213836669922,"unknown","unknown",22259.458083629608,-1030.5218222141266,"","","",""
"07b298c",-152.71135234832764,"unknown",-146.72281527519226,-140.40877890586853,0.0,6.6681365966796875,12.873408555984497,20.790955543518066,2060319.4161384106,2060325.433019638,2060336.141307354,2060343.2001907825,"unknown","unknown",2060348.9023985863,2060351.0632727146,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2060356.9341702461,"","unknown",2060362.3611609936,2060421.5213344097,2060428.0149359703,"unknown","unknown",2060433.8072128296,2060435.888838768,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2060441.6040632725,"unknown","unknown",2060448.8359146118,"",1984571.3211650848,"","",""
"4c7f106","unknown","unknown","unknown","unknown",0.0,"unknown",14.70500898361206,"unknown",38.704474687576294,"unknown",133.3147201538086,"unknown","unknown","unknown","unknown",148.56797742843628,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",187.88080477714539,"unknown","unknown","unknown","unknown",202.57132959365845,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",10.640785694122314,"unknown",32.883142948150635,"unknown",81.2438132762909,"unknown","unknown","unknown","unknown",95.7764081954956,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",120.5317714214325,"unknown","unknown","unknown","unknown",135.6999864578247,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"ea8c0d6","unknown","unknown","unknown","unknown",0.0,"unknown",4375.937210083008,"unknown",6228.2587921619415,"unknown",6260.608783721924,"unknown","unknown","unknown","unknown",6276.480176687241,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",10005.88438487053,"unknown","unknown","unknown","unknown",10021.169119596481,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"527d11d",-10629.637469768524,"unknown",-10622.847427129745,-10615.978990077972,0.0,7.283032417297363,11.071097612380981,19.1612491607666,33.881677865982056,39.780024766922,63.109264850616455,69.94464921951294,"unknown","unknown",76.94141411781311,79.22572422027588,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",84.52843475341797,"","unknown",90.52829027175903,106.50903749465942,"unknown",112.16036915779114,"unknown",118.65786790847778,120.35240173339844,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",125.89068627357483,"unknown","unknown",132.28762912750244,"","","","",""
"7cf831f","unknown","unknown","unknown","unknown",0.0,"unknown",11.721170425415039,"unknown",44.73035645484924,"unknown",55.31241798400879,"unknown","unknown","unknown","unknown",72.43198251724243,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",96.89374876022339,"unknown","unknown","unknown","unknown",111.2974636554718,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"41f497c",-4465.943703174591,"unknown",-4460.114184856415,-4454.350842952728,0.0,6.547022819519043,12.183889865875244,20.946423530578613,31.7994487285614,37.54088354110718,60.551494121551514,67.33988285064697,"unknown","unknown",74.58687734603882,77.63842153549194,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",84.39913201332092,"","unknown",90.56233429908752,103.76071190834045,"unknown",109.12734174728394,"unknown",115.23227381706238,116.88689494132996,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",123.19129037857056,"unknown","unknown",129.29534316062927,"","","","",""
"8d5112a",-114530.03869199753,"unknown",-114524.26625704765,-114517.35257911682,0.0,6.506728887557983,340979.70365953445,340988.2678449154,340997.1434972286,341003.37574982643,341012.4806909561,"unknown","unknown",341018.81156373024,341025.9305510521,341028.0768382549,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",341034.78811240196,"","unknown",341040.9815852642,341061.4275934696,"unknown","unknown",341068.40556049347,341074.44216918945,341076.69897961617,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",341082.5864059925,"unknown","unknown",341089.33302664757,"","","","",""
"f496964","unknown","unknown","unknown","unknown",0.0,"unknown",981.998087644577,"unknown",1430.6182022094727,"unknown",1451.3995468616486,"unknown","unknown","unknown","unknown",2151.597122192383,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",2189.364084482193,"unknown","unknown","unknown","unknown",3282.178860425949,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"68c3192","unknown","unknown","unknown","unknown",0.0,"unknown",12.068036079406738,"unknown",42.74400806427002,"unknown",69.8576877117157,"unknown","unknown","unknown","unknown",90.22339296340942,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",116.55984282493591,"unknown","unknown","unknown","unknown",132.18475675582886,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"eb77de6","unknown","unknown","unknown","unknown",0.0,"unknown",19.295692205429077,"unknown",40.5374059677124,"unknown",51.44724178314209,"unknown","unknown","unknown","unknown",67.94723463058472,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",110.22551822662354,"unknown","unknown","unknown","unknown",126.47686314582825,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"1288ac2","unknown","unknown","unknown",-205.54397225379944,0.0,13.533347129821777,19.625508546829224,52.0154492855072,60.533632040023804,84.03444170951843,93.49561619758606,110.6560206413269,"unknown","unknown",117.60048723220825,121.58424758911133,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",128.61953473091125,"","unknown",135.1313600540161,143.61152291297913,150.71911311149597,"unknown","unknown",156.97779965400696,161.87717509269714,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",168.69794988632202,"unknown","unknown",174.08863377571106,-28.752127408981323,"","","",""
"8ce483d","unknown","unknown","unknown","unknown",0.0,"unknown",22.249845027923584,"unknown",35.574963092803955,"unknown",51.30428957939148,"unknown","unknown","unknown","unknown",67.87839484214783,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",90.97748732566833,"unknown","unknown","unknown","unknown",104.93719840049744,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",9.611979722976685,"unknown",24.837929487228394,"unknown",43.702152967453,"unknown","unknown","unknown","unknown",57.759254455566406,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",86.28477239608765,"unknown","unknown","unknown","unknown",101.97337698936462,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"56ee475",-562.4232363700867,"unknown",-556.835244178772,-549.5178914070129,0.0,6.668161392211914,56.98423647880554,63.95880365371704,76.23921489715576,81.67950320243835,8129.172183513641,8136.101729393005,"unknown","unknown",8142.542695760727,8144.1130793094635,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",8151.0433559417725,"","unknown",8156.5585787296295,8167.694227695465,8175.040221214294,"unknown","unknown",8180.6266124248505,8182.051820755005,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",8187.522054433823,"unknown","unknown",8194.022372484207,"","","","",""
