"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-97525.44390559196,"unknown",-97520.17397427559,-97513.61736536026,0.0,6.212643623352051,9.318037748336792,16.376954555511475,31.604047536849976,37.29917049407959,41.388896465301514,"unknown","unknown",48.47484374046326,55.33940553665161,58.422415256500244,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.13608932495117,"","unknown",70.79589915275574,76.33558487892151,81.88819909095764,"unknown","unknown",87.71431612968445,89.49343276023865,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.33102107048035,"unknown","unknown",102.71321988105774,""
"ea8c0d6",-388503.7346675396,"unknown",-388497.4182178974,-388490.69672346115,0.0,5.911011219024658,8.701798439025879,14.346040487289429,50.48712730407715,55.99204993247986,66.76111364364624,"unknown","unknown",73.76176977157593,81.15992498397827,83.99312925338745,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.72301769256592,"","unknown",96.59484791755676,100.73151111602783,107.47531986236572,"unknown","unknown",114.51645827293396,116.72030711174011,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",123.3817298412323,"unknown","unknown",130.72317457199097,""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-1813.6028504371643,"unknown",-1807.8851788043976,-1801.8725428581238,0.0,5.925557851791382,10.14622449874878,17.356454133987427,37.96397304534912,45.22038197517395,61.77345275878906,"unknown",67.9623191356659,"unknown",75.05972003936768,78.86660957336426,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",84.37524771690369,"","unknown",91.38075733184814,1794.9717195034027,1802.1057398319244,"unknown","unknown",1807.6753499507904,1812.4202983379364,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1818.5324878692627,"unknown","unknown",1825.5251858234406,""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
