"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-22628.58677172661,"unknown",-22621.47992014885,-22615.72944545746,0.0,6.182549953460693,8.308786630630493,14.021402359008789,18.051546096801758,23.829757690429688,34.41518807411194,"unknown",40.567623138427734,"unknown",47.06753444671631,48.77406620979309,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",54.16091227531433,"unknown",60.98659300804138,64.7836344242096,"unknown",70.96007013320923,"unknown",76.47432804107666,78.20074558258057,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",84.16919922828674,"unknown","unknown",89.73969960212708
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-78966.66926622391,"unknown",-78959.87942934036,-78953.50414276123,0.0,6.270804405212402,11.970093965530396,17.7147319316864,45.46667838096619,52.1980881690979,55.04607272148132,"unknown","unknown",62.275068521499634,67.61190509796143,70.24941349029541,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.32611417770386,"unknown",82.89668154716492,102.57013034820557,"unknown","unknown",109.85473322868347,116.04676961898804,123.85001683235168,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",130.04433822631836,"unknown","unknown",136.9951479434967
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-18961.419860124588,"unknown",-18954.738294124603,-18948.426122426987,0.0,6.069234132766724,2552491.565003872,2552498.3631443977,2552517.211750984,2552523.2102766037,2552525.9988515377,"unknown","unknown",2552533.234974861,2552540.251206875,2552542.5258357525,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",2552548.814946413,"unknown",2552555.3601636887,2552557.636801243,"unknown","unknown",2552563.0600168705,2552568.599728346,2552570.0407190323,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2552575.7891242504,"unknown","unknown",2552581.3993723392
"ac6f3f6",-3085.7802131175995,"unknown",-3078.8500945568085,-3072.5046660900116,0.0,7.427303314208984,9.064855337142944,16.25546169281006,34.761152267456055,41.24169683456421,71.06359028816223,"unknown",78.37521553039551,"unknown",84.04798769950867,85.37177562713623,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.9868712425232,"unknown",97.71413564682007,1246863.6210217476,1246869.1880822182,"unknown","unknown",1246875.886433363,1246878.3693261147,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1246884.0764431953,"unknown","unknown",1246890.586511135
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-16930.958584547043,"unknown",-16925.03041243553,-16919.608831882477,0.0,6.793776988983154,10.046034336090088,16.94796848297119,60.47410273551941,67.78404688835144,69.62903189659119,"unknown","unknown",75.49723505973816,81.12329745292664,83.06735706329346,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.22867345809937,"unknown",95.71660470962524,102.66925835609436,"unknown",108.25124311447144,"unknown",115.15160346031189,117.94280457496643,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",123.37323355674744,"unknown","unknown",130.6758782863617
