"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"c899adb",-38659.60667514801,"unknown",-38653.54390501976,-38646.786496162415,0.0,6.335470914840698,10.531067848205566,18.47869348526001,62.1170129776001,69.33585214614868,73.94212460517883,"unknown","unknown",80.27729177474976,87.06721949577332,89.68598222732544,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",96.88991117477417,"unknown",103.67653632164001,111.39417290687561,"unknown","unknown",118.31026673316956,124.0371732711792,126.35520505905151,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",131.73562169075012,"unknown","unknown",137.57590436935425
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-51.402843713760376,"unknown",-44.840500831604004,-38.58335065841675,0.0,5.735168695449829,10.77074670791626,17.794567823410034,51.43411946296692,58.75778031349182,67.23045492172241,"unknown","unknown",72.42830014228821,79.58521175384521,84.31642580032349,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.82616686820984,"unknown",96.4988124370575,106.11951017379761,"unknown",112.79185628890991,"unknown",118.52656531333923,120.74609851837158,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",127.20021891593933,"unknown","unknown",133.94612503051758
"ea8c0d6",-78651.15237760544,"unknown",-78452.70054364204,-78397.32132434845,0.0,6.936669588088989,10.716238975524902,18.973193883895874,42.58430027961731,48.761025190353394,51.82935070991516,"unknown","unknown",58.47118926048279,65.56742477416992,67.79912948608398,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",74.30955815315247,"unknown",81.47414064407349,86.33855700492859,"unknown","unknown",92.4093976020813,99.12732553482056,102.26960372924805,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",108.66186857223511,"unknown","unknown",113.84271931648254
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-11303.22837638855,"unknown",-11297.174802064896,-11290.179955005646,0.0,6.621352434158325,95036.7297899723,95044.01939058304,95088.34233403206,95094.33853650093,95106.60003995895,"unknown",95112.90561962128,"unknown",95118.98063206673,95145.90478730202,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",95151.35853624344,"unknown",95156.81168627739,95259.78564667702,"unknown","unknown",95265.79331994057,95272.55570173264,95286.33863925934,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95291.94862151146,"unknown","unknown",95298.56202721596
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-19.235055446624756,"unknown",-13.403459072113037,-6.801239490509033,0.0,5.622731685638428,8.720611810684204,16.589760780334473,32.85575771331787,38.57156991958618,40.74383759498596,"unknown","unknown",46.725541830062866,53.79424238204956,59.342849016189575,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.86158084869385,"unknown",70.64323115348816,74.0986602306366,"unknown","unknown",80.03371500968933,86.48871755599976,88.91984462738037,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.61752033233643,"unknown","unknown",102.30180478096008
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
