"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-32682.954785585403,"unknown",-32677.185341596603,-32670.59632706642,0.0,5.537749767303467,9.449487686157227,15.558050632476807,62.58500099182129,68.51402568817139,82.66489505767822,"unknown","unknown",89.38483452796936,96.28966236114502,98.42011046409607,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",105.3633508682251,"","unknown",111.38768887519836,114.23952293395996,"unknown",120.62471890449524,"unknown",126.82930421829224,128.92675685882568,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",136.2535195350647,"unknown","unknown",142.69704127311707
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-83644.46802711487,"unknown",-83638.42748427391,-83632.5567471981,0.0,6.857450246810913,8.800963878631592,15.551475524902344,27.055155277252197,34.03556156158447,40.80081915855408,"unknown",46.60494947433472,"unknown",52.829031229019165,54.938161849975586,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.08627510070801,"","unknown",68.93879842758179,71.73339033126831,78.85400748252869,"unknown","unknown",85.47479915618896,87.29506278038025,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",94.30922174453735,"unknown","unknown",101.51934885978699
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-29834.882874011993,"unknown",-29828.029155492783,-29822.506481170654,0.0,5.4008753299713135,8.966794729232788,16.038575887680054,31.23127293586731,36.848177433013916,60.28066444396973,"unknown","unknown",66.65417075157166,72.19962334632874,262.759822845459,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",269.21062445640564,"","unknown",275.03300404548645,299.21603536605835,306.5732488632202,"unknown","unknown",313.26770281791687,337.7146770954132,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",344.3184185028076,"unknown","unknown",349.8512043952942
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-2713.8717432022095,"unknown",-2708.0772891044617,-2701.547590970993,0.0,6.417474985122681,9.478205919265747,16.043579578399658,17.644869804382324,23.263936758041382,30.929146766662598,"unknown","unknown",36.615930795669556,42.42444467544556,43.785178661346436,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",49.86937475204468,"","unknown",56.9417622089386,59.936959743499756,"unknown","unknown",67.12075877189636,73.39979195594788,75.07838344573975,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.65670680999756,"unknown","unknown",87.48171281814575
"ac6f3f6",-2117.287066221237,"unknown",-2111.8726575374603,-2105.589689731598,0.0,6.91355037689209,8.571195602416992,14.727974653244019,39.36882042884827,45.0271737575531,50.37071490287781,"unknown","unknown",56.83395171165466,63.6326470375061,65.20207977294922,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",72.44848442077637,"","unknown",78.8630018234253,86.82121968269348,"unknown",93.31865763664246,"unknown",99.01554846763611,104.5515947341919,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",112.20441102981567,"unknown","unknown",119.41644525527954
"62447b9",-11557.22772359848,"unknown",-11551.823232650757,-11544.99211859703,0.0,6.819817304611206,17.8072669506073,24.655815839767456,38.329286098480225,45.45496916770935,62.408939838409424,"unknown","unknown",68.49524641036987,74.65330123901367,76.95264768600464,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",82.71577215194702,"","unknown",89.41578507423401,97.90686464309692,103.1578426361084,"unknown","unknown",109.79913449287415,112.14399576187134,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",118.40417289733887,"unknown","unknown",125.11856532096863
"20f3e2e",-13342.360270738602,"unknown",-13336.827276706696,-13331.449509382248,0.0,7.002308130264282,10.173406600952148,16.323372840881348,56.12840008735657,61.969794511795044,66.20449161529541,"unknown","unknown",72.53140115737915,78.33890891075134,80.20342302322388,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.23645448684692,"","unknown",94.24034976959229,97.1914553642273,"unknown",103.66748690605164,"unknown",110.1257152557373,111.77591156959534,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",117.85101437568665,"unknown","unknown",124.35431265830994
"4e53c5c",-12689.283933401108,"unknown",-12682.966440200806,-12676.455040693283,0.0,6.663663625717163,11.633423805236816,17.01338768005371,43.79997730255127,50.209431409835815,54.410884380340576,"unknown",60.26238417625427,"unknown",66.46538782119751,68.27759504318237,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.31016778945923,"","unknown",81.73659229278564,86.43614172935486,93.15300107002258,"unknown","unknown",99.9022912979126,102.26803994178772,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",108.1089084148407,"unknown","unknown",114.26841497421265
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-25339.729296207428,"unknown",-25333.01856803894,-25326.434733629227,0.0,6.701806545257568,12.298501968383789,18.42493510246277,33.889100551605225,41.267117977142334,43.52492642402649,"unknown","unknown",49.60716366767883,55.29539251327515,57.63303327560425,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.81987357139587,"","unknown",71.9235999584198,74.93017649650574,"unknown","unknown",81.82496428489685,87.37760162353516,95.77197861671448,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.69964957237244,"unknown","unknown",107.71330189704895
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-102.95488166809082,"unknown",-96.46412301063538,-89.25297594070435,0.0,6.479374647140503,11.550028562545776,17.52651071548462,29.81607985496521,35.661142110824585,51.67806625366211,"unknown","unknown",57.64191198348999,64.93823552131653,67.49366760253906,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.17965769767761,"","unknown",79.26962900161743,88.54294157028198,"unknown",94.82611060142517,"unknown",101.85890221595764,104.69800066947937,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",111.169025182724,"unknown","unknown",118.3306953907013
"ea8c0d6",-330624.84210300446,"unknown",-330618.6294028759,-330613.0105907917,0.0,6.891236782073975,9.05420970916748,16.230529069900513,25.493008613586426,32.24794554710388,34.49366497993469,"unknown","unknown",41.35501289367676,47.26452970504761,49.80273127555847,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",56.61174201965332,"","unknown",62.51926398277283,68.08656239509583,"unknown","unknown",74.06398391723633,79.87101483345032,81.9898476600647,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",88.50785636901855,"unknown","unknown",94.31757879257202
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-19712.583602428436,"unknown",-19705.82790350914,-19700.156972885132,0.0,5.26161789894104,49.1782386302948,55.046621322631836,102.52142119407654,108.17919039726257,141.46749663352966,"unknown",147.49856638908386,"unknown",154.07076001167297,168.9568772315979,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",174.8832883834839,"","unknown",180.9215486049652,202.26422429084778,"unknown","unknown",207.6214747428894,214.24327397346497,220.6289999485016,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",226.79833340644836,"unknown","unknown",233.70482635498047
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
