"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","5_1","2_1"
"4e53c5c",-54.2987003326416,"unknown",-48.627294301986694,-43.304142475128174,0.0,6.248952388763428,20.378637552261353,26.025911331176758,43.789907932281494,49.73040151596069,61.06846523284912,"unknown",67.54990458488464,"unknown",74.14700555801392,77.09882545471191,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83.13676428794861,"","unknown",89.24632358551025,102.16278028488159,107.72709345817566,"unknown","unknown",113.26126217842102,116.17055559158325,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",122.96581792831421,"unknown","unknown",130.24605536460876,"",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-11849.667475700378,"unknown",-11842.615100622177,-11836.78901386261,0.0,5.924715518951416,13.376237154006958,19.444048166275024,38.12537384033203,45.030641317367554,46.89330744743347,52.94824266433716,"unknown","unknown",59.54943132400513,61.956008195877075,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.45258378982544,"","unknown",73.8912193775177,78.56955862045288,84.52153944969177,"unknown","unknown",90.01814317703247,91.87019610404968,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",99.18658208847046,"unknown","unknown",104.53733229637146,"",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-6175.030945777893,"unknown",-6168.749363422394,-6163.368681430817,0.0,6.480366468429565,19.347814321517944,26.351314067840576,51.9570746421814,57.87491011619568,73.25347638130188,"unknown","unknown",79.4915816783905,85.29297256469727,88.56199240684509,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.12506556510925,"","unknown",101.32770848274231,110.27091908454895,"unknown",117.3624541759491,"unknown",122.92229676246643,125.62310981750488,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",132.33574223518372,"unknown","unknown",139.44224500656128,"",""
"ea8c0d6",-8463.748277425766,"unknown",-8457.750700950623,-8450.651331186295,0.0,7.013260841369629,10.308600425720215,17.267772674560547,27.844529628753662,34.562195777893066,37.27327919006348,"unknown","unknown",44.09187459945679,50.192795276641846,52.167742013931274,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.98248052597046,"","unknown",64.32911658287048,68.0734977722168,"unknown","unknown",74.95099425315857,81.55697393417358,83.50573563575745,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.48155331611633,"unknown","unknown",94.92577886581421,"",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-141048.7750506401,"unknown",-141042.57200169563,-141036.58471298218,0.0,7.003496408462524,26.427981853485107,33.56890249252319,49.45612716674805,56.26399874687195,86.16183543205261,"unknown",92.07702159881592,"unknown",98.27749466896057,137.72944569587708,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",144.97645092010498,"","unknown",152.18975687026978,234.95848155021667,"unknown","unknown",241.10825181007385,248.21303057670593,547.7914192676544,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",554.6990580558777,"unknown","unknown",560.61146068573,"",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d",-14.855599164962769,"unknown",-7.801062822341919,-1.7271754741668701,0.0,6.837451219558716,8.919771909713745,15.999239921569824,22.054049491882324,27.71253228187561,52.89043974876404,"unknown",59.6939492225647,"unknown",65.07171678543091,75.05423760414124,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",82.26430082321167,"","unknown",89.0506272315979,91.93740010261536,97.42263984680176,"unknown","unknown",103.72297978401184,109.12278199195862,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",115.99601721763611,"unknown","unknown",121.22922492027283,"",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",9.732874870300293,"unknown",17.515811920166016,"unknown",31.020387649536133,"unknown","unknown","unknown","unknown",55.8161506652832,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",74.55942988395691,"unknown","unknown","unknown","unknown",89.51845335960388,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"56ee475",-5571.051162719727,"unknown",-5565.154995441437,-5559.357430934906,0.0,6.156905174255371,7508.849346160889,7516.1152946949005,30337.819043636322,30343.34241437912,30345.74236536026,30351.42312312126,"unknown","unknown",30357.463253974915,30362.94052839279,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",30369.133937597275,"","unknown",30374.94373703003,30377.25513982773,30383.49338531494,"unknown","unknown",30390.712923049927,30670.19808793068,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",30676.592899799347,"unknown","unknown",30682.638880729675,"",""
