"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-8199.54810142517,-8193.67199420929,-8187.334941148758,-8180.912976264954,0.0,6.918313503265381,21.017719984054565,27.803634643554688,43.0333514213562,49.181695222854614,51.23120069503784,"unknown",56.60212182998657,"unknown",63.42164325714111,66.98069977760315,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.24292755126953,"","unknown",80.37569308280945,83.54882454872131,"unknown",90.60483980178833,"unknown",96.77156019210815,99.68985652923584,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",106.50732898712158,"unknown","unknown",113.7985725402832
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-9944.964334249496,-9937.881241321564,-9931.814947128296,-9925.416714191437,0.0,6.744578838348389,9.527261018753052,16.590157985687256,28.293222904205322,33.96792721748352,59.68994975090027,"unknown",65.98781156539917,"unknown",73.21512937545776,75.01760649681091,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",82.30781888961792,"","unknown",89.36674809455872,92.74652123451233,98.06248378753662,"unknown","unknown",104.09757018089294,114.79775071144104,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",120.90018677711487,"unknown","unknown",127.25968217849731
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-6621.944442033768,-6615.762753009796,-6609.186519145966,-6602.51317858696,0.0,6.784170389175415,12.910010814666748,19.94367814064026,120.65966200828552,126.07433271408081,129.5449275970459,"unknown",135.50407934188843,"unknown",141.31399035453796,142.94212985038757,149.63337182998657,151.05963134765625,"unknown",157.44618940353394,"unknown",164.36926341056824,165.5726273059845,"unknown","unknown","unknown","unknown","unknown",172.08871579170227,"unknown",178.6813895702362,189.41125869750977,"unknown",195.9394154548645,"unknown",201.17731094360352,202.60318446159363,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",208.30852007865906,"unknown","unknown",215.13153409957886
"ac6f3f6",-4985.714821100235,-4979.662277698517,-4973.957570075989,-4968.035007476807,0.0,6.706099271774292,74.36483907699585,81.09634971618652,405334.3900671005,405340.5534570217,405380.7215998173,"unknown",405387.8491034508,"unknown",405393.8842153549,405395.82869029045,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",405402.8601014614,"","unknown",405408.5357615948,405421.4046854973,405427.6211578846,"unknown","unknown",405433.3424220085,405435.512465477,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",405442.6708610058,"unknown","unknown",405449.0464246273
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-7693.751675128937,-7687.032827377319,-7680.273523569107,-7674.81325340271,0.0,6.626465320587158,9.03289246559143,15.436623334884644,31.324115753173828,38.48662090301514,40.546655893325806,"unknown","unknown",46.27357292175293,53.33042335510254,56.83983898162842,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.332951068878174,"","unknown",69.20729327201843,72.71808910369873,"unknown",79.2313916683197,"unknown",86.2453224658966,90.2531361579895,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.20679569244385,"unknown","unknown",102.3897078037262
